Store #,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail
2141,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
2830,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
3252,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
3541,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
5495,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
5881,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
5891,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
2167,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
2263,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
2945,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
3501,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
5795,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
2446,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
3810,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
2096,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
2445,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
3475,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
3564,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
3565,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
4687,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
5229,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
2068,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
2650,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
5103,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
5130,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
5131,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
5649,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
5177,$5.07,,$2.59,,$4.78,,$2.44,,$4.56,,$2.33,,$4.36,,$2.23,,$4.67,,$2.39,
,,,,,,,,,,,,,,,,,,,,
1670,$4.96,,$2.56,,$4.67,,$2.41,,$4.44,,$2.29,,$4.23,,$2.19,,$4.54,,$2.35,
1777,$4.96,,$2.56,,$4.67,,$2.41,,$4.44,,$2.29,,$4.23,,$2.19,,$4.54,,$2.35,
2614,$4.96,,$2.56,,$4.67,,$2.41,,$4.44,,$2.29,,$4.23,,$2.19,,$4.54,,$2.35,
