Store,Market,Region,Feature Name ,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
1,323,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
2,322,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
3,21,2,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
5,326,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
7,326,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
8,326,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
9,335,40,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
10,347,44,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
11,328,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
13,334,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
19,335,40,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
22,347,44,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
24,326,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
27,357,40,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
28,347,44,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
29,359,40,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
30,335,40,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
32,333,40,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
33,325,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
34,334,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
35,407,47,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
36,329,12,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
37,335,40,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
38,47,44,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
40,359,40,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
41,345,44,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
42,410,44,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
47,351,44,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
49,47,44,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
50,347,44,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
51,339,40,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
52,325,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
54,322,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
56,333,40,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
58,325,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
62,329,12,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
64,146,41,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
65,336,40,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
67,321,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
68,329,12,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
69,335,40,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
71,328,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
72,410,44,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
73,356,44,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
74,329,12,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
75,134,13,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
76,322,42,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
77,83,5,Pine Sol 24oz,Standard Store Fixture,FY24-WK6
