Store,Current GMD Volume,New GMD Volume,
3,186,300,
7,250,275,
12,184,225,
17,150,200,
19,150,175,
21,50,150,
26,193,200,
29,192,200,
35,160,175,
36,50,100,
41,183,275,
58,50,100,
69,300,500,
70,150,200,
75,175,400,
80,125,175,
85,200,225,
90,50,100,
93,50,150,
94,137,150,
95,150,200,
99,173,250,
101,50,150,
103,175,300,
107,50,100,
110,300,325,
112,135,150,
119,50,125,
120,150,200,
124,200,250,
125,150,175,
126,223,250,
128,150,175,
129,150,200,
130,50,175,
131,150,175,
138,181,200,
143,150,175,
147,168,225,
148,150,175,
151,50,100,
155,125,150,
159,125,175,
170,150,250,
184,191,200,
185,175,250,
192,200,300,
194,250,275,
197,50,75,
198,50,75,
200,50,100,
201,300,400,
202,198,200,
206,300,350,
217,197,225,
218,50,75,
219,135,150,
224,50,75,
228,175,225,
234,125,300,
243,220,250,
249,50,200,
259,300,325,
260,195,225,
261,150,275,
264,50,125,
267,200,350,
269,125,375,
275,200,225,
277,250,500,
283,50,275,
284,247,250,
285,162,175,
295,180,225,
297,200,225,
298,175,200,
299,217,275,
300,160,175,
304,218,225,
309,164,300,
310,159,175,
313,218,250,
314,50,125,
319,212,225,
322,200,275,
329,225,300,
330,150,175,
331,250,275,
335,219,275,
345,200,275,
351,275,300,
355,187,200,
356,169,175,
358,50,100,
365,182,250,
366,200,225,
371,173,300,
376,300,325,
377,91,150,
379,50,125,
381,250,275,
384,150,200,
393,50,250,
395,125,150,
397,50,150,
398,300,450,
400,197,275,
402,163,250,
408,194,275,
410,163,175,
412,200,250,
414,150,175,
420,150,275,
424,50,100,
428,125,150,
429,175,250,
430,150,175,
431,207,250,
432,50,125,
433,125,150,
442,50,75,
444,200,300,
447,150,325,
448,177,250,
449,179,200,
450,195,200,
451,193,200,
452,268,275,
456,263,275,
457,162,200,
458,155,175,
459,125,225,
461,166,300,
462,200,250,
464,150,250,
467,300,350,
469,182,250,
470,300,325,
471,247,250,
472,125,150,
477,218,225,
481,50,250,
483,171,200,
484,125,175,
485,178,200,
488,50,75,
489,184,375,
490,173,250,
491,250,275,
495,122,150,
499,150,200,
500,235,250,
501,143,250,
504,225,250,
507,166,225,
508,165,300,
511,110,150,
512,225,250,
514,285,300,
516,235,250,
519,150,175,
522,200,300,
525,100,200,
526,300,500,
531,266,350,
532,238,250,
535,185,225,
536,136,150,
537,210,300,
538,300,350,
539,173,400,
542,125,150,
543,150,175,
544,244,250,
546,246,250,
547,300,475,
551,158,225,
554,50,100,
555,135,250,
560,173,400,
562,160,175,
564,238,250,
573,233,300,
574,275,300,
575,50,300,
577,286,300,
578,202,300,
579,300,425,
580,225,300,
586,171,300,
592,210,225,
593,150,175,
595,200,225,
596,125,175,
598,50,100,
603,175,200,
606,50,100,
608,225,325,
609,50,100,
612,50,75,
615,300,350,
616,125,150,
618,200,275,
623,283,300,
627,50,75,
628,125,175,
629,50,75,
630,125,200,
634,150,225,
635,215,225,
638,150,275,
641,300,350,
643,160,200,
649,275,425,
651,198,300,
655,150,200,
656,200,250,
657,183,200,
658,174,200,
661,170,175,
662,167,175,
663,174,175,
665,150,200,
666,194,250,
668,176,275,
669,135,175,
670,160,200,
674,177,200,
676,50,175,
678,50,175,
680,184,325,
682,175,225,
683,200,225,
685,173,200,
687,181,250,
688,300,475,
689,185,375,
690,50,175,
691,200,250,
695,174,225,
697,207,375,
698,200,300,
699,169,225,
700,50,150,
701,250,275,
702,169,175,
705,245,275,
706,275,300,
708,150,175,
710,125,200,
711,250,325,
712,50,125,
713,50,275,
716,50,100,
718,300,350,
719,216,375,
720,197,225,
721,275,300,
722,175,250,
724,175,275,
725,227,350,
726,50,75,
727,150,175,
728,183,200,
729,225,250,
730,50,125,
733,50,100,
734,175,250,
735,50,175,
740,135,200,
742,300,325,
743,199,200,
744,300,450,
745,248,250,
746,200,225,
747,263,350,
753,191,200,
754,285,300,
755,200,275,
756,136,175,
762,50,175,
764,174,250,
767,172,275,
775,50,100,
777,175,275,
786,187,200,
789,300,325,
794,50,100,
796,50,75,
800,275,300,
804,136,175,
806,190,200,
808,200,225,
809,175,200,
812,136,150,
813,150,250,
815,50,100,
816,50,200,
819,300,350,
821,150,175,
824,212,225,
829,150,275,
831,218,225,
835,231,250,
839,196,200,
840,100,150,
842,206,225,
844,150,175,
849,300,500,
852,50,75,
856,200,225,
857,236,250,
858,175,200,
859,162,200,
862,185,200,
864,50,100,
865,226,300,
867,50,75,
874,50,125,
875,223,250,
878,125,250,
880,271,275,
884,50,150,
887,135,200,
890,125,175,
892,231,300,
894,196,200,
903,50,175,
905,249,275,
909,250,275,
910,149,225,
911,188,300,
912,50,175,
915,299,300,
916,135,250,
919,202,250,
920,100,200,
922,100,175,
925,125,250,
928,300,450,
929,269,275,
934,194,225,
935,300,325,
936,50,125,
938,197,200,
944,200,300,
953,225,275,
955,300,500,
959,50,75,
960,150,175,
961,193,250,
963,225,250,
964,300,350,
970,150,250,
972,195,250,
975,125,175,
977,50,125,
980,150,300,
981,142,150,
987,300,400,
988,300,325,
989,125,275,
990,213,300,
991,198,200,
994,300,325,
998,100,200,
1000,125,175,
1003,50,100,
1010,150,175,
1011,171,375,
1012,150,175,
1015,247,275,
1016,185,200,
1021,135,150,
1022,175,225,
1023,50,175,
1025,150,175,
1026,179,200,
1028,300,500,
1029,173,225,
1030,300,375,
1032,191,225,
1033,225,250,
1036,135,200,
1037,125,200,
1039,250,325,
1040,249,425,
1044,225,250,
1045,164,175,
1060,194,200,
1066,162,300,
1072,150,225,
1076,250,300,
1079,250,275,
1080,199,300,
1081,300,350,
1082,300,350,
1083,300,400,
1084,125,200,
1088,150,225,
1096,50,100,
1097,224,300,
1099,300,325,
1101,50,125,
1102,125,150,
1104,195,300,
1105,215,275,
1106,50,125,
1111,121,125,
1113,250,275,
1117,198,450,
1118,198,225,
1119,50,175,
1120,298,300,
1122,121,150,
1123,187,400,
1124,200,225,
1129,300,375,
1130,135,150,
1132,186,200,
1135,159,175,
1136,197,300,
1138,50,300,
1141,186,200,
1142,125,250,
1144,50,175,
1146,160,175,
1150,275,300,
1153,50,275,
1155,161,175,
1156,300,375,
1159,50,200,
1160,150,225,
1163,233,300,
1164,300,325,
1165,175,250,
1170,50,175,
1176,175,200,
1177,300,475,
1178,240,250,
1184,223,225,
1185,300,325,
1186,50,250,
1191,225,250,
1194,206,225,
1195,135,225,
1198,198,200,
1200,200,225,
1202,174,300,
1203,300,325,
1204,188,225,
1205,50,125,
1206,198,200,
1207,175,200,
1211,50,75,
1213,250,275,
1215,200,325,
1218,200,300,
1223,163,225,
1230,150,225,
1231,125,225,
1232,195,200,
1235,50,250,
1236,73,125,
1237,165,300,
1238,300,325,
1239,50,100,
1240,185,275,
1243,50,225,
1245,300,400,
1248,199,275,
1252,250,300,
1256,223,225,
1259,275,450,
1261,300,325,
1264,50,125,
1266,125,175,
1267,183,225,
1270,300,375,
1271,143,250,
1280,150,175,
1281,150,400,
1283,155,175,
1284,300,325,
1287,300,375,
1289,50,100,
1290,250,300,
1292,211,225,
1293,125,300,
1294,250,300,
1296,125,200,
1297,150,175,
1298,225,300,
1302,167,275,
1303,231,300,
1304,50,175,
1307,197,225,
1308,287,300,
1310,250,300,
1311,125,200,
1312,182,200,
1313,125,275,
1314,174,300,
1320,221,300,
1321,205,300,
1322,245,300,
1323,50,250,
1324,225,275,
1330,164,250,
1331,169,175,
1346,200,225,
1350,200,275,
1353,125,325,
1354,50,75,
1355,171,250,
1356,100,150,
1364,150,250,
1370,150,175,
1371,176,200,
1373,224,250,
1374,50,250,
1375,50,100,
1377,208,250,
1379,183,325,
1382,169,200,
1387,300,325,
1391,300,325,
1397,211,225,
1398,248,250,
1400,285,300,
1401,125,275,
1403,150,225,
1406,217,225,
1407,185,225,
1408,125,200,
1409,300,325,
1411,200,300,
1417,187,200,
1420,297,300,
1422,50,75,
1424,125,225,
1425,50,100,
1427,149,150,
1429,150,275,
1430,250,300,
1432,50,100,
1433,50,150,
1434,200,225,
1436,300,400,
1438,150,250,
1439,300,325,
1440,184,275,
1443,246,275,
1445,50,200,
1448,200,225,
