Store Number,Power Outage Risk Evaluation,Phoen Gen Proj Status,Generator Qualification,Projected Install Complete Date,Actual Install Complete Date
1,,,Approved,,
2,,Complete,Completed,7/16/2019,7/16/2019
3,,,Approved,,
4,,,Does Not Currently Qualify,,
5,,,Approved,,
7,,,Approved,,
8,,,Approved,,
9,,,Does Not Currently Qualify,,
10,,,Does Not Currently Qualify,,
11,,,Does Not Currently Qualify,,
12,,,Approved,,
13,,,Approved,,
14,,,Approved,,
15,,,Does Not Currently Qualify,,
16,,,Does Not Currently Qualify,,
17,,,Does Not Currently Qualify,,
18,,,Does Not Currently Qualify,,
19,,,Does Not Currently Qualify,,
20,,,Approved,,
21,,,Does Not Currently Qualify,,
22,,,Approved,,
23,,Complete,Completed,10/4/2022,10/4/2022
24,,Complete,Completed,1/1/2014,1/1/2014
25,,,Does Not Currently Qualify,,
26,,,Does Not Currently Qualify,,
27,,,Does Not Currently Qualify,,
28,,,Does Not Currently Qualify,,
29,,,Does Not Currently Qualify,,
30,,,Approved,,
31,,,Does Not Currently Qualify,,
32,,,Does Not Currently Qualify,,
33,,Complete,Completed,4/21/2022,4/21/2022
34,,,Approved,,
35,,,Approved,,
36,,,Does Not Currently Qualify,,
37,,,Does Not Currently Qualify,,
38,,,Does Not Currently Qualify,,
39,,,Does Not Currently Qualify,,
40,,,Does Not Currently Qualify,,
41,,,Does Not Currently Qualify,,
42,,,Does Not Currently Qualify,,
43,,,Does Not Currently Qualify,,
44,,,Does Not Currently Qualify,,
45,,,Does Not Currently Qualify,,
46,,,Does Not Currently Qualify,,
47,,,Approved,,
48,,,Does Not Currently Qualify,,
49,,,Approved,,
50,,,Does Not Currently Qualify,,
51,,,Does Not Currently Qualify,,
52,,Complete,Completed,8/29/2019,8/29/2019
54,,,Approved,,
55,,,Does Not Currently Qualify,,
56,,,Does Not Currently Qualify,,
57,,,Approved,,
58,,Complete,Completed,7/24/2019,7/24/2019
59,,,Does Not Currently Qualify,,
60,,,Does Not Currently Qualify,,
61,,,Does Not Currently Qualify,,
62,,,Approved,,
63,,,Does Not Currently Qualify,,
64,,,Does Not Currently Qualify,,
65,,,Does Not Currently Qualify,,
66,,,Does Not Currently Qualify,,
67,,,Does Not Currently Qualify,,
68,,,Approved,,
69,,,Approved,,
70,,,Does Not Currently Qualify,,
71,,,Approved,,
72,,,Does Not Currently Qualify,,
73,,,Does Not Currently Qualify,,
74,,,Does Not Currently Qualify,,
75,,,Approved,,
76,,,Does Not Currently Qualify,,
77,,,Approved,,
78,,,Does Not Currently Qualify,,
79,,,Does Not Currently Qualify,,
80,,,Approved,,
81,,,Does Not Currently Qualify,,
82,,,Does Not Currently Qualify,,
83,,Complete,Completed,6/7/2019,6/7/2019
85,,,Does Not Currently Qualify,,
86,,,Approved,,
87,,,Approved,,
88,,,Does Not Currently Qualify,,
89,,,Does Not Currently Qualify,,
90,,,Approved,,
91,,Complete,Completed,7/2/2019,7/2/2019
92,,,Does Not Currently Qualify,,
93,,,Approved,,
94,,,Does Not Currently Qualify,,
95,,,Does Not Currently Qualify,,
96,,,Does Not Currently Qualify,,
97,,,Does Not Currently Qualify,,
98,,,Approved,,
99,,,Does Not Currently Qualify,,
100,,Pending,Already Approved,,
101,,,Does Not Currently Qualify,,
102,,Complete,Completed,7/12/2019,7/12/2019
103,,,Does Not Currently Qualify,,
104,,,Approved,,
105,,Complete,Completed,9/22/2022,9/22/2022
106,,,Approved,,
429,,Scheduled,Already Approved,11/21/2024,
108,,,Approved,,
109,,,Does Not Currently Qualify,,
110,,Complete,Completed,6/7/2019,6/7/2019
111,,,Does Not Currently Qualify,,
112,,,Does Not Currently Qualify,,
113,,,Does Not Currently Qualify,,
114,,,Does Not Currently Qualify,,
115,,,Does Not Currently Qualify,,
116,,,Does Not Currently Qualify,,
117,,,Does Not Currently Qualify,,
118,,,Approved,,
119,,Complete,Completed,7/12/2019,7/12/2019
120,,,Approved,,
121,,,Does Not Currently Qualify,,
122,,,Does Not Currently Qualify,,
123,,,Approved,,
124,,Complete,Completed,8/20/2019,8/20/2019
125,,Pending,Already Approved,,
126,,,Does Not Currently Qualify,,
127,,Complete,Completed,8/27/2019,8/27/2019
128,,,Does Not Currently Qualify,,
129,,,Does Not Currently Qualify,,
130,,,Approved,,
131,,,Does Not Currently Qualify,,
132,,,Approved,,
133,,,Does Not Currently Qualify,,
134,,,Approved,,
135,,,Does Not Currently Qualify,,
136,,,Approved,,
137,,,Does Not Currently Qualify,,
138,,,Does Not Currently Qualify,,
139,,,Approved,,
140,,Complete,Completed,12/21/2021,12/21/2021
141,,,Does Not Currently Qualify,,
143,,,Approved,,
144,,,Does Not Currently Qualify,,
145,,,Does Not Currently Qualify,,
146,,,Approved,,
147,,,Approved,,
148,,,Approved,,
149,,,Approved,,
150,,,Does Not Currently Qualify,,
151,,,Does Not Currently Qualify,,
152,,,Does Not Currently Qualify,,
153,,,Approved,,
154,,,Approved,,
155,,,Does Not Currently Qualify,,
157,,Complete,Completed,7/10/2019,7/10/2019
158,,,Does Not Currently Qualify,,
159,,,Does Not Currently Qualify,,
160,,,Does Not Currently Qualify,,
161,,,Does Not Currently Qualify,,
162,,,Does Not Currently Qualify,,
163,,,Approved,,
164,,,Approved,,
165,,,Approved,,
166,,,Does Not Currently Qualify,,
167,,Complete,Completed,6/19/2019,6/19/2019
168,,,Does Not Currently Qualify,,
169,,,Approved,,
170,,,Approved,,
171,,Complete,Completed,6/5/2019,6/5/2019
172,,,Does Not Currently Qualify,,
173,,,Does Not Currently Qualify,,
174,,Complete,Completed,3/27/2018,3/27/2018
175,,On Hold,Already Approved,,
176,,,Does Not Currently Qualify,,
177,,,Approved,,
178,,,Does Not Currently Qualify,,
179,,,Does Not Currently Qualify,,
180,,Complete,Completed,1/12/2023,1/12/2023
181,,,Approved,,
182,,,Approved,,
183,,,Approved,,
184,,,Does Not Currently Qualify,,
185,,,Approved,,
186,,,Approved,,
188,,,Does Not Currently Qualify,,
189,,,Does Not Currently Qualify,,
190,,,Does Not Currently Qualify,,
192,,,Approved,,
194,,Complete,Completed,4/16/2021,4/16/2021
1958,,Scheduled,Already Approved,11/21/2024,
196,,,Does Not Currently Qualify,,
197,,,Does Not Currently Qualify,,
198,,,Does Not Currently Qualify,,
199,,,Does Not Currently Qualify,,
200,,,Does Not Currently Qualify,,
201,,,Does Not Currently Qualify,,
202,,Complete,Completed,6/18/2020,6/18/2020
203,,,Does Not Currently Qualify,,
204,,,Does Not Currently Qualify,,
205,,,Approved,,
206,,,Does Not Currently Qualify,,
207,,,Approved,,
209,,,Does Not Currently Qualify,,
210,,,Does Not Currently Qualify,,
211,,,Does Not Currently Qualify,,
212,,Pending,Already Approved,,
213,,,Approved,,
4048,,Scheduled,Already Approved,11/12/2024,
216,,,Approved,,
217,,,Does Not Currently Qualify,,
218,,,Approved,,
219,,,Approved,,
220,,,Approved,,
221,,,Approved,,
222,,,Approved,,
224,,,Does Not Currently Qualify,,
225,,,Does Not Currently Qualify,,
226,,,Approved,,
227,,,Approved,,
228,,,Does Not Currently Qualify,,
229,,,Approved,,
230,,,Does Not Currently Qualify,,
231,,,Does Not Currently Qualify,,
232,,,Does Not Currently Qualify,,
233,,,Approved,,
234,,,Approved,,
236,,Complete,Completed,1/21/2023,1/21/2023
237,,,Does Not Currently Qualify,,
238,,,Does Not Currently Qualify,,
239,,,Approved,,
240,,,Does Not Currently Qualify,,
242,,,Does Not Currently Qualify,,
243,,,Approved,,
244,,,Approved,,
246,,,Does Not Currently Qualify,,
247,,,Does Not Currently Qualify,,
248,,,Does Not Currently Qualify,,
449,,Scheduled,Already Approved,11/11/2024,
250,,,Does Not Currently Qualify,,
251,,,Approved,,
252,,,Approved,,
253,,,Does Not Currently Qualify,,
254,,,Does Not Currently Qualify,,
256,,,Does Not Currently Qualify,,
257,,,Approved,,
258,,,Does Not Currently Qualify,,
259,,,Approved,,
260,,,Does Not Currently Qualify,,
261,,Complete,Completed,1/1/2014,1/1/2014
262,,,Approved,,
264,,,Approved,,
265,,,Approved,,
