Market,Store,New Electric Van VIN 
490,4747,1FTBW3XK7NKA00511
306,4574,1FTBW3XK1NKA00536
287,4191,1FTBW3XK0NKA14380
376,1689,1FTBW3XK4NKA00594
360,1120,1FTBW3XK5NKA00538
433,1671,1FTBW3XK9NKA08271
288,3265,1FTBW3XK5NKA00541
339,1161,1FTBW3XK7NKA00556
389,3018,1FTBW3XK6NKA28428
290,2821,1FTBW3XK1NKA00522
22,3205,1FTBW3XK4NKA14415
367,3884,1FTBW3XK0NKA00608
116,5300,1FTBW3XK5NKA14116
465,2110,1FTBW3XK6NKA00533
109,3625,1FTBW3XKXNKA14158
115,528,1FTBW3XKXNKA00499
131,5056,1FTBW3XKXNKA14225
145,2322,1FTBW3XK8NKA00548
108,3858,1FTBW3XK7NKA08270
288,3214,1FTBW3XK4NKA14172
225,3749,1FTBW3XK3NKA00490
219,1594,1FTBW3XK5NKA08252
48,963,1FTBW3XKXNKA08246
379,5341,1FTBW3XK8NKA14160
128,1353,1FTBW3XK2NKA14395
533,3615,1FTBW3XK1NKA08281
352,1626,1FTBW3XK1NKA22519
231,5241,1FTBW3XK4NKA14236
153,7020,1FTBW3XK7NKA08236
153,5616,1FTBW3XK2NKA14459
583,5987,1FTBW3XK0NKA14122
52,6963,1FTBW3XK6NKA08275
125,3167,1FTBW3XK9NKA14460
380,2751,1FTBW3XK0NKA09647
396,4557,1FTBW3XK1NKA14355
108,3858,1FTBW3XK3NKA14342
559,5988,1FTBW3XK5NKA14410
42,4237,1FTBW3XK3NKA14339
391,1896,1FTBW3XK8NKA22517
466,5644,1FTBW3XK1NKA00472
505,3763,1FTBW3XKXNKA00504
128,541,1FTBW3XK6NKA14187
125,553,1FTBW3XK1NKA14484
48,590,1FTBW3XKXNKA14175
341,1418,1FTBW3XK3NKA00537
466,2517,1FTBW3XK3NKA22537
533,3615,1FTBW3XK6NKA14447
340,2213,1FTBW3XK0NKA22544
25,3388,1FTBW3XK4NKA14348
391,5123,1FTBW3XK7NKA08267
