Market,Region,Store Number,Onhand Quantity This Year
1,14,991,12
1,14,1212,4
1,14,4581,13
1,14,853,6
1,14,6173,5
1,14,6173,8
1,14,6173,6
2,14,762,7
2,14,762,6
2,14,762,10
2,14,762,4
2,14,762,6
2,14,762,5
2,14,1158,9
2,14,1158,7
2,14,1158,9
2,14,1158,19
2,14,1158,14
2,14,1158,12
2,14,1158,6
2,14,1158,7
2,14,1158,4
2,14,1158,7
2,14,1158,4
2,14,1711,8
2,14,1711,9
2,14,2723,11
3,14,300,4
3,14,315,8
3,14,1201,13
4,12,118,4
4,12,164,6
4,12,164,3
4,12,164,7
4,12,258,9
4,12,258,8
4,12,114,6
4,12,114,0
4,12,114,0
4,12,114,0
4,12,114,0
5,12,375,6
5,12,433,8
7,14,604,7
7,14,1462,12
7,14,1462,4
7,14,2534,16
7,14,2534,15
8,14,483,9
8,14,483,12
8,14,700,3
8,14,700,3
8,14,930,9
8,14,930,14
8,14,938,8
8,14,5348,8
9,61,4473,8
9,61,4603,6
9,61,4324,18
9,61,4324,12
9,61,4324,13
10,14,355,26
10,14,355,7
10,14,355,12
10,14,355,4
10,14,356,8
10,14,356,4
10,14,356,10
10,14,730,8
10,14,730,13
10,14,733,6
10,14,733,8
10,14,809,8
10,14,809,5
10,14,863,4
10,14,863,5
10,14,863,8
10,14,863,6
11,14,715,6
11,14,715,8
11,14,715,9
11,14,715,8
11,14,715,5
11,14,731,6
11,14,731,12
11,14,731,4
11,14,731,6
11,14,731,4
11,14,731,14
11,14,764,5
13,14,1229,6
13,14,1481,4
13,14,1481,11
13,14,1481,6
13,14,4497,4
14,14,1493,6
14,14,1493,7
14,14,1620,6
14,14,2760,5
14,14,1174,7
14,14,1174,5
14,14,1174,7
14,14,7247,7
14,14,7247,3
14,14,7247,3
14,14,7247,7
16,3,494,6
16,3,4200,18
16,3,4200,10
16,3,4283,10
16,3,5363,6
18,2,4616,12
18,2,5786,8
18,2,5812,11
18,2,5812,10
18,2,5812,6
18,2,5812,7
19,2,745,7
19,2,3201,4
19,2,3401,5
19,2,3401,7
19,2,3401,8
19,2,3401,6
19,2,3402,8
19,2,3609,7
19,2,3609,13
19,2,3709,6
19,2,3709,17
19,2,3709,11
19,2,3709,7
19,2,3709,6
19,2,3709,4
19,2,3741,8
19,2,3741,11
20,2,1184,6
20,2,1184,9
20,2,2584,12
20,2,3118,9
20,2,3118,6
20,2,3188,11
20,2,3188,8
20,2,3188,8
20,2,3188,6
20,2,3710,4
20,2,4472,7
20,2,4472,6
21,2,3,10
21,2,3,6
21,2,3,8
21,2,510,5
21,2,1111,7
21,2,1111,8
21,2,1111,5
21,2,1121,9
21,2,1121,13
21,2,1121,4
21,2,5482,4
22,2,722,7
22,2,787,7
22,2,787,5
22,2,855,8
22,2,1047,4
22,2,1047,8
22,2,3205,14
22,2,3205,9
23,2,1181,9
23,2,5390,6
25,2,3388,5
25,2,3786,6
26,2,618,3
26,2,5275,11
26,2,5275,7
27,3,588,7
27,3,899,7
27,3,2615,5
27,3,2615,8
27,3,2615,6
27,3,5797,5
27,3,7194,5
27,3,7194,6
27,3,7194,5
28,3,556,8
28,3,686,6
28,3,686,6
28,3,686,8
28,3,836,15
28,3,836,12
28,3,836,14
28,3,1018,6
28,3,2630,6
28,3,5392,12
29,4,1383,8
29,4,1383,4
29,4,1383,7
29,4,1383,4
29,4,2832,12
29,4,6395,4
29,4,6395,6
30,3,1024,13
30,3,1293,9
30,3,1293,6
30,3,1658,5
30,3,1658,12
30,3,2754,6
30,3,2754,3
30,3,1227,5
30,3,5735,0
30,3,5735,16
30,3,5735,0
30,3,5735,0
30,3,5735,0
30,3,5735,0
30,3,1143,7
30,3,1143,10
32,3,555,5
32,3,555,9
32,3,1153,11
32,3,1367,7
32,3,2733,7
32,3,2733,4
32,3,2733,11
32,3,2733,9
32,3,2890,4
32,3,7246,8
35,2,3192,7
35,2,3192,2
35,2,3192,10
36,4,628,7
36,4,1358,4
36,4,2348,3
36,4,2348,12
37,4,643,11
37,4,5705,24
38,4,511,7
38,4,616,7
38,4,616,4
38,4,627,7
38,4,627,3
38,4,630,5
38,4,1017,4
38,4,1030,9
38,4,1030,8
38,4,1030,6
38,4,1030,6
38,4,1030,2
38,4,2703,7
38,4,2703,9
38,4,2703,20
38,4,2703,4
38,4,2703,7
