4743,11/20/23,11/27/23,11/30/23,11/27/23,12/11/23,Jan 2024
4783,11/21/23,11/27/23,d,11/27/23,12/12/23,Jan 2024
6372,11/27/23,11/27/23,11/30/23,11/27/23,12/13/23,Jan 2024
6376,11/28/23,11/30/23,12/4/23,11/27/23,12/11/23,Jan 2024
6415,11/14/23,11/27/23,11/29/23,11/29/23,12/14/23,Jan 2024
6482,12/4/23,12/1/23,12/5/23,11/27/23,12/12/23,Jan 2024
8242,12/5/23,12/1/23,12/5/23,11/27/23,12/13/23,Jan 2024
8248,COMPLETE,COMPLETE,COMPLETE - Except Bollard,COMPLETE,COMPLETE,Live
8284,12/6/23,12/1/23,12/5/23,11/27/23,12/14/23,Jan 2024
8286,12/7/23,11/30/23,12/4/23,11/27/23,12/14/23,Jan 2024
,,,,,,
,,,,,,
Yellow columns are club view,,,,,,
Blue are internal Home office view,,,,,,
