Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago,,,,,,,,
146,41,97,UBER,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202225,60.00%,91.67%,11.6,100.00%,50.00%,66.70%,40.00%,,,,,,,,
146,41,106,POINTPICKUP,Scheduled Express Delivery ,13,Executive Review,Degrading,Store Focus,202225,72.73%,93.75%,9.2,60.00%,66.70%,75.00%,85.70%,,,,,,,,
146,41,335,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202225,81.18%,68.77%,18.2,79.50%,79.20%,76.10%,90.10%,,,,,,,,
152,41,671,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202225,90.28%,81.89%,16.6,90.10%,94.00%,87.80%,88.80%,,,,,,,,
242,41,1053,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202225,87.57%,76.22%,8.9,85.90%,85.20%,86.90%,92.30%,,,,,,,,
242,41,3294,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202225,77.15%,58.83%,22.1,81.30%,64.40%,83.80%,80.90%,,,,,,,,
242,41,5418,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202225,82.30%,76.06%,15.3,76.90%,82.30%,82.30%,88.90%,,,,,,,,
242,41,7290,UBER,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202225,80.99%,87.16%,10.7,80.00%,90.90%,82.90%,70.60%,,,,,,,,
253,41,143,POINTPICKUP,Scheduled Express Delivery ,13,Executive Review,-,Store Focus,202225,85.71%,100.00%,10,,,,85.70%,,,,,,,,
253,41,491,POINTPICKUP,Scheduled Standard Delivery,22,Executive Review,Degrading,Driver Supply Focus,202225,65.52%,88.24%,8.9,85.70%,16.70%,55.60%,100.00%,,,,,,,,
253,41,3362,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202225,87.33%,67.18%,12.1,88.10%,88.00%,84.10%,89.60%,,,,,,,,
254,41,299,POINTPICKUP,Scheduled Standard Delivery,21,Executive Review,Degrading,Store Focus,202225,75.61%,69.05%,20.7,87.50%,88.90%,54.50%,76.90%,,,,,,,,
256,41,709,UBER,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202225,79.39%,73.91%,14.1,80.60%,81.50%,71.00%,83.80%,,,,,,,,
256,41,1165,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202225,80.00%,60.50%,16.8,66.70%,66.70%,89.80%,83.30%,,,,,,,,
257,41,689,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202225,83.38%,87.84%,11.4,83.70%,90.50%,81.40%,77.50%,,,,,,,,
257,41,825,DOORDASH,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202225,84.21%,100.00%,6.9,66.70%,100.00%,72.70%,89.50%,,,,,,,,
258,41,1113,DOORDASH,Scheduled Standard Delivery,6,At Risk,Recovering,Store Focus,202225,82.25%,71.74%,16,92.50%,93.20%,67.90%,83.60%,,,,,,,,
258,41,1259,DOORDASH,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202225,84.03%,80.72%,19.5,91.30%,82.20%,76.50%,86.80%,,,,,,,,
258,41,1259,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202225,85.18%,82.45%,15,90.10%,80.10%,81.40%,87.60%,,,,,,,,
259,41,591,POINTPICKUP,Scheduled Express Delivery ,11,Executive Review,Recovering,Driver Supply Focus,202225,82.86%,97.92%,6.6,100.00%,66.70%,100.00%,66.70%,,,,,,,,
259,41,1426,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202225,70.97%,64.54%,17.6,83.10%,42.80%,66.00%,82.10%,,,,,,,,
259,41,3894,DOORDASH,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202225,88.16%,76.47%,11.9,86.70%,87.50%,95.20%,83.30%,,,,,,,,
260,41,720,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202225,82.71%,77.30%,17.1,83.70%,87.50%,75.60%,83.30%,,,,,,,,
260,41,1210,POINTPICKUP,Scheduled Standard Delivery,10,Executive Review,Recovering,Store Focus,202225,92.59%,85.71%,8.2,100.00%,100.00%,100.00%,88.90%,,,,,,,,
260,41,2628,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202225,76.47%,60.00%,24.5,66.70%,100.00%,,77.80%,,,,,,,,
494,59,4524,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202225,86.97%,88.12%,9.5,77.40%,90.30%,87.50%,92.30%,,,,,,,,
1,14,853,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202225,82.19%,70.76%,17.7,78.60%,84.60%,87.00%,76.60%,,,,,,,,
1,14,853,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202225,82.80%,64.99%,16.8,81.50%,79.30%,85.90%,87.00%,,,,,,,,
1,14,866,POINTPICKUP,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202225,89.88%,86.96%,10.9,87.50%,90.20%,89.40%,93.80%,,,,,,,,
1,14,934,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202225,88.73%,74.36%,20.8,90.00%,75.00%,92.90%,89.70%,,,,,,,,
1,14,991,POINTPICKUP,Scheduled Standard Delivery,27,Executive Review,Recovering,Store Focus,202225,90.06%,93.31%,9.6,93.20%,90.10%,87.00%,92.40%,,,,,,,,
