Club,City,ST,GDC,DC NAME,DISTANCE TO CLUB,MP,Comments,SU 11/24,M 11/25,Tu 11/26,W 11/27,Th 11/28,F   11/29,Su 11/30,MT & PD ORDER FILL Days
4109,Bossier City,LA,6056,Terrell,166,1,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4702,Webster,TX,6056,Terrell,273,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4703,Albuquerque,NM,7077,Cheyenne,550,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4704,Fresno,CA,8397,Colton,280,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4707,Overland Park,KS,6065,Harrisonville,40,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4709,Corona,CA,8397,Colton,20,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4710,Chesapeake (W),VA,6091,Henderson,143,2,Single Truck Delivery  ,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4711,Virginia Beach,VA,6091,Henderson,162,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4712,Houston (Memorial),TX,6056,Terrell,252,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4713,The Woodlands,TX,6056,Terrell,218,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4718,S. Jordan,UT,8397,Colton,637,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4720,Austin,TX,6056,Terrell,226,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4721,Houston  ,TX,6056,Terrell,236,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4722,Williamstown,NJ,7030,Pottsville,127,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4724,Hoover,AL,6055,Monroe,207,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4728,Lexington (SW),KY,7012,Washington CH,184,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4729,Sterling,VA,6047,Bedford,136,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4730,West Jordan,UT,8397,Colton,645,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4731,Warr Acres,OK,6042,Pauls Valley,74,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4732,Glendale,AZ,8397,Colton,335,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4735,La Habra,CA,8397,Colton,42,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4736,Apple Valley,MN,7079,Mankato,74,1,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4738,Eagan,MN,7079,Mankato,88,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4739,Snellville,GA,6055,Monroe,19,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4740,Southhaven,MS,6059,Olney,341,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4741,Crestwood,MO,6059,Olney,135,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4742,Forth Worth,TX,6042,Pauls Valley,152,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4743,Plano,TX,6042,Pauls Valley,155,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4745,Thornton,CO,7077,Cheyenne,93,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4749,Conway,AR,6065,Harrisonville,317,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4750,Cuyahoga Falls,OH,7012,Washington CH,176,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4761,Norman,OK,6042,Pauls Valley,42,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4763,Sugarland,TX,6056,Terrell,266,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4764,Katy,TX,6056,Terrell,269,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4767,Palmdale,CA,8397,Colton,76,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4768,Reno (S),NV,8397,Colton,455,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4769,Houston (Galleria),TX,6056,Terrell,253,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4770,Evans,CO,7077,Cheyenne,73,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4771,Port Covington,MD,7030,Pottsville,147,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4772,Sarasota,FL,8851,Cocoa,161,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4774,Secaucus,NJ,6096,Johnstown,202,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4775,Metairie,LA,6057,Hammond,64,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4776,Huntsville (W),AL,6055,Monroe,230,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4777,Denver (N),CO,7077,Cheyenne,104,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4778,Auburn Hills,MI,6074,Garrett  ,197,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4780,Buford,GA,6055,Monroe,42,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4781,Lansing,MI,6074,Garrett  ,119,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4782,Kissimmee,FL,8851,Cocoa,54,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4783,Garland,TX,6042,Pauls Valley,156,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4784,Las Cruces,NM,8397,Colton,712,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4785,Sanford,FL,8851,Cocoa,60,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4786,Logan,UT,8397,Colton,733,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4787,Bloomington,MN,7079,Mankato,81,1,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4789,Sharpsburg,GA,6055,Monroe,81,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4790,Pearl  ,MS,6057,Hammond,146,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4791,Garden City,KS,6042,Pauls Valley,366,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4794,Lakeland (S),FL,8851,Cocoa,93,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4795,Grapevine,TX,6056,Terrell,59,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4797,Kannapolis,NC,6091,Henderson,171,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4798,Winston-Salem,NC,6091,Henderson,136,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4799,Citrus Heights,CA,8397,Colton,460,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4801,Riverview,FL,8851,Cocoa,128,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4802,Hiram,GA,6055,Monroe,83,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4804,McDonough,GA,6055,Monroe,41,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4805,Billings,MT,7077,Cheyenne,462,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4808,Springdale,AR,6065,Harrisonville,196,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4815,Normal,IL,7024,Sterling,127,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4816,Aurora,CO,7077,Cheyenne,122,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4817,Trussville,AL,6055,Monroe,201,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4818,Brocksville,FL,8851,Cocoa,115,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4819,Bakersfield,CA,8397,Colton,165,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4820,Pooler,GA,8851,Cocoa,289,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4822,Murrieta,CA,8397,Colton,38,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4824,Santa Clarita,CA,8397,Colton,94,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4825,Hot Springs,AR,6042,Pauls Valley,289,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4828,Orlando (Lake Nona),FL,8851,Cocoa,34,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4829,Gilbert (E),AZ,8397,Colton,349,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4830,Avondale,AZ,8397,Colton,307,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4831,Durham,NC,6091,Henderson,61,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4836,Oxford,AL,6055,Monroe,143,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4837,Denham Springs,LA,6057,Hammond,40,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4839,Tulsa (Hills),OK,6065,Harrisonville,238,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4840,Janesville,WI,7024,Sterling,109,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4843,Houston (Pearland),TX,6056,Terrell,261,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4846,Mentor,OH,7012,Washington CH,209,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4847,Greensburg,PA,6047,Bedford,82,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4850,McAllen (N),TX,6056,Terrell,530,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4851,Clarksville,IN,6059,Olney,172,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4852,Westly Chapel,FL,8851,Cocoa,132,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4853,Castle Rock,CO,7077,Cheyenne,137,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4855,Hanover,PA,7030,Pottsville,94,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4857,Cape Coral (Pine),FL,8851,Cocoa,195,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4859,Butler,PA,6047,Bedford,126,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4860,Beckley,WV,7012,Washington CH,205,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4861,St. Petersburg,FL,8851,Cocoa,140,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4870,Kansas City,MO,6065,Harrisonville,53,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4871,Meridian,MS,6057,Hammond,211,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4872,Columbia,SC,6055,Monroe,195,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4873,Lincoln,NE,6065,Harrisonville,230,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4874,Covington,LA,6057,Hammond,21,1,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4875,Wentzville,MO,6059,Olney,162,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4876,Bowling Green,KY,6059,Olney,193,1,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4878,Glen Carbon,IL,6059,Olney,116,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4879,Aiken,SC,6055,Monroe,141,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4901,Easley,SC,6055,Monroe,119,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4905,Denton,TX,6042,Pauls Valley,106,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4906,McKinney,TX,6042,Pauls Valley,137,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4908,Owesburg,KY,6059,Olney,117,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4911,Mansfield,TX,6056,Terrell,63,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4914,San Antonio (N),TX,6056,Terrell,301,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4915,Bullhead City,AZ,8397,Colton,261,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4917,Mooresville,NC,6091,Henderson,181,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4920,St. Joseph,MO,6065,Harrisonville,100,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4925,Dallas,TX,6056,Terrell,29,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4926,Columbus,IN,6059,Olney,149,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4930,Cookeville,TN,6059,Olney,300,1,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4933,Bismark,ND,7079,Mankato,502,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4936,Granville,WV,6047,Bedford,154,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4938,Albuquerque,NM,7077,Cheyenne,552,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4939,San Antonio (Brooks),TX,6056,Terrell,306,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4942,Elgin,IL,7024,Sterling,110,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4944,Grand Blanc,MI,6074,Garrett  ,174,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4946,Rocky Mount,NC,6091,Henderson,49,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4947,Zanesville,OH,7012,Washington CH,93,1,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4948,San Angelo,TX,6042,Pauls Valley,384,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4950,Hendersonville,NC,6055,Monroe,165,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4952,Tarentum,PA,6047,Bedford,105,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4955,Surprise,AZ,8397,Colton,317,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4958,San Marcos,TX,6056,Terrell,254,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4961,Roswell,NM,6042,Pauls Valley,524,1,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4962,Sandusky,OH,7012,Washington CH,158,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4963,Chillicothe,OH,7012,Washington CH,28,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4969,Bentonville,AR,6065,Harrisonville,183,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4972,Port St. Luice (W),FL,8851,Cocoa,85,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4973,DuBuque,IA,7024,Sterling,88,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4974,North Las Vegas (NE),NV,8397,Colton,241,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4982,Mt Pleasant,MI,6074,Garrett  ,178,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4983,Las Vegas (Rainbow),NV,8397,Colton,229,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4985,Springfield (S),MO,6065,Harrisonville,133,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4987,Longmont,CO,7077,Cheyenne,80,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4989,Auburn ,AL,6055,Monroe,149,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4990,Daphne,AL,6057,Hammond,166,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4991,Cocoa,FL,8851,Cocoa,2,1,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4992,Elizabethtown,KY,6059,Olney,195,1,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4994,Mechanicsburg,PA,7030,Pottsville,61,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4996,Danville,VA,6091,Henderson,114,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4998,Lady Lake,FL,8851,Cocoa,93,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4999,Quincy,IL,7024,Sterling,256,1,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6181,Papillion,NE,6065,Harrisonville,242,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6188,Austin (Lakeline),TX,6056,Terrell,219,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6189,Apopka,FL,8851,Cocoa,58,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6201,Kingston,NY,6096,Johnstown,98,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6202,Lufkin,TX,6056,Terrell,158,1,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6203,Columbia,SC,6055,Monroe,187,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6204,Valdosta,GA,8851,Cocoa,261,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6205,Yuma,AZ,8397,Colton,222,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6212,Orlando,FL,8851,Cocoa,37,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6213,Chandler,AZ,8397,Colton,336,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6216,Winterville,NC,6091,Henderson,109,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6217,Miami,FL,8851,Cocoa,208,1,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6218,Orlando,FL,8851,Cocoa,51,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6219,Colorado Springs,CO,7077,Cheyenne,170,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6220,Slidell,LA,6057,Hammond,40,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6228,Vernon Hills,IL,7024,Sterling,139,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6235,San Diego,CA,8397,Colton,104,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6236,Rock Hill,SC,6091,Henderson,220,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6238,Owasso,OK,6042,Pauls Valley,176,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6239,Timonium,MD,7030,Pottsville,120,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6240,Glendora,CA,8397,Colton,37,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6242,Columbus,OH,7012,Washington CH,55,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6244,Forth Worth,TX,6042,Pauls Valley,149,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6245,Harker Heights,TX,6056,Terrell,176,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6246,El Paso,TX,8397,Colton,750,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6247,Kansas City (Liberty),MO,6065,Harrisonville,49,1,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6249,Franklin,TN,6059,Olney,252,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6251,Washington,PA,7012,Washington CH,196,2,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6252,Chesterfield,MO,6059,Olney,141,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6254,Maple Grove,MN,7079,Mankato,96,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6255,Plano ,TX,6042,Pauls Valley,137,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6256,Memphis,TN,6059,Olney,351,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6257,Las Vegas,NV,8397,Colton,243,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6259,Round Rock,TX,6056,Terrell,206,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6260,Bartlett,TN,6059,Olney,347,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6261,Las Vegas,NV,8397,Colton,227,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6262,San Antonio,TX,6056,Terrell,304,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6265,Irving,TX,6042,Pauls Valley,134,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6267,Edmond,OK,6042,Pauls Valley,74,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6269,Harlingen,TX,6056,Terrell,548,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6275,Wichita,KS,6065,Harrisonville,206,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6302,Bedford,OH,7012,Washington CH,178,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6304,Indianapolis,IN,6059,Olney,158,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6305,Brooklyn,OH,7012,Washington CH,179,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6307,Columbus (N),OH,7012,Washington CH,59,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6308,Columbus (W),OH,7012,Washington CH,45,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6309,White Bear Lake,MN,7079,Mankato,104,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6310,Fridley,MN,7079,Mankato,98,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6311,Burnsville,MN,7079,Mankato,72,1,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6312,Inver Grove Heights,MN,7079,Mankato,95,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6313,Fort Wayne,IN,6074,Garrett  ,24,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6314,Elyria,OH,7012,Washington CH,169,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6315,Mishawaka,IN,6074,Garrett  ,82,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6317,North Canton,OH,7012,Washington CH,171,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6319,Kentwood,MI,6074,Garrett  ,159,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6320,Hermantown,MN,7079,Mankato,242,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6321,Appleton,WI,7024,Sterling,320,1,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6322,Boardman,OH,7012,Washington CH,221,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6324,Milwaukee,WI,7024,Sterling,169,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6325,Greenwood,IN,6059,Olney,172,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6326,Reynoldsburg,OH,7012,Washington CH,53,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6327,Niles,OH,7012,Washington CH,215,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6328,Cicero,IL,7024,Sterling,117,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6329,Tupelo,MS,6057,Hammond,335,2,Accelerated Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6330,Dover,DE,7030,Pottsville,145,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6331,Racine,WI,7024,Sterling,155,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6332,Philadelphia,PA,7030,Pottsville,108,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6333,Bangor,ME,6096,Johnstown,440,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6334,Decatur,IL,6059,Olney,122,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6335,Ocala,FL,8851,Cocoa,119,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6336,Temple,TX,6056,Terrell,158,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6338,College Station,TX,6056,Terrell,190,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6339,Crystal Lake,IL,7024,Sterling,104,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6341,Sunrise,FL,8851,Cocoa,180,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6342,Tulsa (E) ,OK,6042,Pauls Valley,162,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6343,Richmond (NW),VA,6091,Henderson,124,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6344,Des Moines (W),IA,7079,Mankato,214,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6345,Idaho Falls,ID,7077,Cheyenne,510,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6347,Farmington,NM,7077,Cheyenne,527,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6348,Charlotte,NC,6091,Henderson,202,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
