Facility,OKM Tracking ,OKM Delivery Date,OKM Install Date,Digital Lock Tracking,Carrier,Digital Lock Install Week,Digital Lock Installation Date,Total lock count,Length of install
1,,,,,,Live,8/31/22,,
4,,,,,,Live,9/1/22,,
10,,,,,,Live,12/12/24,,
19,,,,,,Live,1/16/25,,
26,,,,,,Live,12/9/24,,
29,,,,,,Live,1/20/25,,
35,,,,,,Live,12/10/24,,
41,,,,,,Live,1/8/25,,
54,,,,,,Live,1/25/22,,
59,,,,,,Live,1/9/25,,
79,,,,,,Live,1/24/22,,
80,,,,,,Live,1/23/25,,
86,,,,,,Live,8/30/22,,
94,,,,,,Live,10/15/24,,
100,,,,,,Live,8/31/22,,
124,,,,,,Live,8/27/24,,
126,,,,,,Live,8/28/24,,
140,,,,,,Live,12/16/24,,
141,,,,,,Live,12/11/24,,
144,,,,,,Live,2/24/22,,
154,,,,,,Live,1/7/25,,
159,,,,,,Live,1/22/25,,
163,,,,,,Live,12/17/24,,
179,,,,,,Live,1/10/25,,
188,,,,,,Live,1/17/25,,
190,,,,,,Live,1/15/25,,
192,,,,,,Live,12/16/24,,
194,,,,,,Live,12/13/24,,
195,,,,,,Live,1/24/25,,
210,,,,,,Live,12/10/24,,
217,,,,,,Live,11/4/24,,
234,,,,,,Live,10/29/24,,
266,,,,,,Live,10/10/23,,
272,,,,,,Live,6/13/23,,
292,,,,,,Live,9/10/24,,
307,,,,,,Live,1/29/25,,
342,,,,,,Live,11/5/24,,
351,,,,,,Live,9/1/22,,
359,,,,,,Live,4/14/25,,
372,,,,,,Live,12/6/24,,
376,,,,,,Live,9/3/24,,
378,,,,,,Live,11/4/24,,
384,,,,,,Live,10/11/24,,
404,,,,,,Live,9/13/24,,
408,,,,,,Live,11/13/24,,
427,,,,,,Live,11/8/24,,
431,,,,,,Live,1/14/25,,
448,,,,,,Live,9/5/24,,
449,,,,,,Live,10/8/24,,
450,,,,,,Live,9/6/24,,
451,,,,,,Live,1/21/25,,
467,,,,,,Live,10/11/23,,
471,,,,,,Live,10/8/24,,
475,,,,,,Live,9/13/24,,
484,,,,,,Live,1/8/25,,
500,,,,,,Live,9/5/22,,
511,,,,,,Live,10/17/24,,
515,,,,,,Live,12/13/24,,
521,,,,,,Live,10/17/24,,
529,,,,,,Live,9/24/24,,
539,,,,,,Live,1/9/25,,
544,,,,,,Live,12/9/24,,
546,,,,,,Live,9/18/24,,
557,,,,,,Live,1/7/25,,
559,,,,,,Live,1/14/25,,
560,,,,,,Live,12/2/24,,
565,,,,,,Live,10/10/23,,
576,,,,,,Live,1/6/25,,
577,,,,,,Live,1/9/25,,
581,,,,,,Live,1/28/25,,
589,,,,,,Live,12/9/24,,
590,,,,,,Live,10/23/24,,
592,,,,,,Live,12/13/24,,
605,,,,,,Live,12/6/24,,
616,,,,,,Live,10/16/24,,
622,,,,,,Live,12/6/24,,
628,,,,,,Live,10/15/24,,
630,,,,,,Live,1/20/25,,
631,,,,,,Live,11/7/24,,
632,,,,,,Live,10/8/24,,
634,,,,,,Live,10/25/24,,
635,,,,,,Live,12/10/24,,
638,,,,,,Live,10/4/24,,
640,,,,,,Live,2/5/25,,
641,,,,,,Live,1/17/25,,
646,,,,,,Live,11/4/24,,
651,,,,,,Live,10/10/24,,
652,,,,,,Live,12/5/24,,
688,,,,,,Live,1/7/25,,
695,,,,,,Live,1/10/25,,
728,,,,,,Live,12/11/24,,
744,,,,,,Live,8/30/22,,
745,,,,,,Live,10/29/24,,
748,,,,,,Live,1/10/25,,
749,,,,,,Live,11/12/24,,
750,,,,,,Live,1/21/25,,
753,,,,,,Live,1/22/25,,
754,,,,,,Live,12/17/24,,
767,,,,,,Live,11/4/24,,
768,,,,,,Live,9/20/24,,
772,,,,,,Live,9/9/24,,
776,,,,,,Live,1/14/25,,
787,,,,,,Live,11/6/24,,
789,,,,,,Live,10/12/23,,
805,,,,,,Live,10/23/24,,
806,,,,,,Live,12/10/24,,
810,,,,,,Live,1/27/25,,
817,,,,,,Live,11/7/24,,
818,,,,,,Live,11/5/24,,
824,,,,,,Live,9/11/24,,
829,,,,,,Live,11/12/24,,
835,,,,,,Live,1/12/23,,
839,,,,,,Live,1/15/25,,
842,,,,,,Live,10/11/24,,
849,,,,,,Live,9/16/24,,
850,,,,,,Live,1/10/23,,
855,,,,,,Live,8/8/24,,
877,,,,,,Live,9/26/24,,
880,,,,,,Live,10/9/23,,
886,,,,,,Live,12/9/24,,
892,,,,,,Live,1/9/25,,
894,,,,,,Live,9/2/22,,
896,,,,,,Live,10/16/24,,
905,,,,,,Live,10/15/24,,
908,,,,,,Live,10/14/24,,
912,,,,,,Live,9/24/24,,
915,,,,,,Live,9/10/24,,
930,,,,,,Live,1/23/25,,
935,,,,,,Live,1/27/25,,
937,,,,,,Live,11/5/24,,
940,,,,,,Live,10/25/24,,
948,,,,,,Live,10/18/24,,
972,,,,,,Live,10/30/24,,
991,,,,,,Live,1/16/25,,
993,,,,,,Live,12/11/24,,
1010,,,,,,Live,9/27/24,,
1011,,,,,,Live,12/16/24,,
1014,,,,,,Live,10/25/24,,
1027,,,,,,Live,9/30/24,,
1030,,,,,,Live,10/24/24,,
1034,,,,,,Live,10/3/24,,
1035,,,,,,Live,11/12/24,,
1036,,,,,,Live,1/23/25,,
1037,,,,,,Live,10/7/24,,
1040,,,,,,Live,9/18/24,,
1042,,,,,,Live,9/9/24,,
1047,,,,,,Live,8/9/24,,
1054,,,,,,Live,11/6/24,,
1055,,,,,,Live,3/29/22,,
1060,,,,,,Live,10/14/24,,
1064,,,,,,Live,10/21/24,,
1075,,,,,,Live,1/13/25,,
1082,,,,,,Live,10/24/24,,
1083,,,,,,Live,11/5/24,,
1088,,,,,,Live,1/15/25,,
1090,,,,,,Live,10/30/24,,
1094,,,,,,Live,10/28/24,,
1096,,,,,,Live,11/7/24,,
1099,,,,,,Live,9/7/22,,
1102,,,,,,Live,1/17/25,,
1103,,,,,,Live,8/31/22,,
1105,,,,,,Live,8/29/24,,
1118,,,,,,Live,10/12/23,,
1128,,,,,,Live,1/13/25,,
1129,,,,,,Live,9/9/24,,
1135,,,,,,Live,10/23/24,,
1136,,,,,,Live,1/28/25,,
1137,,,,,,Live,12/12/24,,
