Facility,Outage Type,Status,Walmart Week,Outage Start Date,Outage Time,Outage Duration,Outage Time Zone,Building Type,Day of Month,Comms Notes,,
7047,GLS 22.3 and Load Planner,Scheduled,15,May 10,12:00 a.m.,Four hours,Central,GDC,,,,
7077,Systems Outage Cancelled,Cancelled,15,May 10,11:00 p.m.,-,Central,GDC,,,,
6059,GLS 22.3,Scheduled,15,May 11,12:30 a.m.,Three hours,Central,GDC,Second Wednesday,,,
6090,YMS 1.4,Scheduled,15,May 11,2:00 a.m.,Three hours,Central,GDC,,,,
6092,Systems Outage Cancelled,Cancelled,15,May 11,3:00 a.m.,-,Central,RDC,Second Wednesday,,,
7023,Systems Outage Cancelled,Cancelled,15,May 11,11:30 p.m.,-,Central,GDC,,,,
7048,Systems Outage Cancelled,Cancelled,15,May 11,1:00 a.m.,-,Central,GDC,,,,
7039,YMS 1.4 and DB Decoupling,Scheduled,15,May 12,2:00 a.m.,Three hours,Central,RDC,,,,
8397,Systems Outage Cancelled,Cancelled,15,May 12,3:00 a.m.,-,Central,GDC,,,,
6009,Systems Outage Cancelled,Cancelled,15,May 13,12:30 a.m.,-,Central,RDC,Second Friday,,,
6094,Systems Outage Cancelled,Cancelled,15,May 13,1:00 a.m.,-,Central,RDC,,,,
6006,Systems Outage Cancelled,Cancelled,16,May 14,12:00 a.m.,-,Central,RDC,second Tuesday,,,
6070,YMS 1.4 and DB Decoupling,Scheduled,16,May 14,2:30 a.m.,Three hours,Central,RDC,Second Saturday,,,
6080,YMS 1.4 and DB Decoupling,Scheduled,16,May 14,10:30 p.m.,Three hours,Central,RDC,Third Saturday,,,
6088,Systems Outage Cancelled,Cancelled,16,May 14,12:30 a.m.,-,Central,,,,,
7016,GLS 22.3 and Load Planner,Scheduled,16,May 15,10:00 p.m.,Four hours,Central,GDC,,,,
7036,YMS 1.4 and DB Decoupling,Scheduled,16,May 15,1:00 a.m.,Three hours,Central,RDC,First Tuesday,,,
7079,Systems Outage Cancelled,Cancelled,16,May 15,1:30 a.m.,-,Central,GDC,,,,
6011,Systems Outage Cancelled,Cancelled,16,May 16,12:00 a.m.,-,Central,RDC,Third Monday,,,
6027,Systems Outage Cancelled,Cancelled,16,May 16,5:00 p.m.,-,Central,RDC,Third Saturday,,,
6062,Systems Outage Cancelled,Cancelled,16,May 16,12:30 a.m.,-,Central,GDC,Third Monday,,,
7010,Systems Outage Cancelled,Cancelled,16,May 16,1:00 a.m.,-,Central,GDC,,,,
7012,GLS 22.3 and Load Planner,Scheduled,16,May 16,10:30 p.m.,Four hours,Central,GDC,,,,
7018,GLS 22.3,Scheduled,16,May 16,12:00 a.m.,Up to four hours,Central,GDC,,,,
7042,Systems Outage Cancelled,Cancelled,16,May 16,12:00 a.m.,-,Central,IDC,,,,
6042,GLS 22.3,Scheduled,16,May 17,12:30 a.m.,Three hours,Central,GDC,third Tuesday,,,
6047,GLS 22.3,Scheduled,16,May 17,10:30 p.m.,Three hours,Central,GDC,Third tuesday,,,
6064,Systems Outage Cancelled,Cancelled,16,May 17,12:30 a.m.,-,Central,GDC,Third Tuesday,,,
6096,GLS 22.3,Scheduled,16,May 17,1:00 a.m.,Three Hours,Central,GDC,,,,
