Store Number,Launch Date 
359,3/15/2022
2685,3/15/2022
2686,3/15/2022
2745,3/15/2022
3654,3/15/2022
4108,3/15/2022
4516,3/15/2022
5260,3/15/2022
2002,3/15/2022
2119,3/15/2022
2280,3/15/2022
2486,3/15/2022
2537,3/15/2022
3493,3/15/2022
5133,3/15/2022
5435,3/15/2022
5611,3/15/2022
5766,3/15/2022
5884,3/15/2022
2106,3/15/2022
2189,3/15/2022
3254,3/15/2022
3277,3/15/2022
3729,3/15/2022
4239,3/15/2022
5,3/22/2022
36,3/22/2022
157,3/22/2022
159,3/22/2022
212,3/22/2022
221,3/22/2022
277,3/22/2022
296,3/22/2022
389,3/22/2022
511,3/22/2022
517,3/22/2022
544,3/22/2022
564,3/22/2022
574,3/22/2022
585,3/22/2022
586,3/22/2022
594,3/22/2022
628,3/22/2022
632,3/22/2022
643,3/22/2022
672,3/22/2022
709,3/22/2022
743,3/22/2022
754,3/22/2022
774,3/22/2022
877,3/22/2022
948,3/22/2022
998,3/22/2022
1017,3/22/2022
1037,3/22/2022
1080,3/22/2022
1165,3/22/2022
1175,3/22/2022
1217,3/22/2022
1227,3/22/2022
1240,3/22/2022
1268,3/22/2022
1270,3/22/2022
1291,3/22/2022
1293,3/22/2022
1313,3/22/2022
1359,3/22/2022
1364,3/22/2022
1370,3/22/2022
1372,3/22/2022
1385,3/22/2022
1406,3/22/2022
1407,3/22/2022
1440,3/22/2022
1464,3/22/2022
1481,3/22/2022
1552,3/22/2022
1560,3/22/2022
1561,3/22/2022
1581,3/22/2022
1614,3/22/2022
1626,3/22/2022
1656,3/22/2022
1728,3/22/2022
1742,3/22/2022
1746,3/22/2022
1748,3/22/2022
1807,3/22/2022
1821,3/22/2022
1852,3/22/2022
1860,3/22/2022
1869,3/22/2022
1902,3/22/2022
1959,3/22/2022
2005,3/22/2022
2050,3/22/2022
2051,3/22/2022
2058,3/22/2022
2132,3/22/2022
2134,3/22/2022
2137,3/22/2022
2145,3/22/2022
2174,3/22/2022
2194,3/22/2022
2202,3/22/2022
2213,3/22/2022
2247,3/22/2022
2284,3/22/2022
2294,3/22/2022
2299,3/22/2022
2325,3/22/2022
2348,3/22/2022
2369,3/22/2022
2414,3/22/2022
2440,3/22/2022
2474,3/22/2022
2483,3/22/2022
2488,3/22/2022
2516,3/22/2022
2550,3/22/2022
2552,3/22/2022
2555,3/22/2022
2575,3/22/2022
2586,3/22/2022
2587,3/22/2022
2590,3/22/2022
2592,3/22/2022
2593,3/22/2022
2712,3/22/2022
2734,3/22/2022
2804,3/22/2022
2835,3/22/2022
2838,3/22/2022
2858,3/22/2022
2871,3/22/2022
2884,3/22/2022
2887,3/22/2022
2922,3/22/2022
2927,3/22/2022
2928,3/22/2022
2947,3/22/2022
3035,3/22/2022
3050,3/22/2022
3071,3/22/2022
3144,3/22/2022
3182,3/22/2022
3192,3/22/2022
3293,3/22/2022
3296,3/22/2022
3344,3/22/2022
3350,3/22/2022
3351,3/22/2022
3354,3/22/2022
3355,3/22/2022
3356,3/22/2022
3367,3/22/2022
3379,3/22/2022
3407,3/22/2022
3422,3/22/2022
3430,3/22/2022
3442,3/22/2022
3469,3/22/2022
3473,3/22/2022
3475,3/22/2022
3478,3/22/2022
3486,3/22/2022
3489,3/22/2022
3501,3/22/2022
3512,3/22/2022
3570,3/22/2022
3580,3/22/2022
3602,3/22/2022
3610,3/22/2022
3700,3/22/2022
3724,3/22/2022
3728,3/22/2022
3733,3/22/2022
3783,3/22/2022
3829,3/22/2022
3844,3/22/2022
3884,3/22/2022
3885,3/22/2022
3889,3/22/2022
4128,3/22/2022
4130,3/22/2022
4131,3/22/2022
4147,3/22/2022
4157,3/22/2022
4195,3/22/2022
4206,3/22/2022
4221,3/22/2022
4223,3/22/2022
4237,3/22/2022
4250,3/22/2022
4252,3/22/2022
4273,3/22/2022
4275,3/22/2022
4285,3/22/2022
4335,3/22/2022
4356,3/22/2022
4456,3/22/2022
4458,3/22/2022
4484,3/22/2022
4499,3/22/2022
4514,3/22/2022
4519,3/22/2022
4557,3/22/2022
4574,3/22/2022
4593,3/22/2022
4600,3/22/2022
4664,3/22/2022
4747,3/22/2022
4848,3/22/2022
5031,3/22/2022
5043,3/22/2022
5046,3/22/2022
5062,3/22/2022
5063,3/22/2022
5070,3/22/2022
5085,3/22/2022
5087,3/22/2022
5103,3/22/2022
5118,3/22/2022
5122,3/22/2022
5165,3/22/2022
5206,3/22/2022
5254,3/22/2022
5269,3/22/2022
5290,3/22/2022
5292,3/22/2022
5298,3/22/2022
5423,3/22/2022
5436,3/22/2022
5450,3/22/2022
5462,3/22/2022
5481,3/22/2022
5494,3/22/2022
5626,3/22/2022
5627,3/22/2022
5628,3/22/2022
5725,3/22/2022
5735,3/22/2022
5743,3/22/2022
5879,3/22/2022
5899,3/22/2022
5927,3/22/2022
5935,3/22/2022
5944,3/22/2022
5962,3/22/2022
5968,3/22/2022
5987,3/22/2022
5993,3/22/2022
5994,3/22/2022
6178,3/22/2022
6576,3/22/2022
6579,3/22/2022
6851,3/22/2022
7062,3/22/2022
7194,3/22/2022
7290,3/22/2022
7326,3/22/2022
8930,3/22/2022
