Project ID,City,State,Possession Date,GO Date,Add Hollow Metal Exterior Door to Breakroom (CI31669) SC/D1,Add HDPE Insulated Interior Door to Breakroom (CI31669) SC/D1, Interior Door impacts Entertainment. Yes or No                       (3rd Party sent for TV Wall Cabling),Add Hollow Metal Door to Breakroom (CI 31701) WNM,Add HDPE Insulated Interior Door to Breakroom (CI 31701)  WNM,Revise Breakroom Door Hardware CI31941,"Add Hollow Metal Exterior Door  - Customer Service, Money Center, Vacant Tenant (CI31686)","Add HDPE Insulated Interior Door  - Customer Service, Money Center, Vacant Tenant (CI31686)",Add Hollow Metal Exterior Door - Occupied Tenant CI31807,Add HDPE Interior  Door - Occupied Tenant CI31807,Add  In-lane Door to  In-Lane Money Center / Cosmetic Bullpens CI31624,Add Hollow Metal Exterior Door to Liquor Tenant CI31682,Add HDPE Interior Door to Liquor Tenant CI31682, Revise Alarm for ACC Door CI31733,Hardware Only (existing Door) Vision Center CI31768,Add Exterior Door (Outswing) Vision Center CI31768,Add Interior Door (Inswing)  Vision Center CI31768
171,CAMDEN,AR,9/1/2024,9/27/2024,0,0,No,,,0,2,0,0,0,1,,,0,,,
16,VAN BUREN,AR,9/8/2024,10/4/2024,0,1,No,,,0,1,0,0,0,0,,,1,1,,
261,HOT SPRINGS,AR,9/1/2024,9/27/2024,0,1,No,,,0,3,0,0,0,1,,,1,1,,
8,MORRILTON,AR,9/29/2024,10/25/2024,0,1,No,,,0,1,0,0,0,0,,,1,,,
648,SAINT PETERS,MO,10/6/2024,11/1/2024,0,1,No,,,0,1,0,0,0,0,,,1,1,,
83,MAGNOLIA,AR,9/22/2024,10/18/2024,1,0,No,,,0,2,1,0,0,0,,,1,,0,0
179,SPRINGFIELD,MO,9/8/2024,10/4/2024,0,1,No,,,0,1,0,0,0,0,,,1,1,0,0
2221,SPRINGFIELD,MO,10/6/2024,11/1/2024,0,1,No,,,0,1,0,0,0,0,,,1,1,0,0
2175,BRANSON WEST,MO,9/22/2024,10/18/2024,0,1,No,,,0,2,0,0,0,0,,,1,0,0,0
2,HARRISON,AR,9/8/2024,10/4/2024,0,1,No,,,0,0,0,1,0,0,,,1,1,0,0
2575,CONWAY,AR,10/6/2024,11/1/2024,0,1,No,,,0,0,1,0,0,0,,,1,1,0,0
85,BENTON,AR,9/29/2024,10/25/2024,0,1,No,,,0,0,1,1,0,1,,,1,1,0,1
7,SHERWOOD,AR,9/15/2024,10/11/2024,0,1,No,,,0,1,0,0,0,0,,,0,1,0,0
281,HEBER SPGS,AR,9/8/2024,10/4/2024,0,1,No,,,0,0,0,0,0,0,,,,,0,0
2587,CABOT,AR,9/29/2024,10/25/2024,0,1,No,,,0,1,0,0,0,1,,,0,1,0,0
