Market,Store,SC BI LY Ship,SC BI LY Sold,SC BI TY Ship
1,853,11,9,8
1,866,15,14,14
1,904,9,8,8
1,934,8,7,8
1,991,12,10,10
1,1212,17,14,14
1,2748,5,4,5
1,4333,7,6,6
1,4581,8,6,6
1,5174,11,11,11
1,6173,8,8,8
2,562,9,8,8
2,670,17,15,16
2,762,10,7,7
2,1158,10,8,8
2,1711,8,7,7
2,2723,9,8,8
2,5113,14,14,14
2,7280,15,13,13
3,298,13,11,12
3,300,8,8,8
3,301,10,9,9
3,315,8,8,8
3,316,10,9,9
3,691,12,11,12
3,1201,17,14,14
3,2713,11,10,11
3,3386,9,9,9
3,5126,10,9,9
4,105,12,11,12
4,114,9,8,8
4,118,10,8,9
4,153,10,10,10
4,164,10,9,9
4,258,11,11,12
4,273,7,7,6
4,303,5,5,5
4,391,8,7,6
5,306,11,10,11
5,314,9,8,9
5,332,5,4,5
5,375,5,4,5
5,433,6,5,5
5,434,8,7,7
5,681,11,11,11
5,712,13,12,12
5,5197,8,7,7
5,6878,12,11,11
5,7324,6,6,5
7,604,15,13,15
7,723,10,9,9
7,734,12,11,12
7,740,7,6,6
7,1091,15,13,14
7,1134,11,10,10
7,1462,6,6,6
7,1638,6,6,5
7,2114,9,8,9
7,2534,14,12,12
8,424,8,8,8
8,483,12,10,11
8,700,9,8,8
8,930,11,8,8
8,938,11,8,8
8,1101,11,10,10
8,4318,12,10,11
8,4407,7,6,6
8,5348,9,6,6
9,3049,4,4,3
9,3143,3,3,2
9,3357,3,3,2
9,3377,6,5,5
9,4264,2,1,1
9,4293,5,4,5
9,4324,2,2,1
9,4473,5,4,5
9,4490,7,6,6
9,4603,2,2,1
9,5304,2,2,1
9,5725,4,3,3
10,329,9,8,9
10,355,12,9,10
10,356,6,5,5
10,432,6,5,5
10,726,9,8,8
10,730,11,10,11
10,733,10,9,8
10,809,13,12,13
10,863,15,14,11
10,1057,4,4,3
11,287,14,13,13
11,362,5,5,5
11,425,4,4,5
11,715,11,9,10
11,731,9,8,9
11,764,10,8,7
11,1052,5,4,5
11,2306,4,3,2
13,423,8,8,8
13,1229,7,6,6
13,1481,8,6,5
13,2111,5,5,5
13,3271,7,6,6
13,4330,8,7,7
13,4497,14,11,11
13,5262,5,5,5
14,990,21,19,21
14,1174,8,7,7
14,1222,11,11,12
14,1224,12,10,11
14,1493,7,7,7
14,1605,10,9,9
14,1620,12,11,11
14,2533,8,7,6
14,2739,8,8,8
14,2760,7,7,7
14,3484,10,9,9
14,3785,5,4,3
14,7247,6,6,6
15,818,5,4,5
15,919,8,8,8
15,944,15,15,16
15,1032,13,12,12
15,1207,10,10,10
15,1362,4,4,3
15,3075,6,6,6
15,3119,4,4,5
15,3439,8,7,7
15,5845,7,6,6
15,5872,4,3,2
16,494,11,9,9
16,614,10,9,10
16,932,15,12,13
16,1112,12,12,12
16,1284,15,13,14
16,1311,10,9,9
16,1338,9,8,7
16,3461,6,5,5
16,4200,11,9,9
16,4283,8,8,8
16,5363,9,8,8
18,515,16,13,13
18,1070,6,6,6
18,1122,9,9,10
18,1403,11,11,11
18,2513,5,5,5
18,2753,6,5,5
18,3485,8,8,8
18,3874,5,5,5
18,4616,9,10,10
18,5786,5,5,5
18,5812,8,8,8
18,7185,8,7,7
19,594,11,10,10
19,745,10,8,7
19,787,10,9,8
19,3201,9,9,9
19,3402,11,10,10
19,3609,10,8,7
19,5709,10,9,10
20,855,16,8,8
20,1047,9,8,8
20,3118,5,4,5
20,3401,7,6,5
20,3709,6,5,5
20,3710,6,5,5
20,6998,12,9,9
21,3,8,8,8
21,510,8,7,7
21,520,12,11,12
21,780,13,12,12
21,1111,8,8,8
21,1121,11,10,11
21,1363,6,6,6
21,1400,8,8,8
21,2811,7,7,7
21,3627,8,8,8
21,5482,4,4,3
22,615,12,11,11
22,722,15,13,14
22,727,8,8,8
22,856,11,11,12
22,1488,14,12,13
22,2732,11,10,11
22,3205,10,9,9
22,3741,10,9,9
22,4409,11,10,10
23,1184,6,5,5
23,1373,5,4,5
23,2360,2,2,1
23,2584,4,3,3
23,3067,2,2,1
23,3188,7,5,5
23,3621,4,3,2
24,518,7,7,7
24,878,4,4,5
24,1314,5,5,5
24,1578,5,3,2
24,1766,2,1,2
24,2154,5,4,5
24,2941,2,2,1
24,3462,5,4,5
24,4185,3,3,2
24,4436,3,2,1
24,5814,6,4,5
25,459,10,9,10
25,548,6,6,6
25,1340,8,6,6
25,1720,8,8,8
25,2475,8,8,8
25,3388,4,4,5
25,3389,5,5,5
25,3786,6,5,5
25,4472,6,6,6
25,4558,12,9,9
25,5252,13,11,12
26,575,5,4,3
26,618,8,7,7
26,937,4,3,3
26,1181,4,3,3
26,1586,9,7,7
26,3403,11,10,10
26,3471,5,5,5
26,3611,6,5,5
26,3748,6,6,5
26,5275,8,7,7
26,5390,5,4,5
27,588,3,3,2
27,843,5,4,5
27,889,8,7,7
27,899,11,10,10
27,952,7,6,6
27,1006,8,7,7
27,1072,9,8,9
27,2615,7,7,7
27,5797,4,4,5
27,7194,7,6,6
27,7245,4,3,3
28,556,11,11,11
28,593,10,9,10
28,639,10,9,10
28,686,6,5,5
28,836,11,11,9
28,862,13,13,14
28,864,11,10,10
28,1018,5,5,5
28,1061,6,6,6
28,2630,10,9,10
28,5392,5,5,5
29,605,8,8,8
29,635,8,7,7
29,728,2,2,1
29,1011,3,2,2
29,1383,6,6,6
29,2832,5,4,5
29,2860,8,7,8
29,4556,3,3,3
29,6395,3,3,2
29,7181,5,4,5
30,754,15,14,14
30,1024,7,7,7
30,1143,5,5,5
30,1227,7,7,7
30,1293,8,7,7
30,1658,6,6,6
30,2754,5,5,5
30,3570,9,9,9
30,4144,8,5,5
30,5735,7,6,6
32,555,8,7,7
32,758,7,7,7
32,907,9,8,8
32,1076,9,8,8
32,1153,9,7,8
32,1367,13,10,11
32,2733,7,7,7
32,2890,8,7,7
32,3750,9,8,8
32,7246,4,4,3
35,631,8,8,8
35,640,5,5,5
35,641,5,5,5
35,1123,9,8,9
35,1244,5,5,5
35,2265,10,10,11
35,2687,8,7,7
35,3191,7,6,6
35,3192,2,2,1
35,3222,6,5,5
35,4583,4,3,3
35,5487,7,7,7
36,628,13,9,9
36,632,1,1,1
36,1037,12,10,10
36,1146,4,4,5
36,1358,9,9,9
36,1359,1,1,1
36,1748,8,8,8
36,2348,3,3,2
36,2928,10,10,11
36,3367,5,5,5
36,4384,3,3,2
37,574,8,8,7
37,586,8,8,8
37,621,1,1,1
37,625,2,2,1
37,643,4,3,3
37,1829,2,1,1
37,2712,5,4,3
37,4664,5,5,5
37,5087,8,7,7
37,5705,7,6,6
38,511,5,4,5
38,616,7,7,7
38,627,5,5,5
38,630,8,7,7
38,634,11,9,10
38,642,6,6,6
38,1017,3,3,2
38,1030,12,11,12
38,1135,4,4,5
38,2703,6,6,5
38,4457,3,4,3
38,7188,4,4,5
39,396,8,7,7
39,514,7,6,6
39,624,11,11,10
39,644,8,7,7
39,795,1,1,1
39,1130,7,6,6
39,1270,10,9,9
39,1382,3,3,2
39,4487,2,2,1
39,6576,8,8,8
39,6887,6,5,5
41,881,9,8,9
41,1164,6,6,6
41,1183,7,7,7
41,1286,5,5,5
41,1339,13,12,13
41,2214,2,2,1
41,4420,10,9,9
41,4440,9,8,8
41,4506,8,7,7
41,4521,15,13,13
42,585,9,7,6
42,629,6,5,5
42,638,9,8,9
42,1035,11,10,10
42,1144,8,7,7
42,1281,9,9,10
42,1603,4,3,3
42,2806,7,7,8
42,3733,6,5,5
42,4237,4,4,5
42,4593,8,8,7
44,1455,9,9,9
44,1801,11,15,8
44,2978,10,8,9
44,3284,10,9,9
44,3285,15,12,9
44,3631,11,9,9
44,4279,12,9,9
44,4503,13,11,10
44,5147,16,12,12
45,251,8,8,8
45,265,9,8,8
45,412,16,14,14
45,516,14,10,9
45,827,9,9,9
45,1022,8,7,7
45,1044,8,7,7
45,2688,11,10,9
45,3764,8,8,8
45,6467,8,7,7
46,146,10,8,8
46,165,14,13,13
46,180,14,12,12
46,345,14,11,11
46,398,12,11,12
46,399,10,10,10
46,523,5,5,5
46,572,8,7,7
46,918,10,7,7
46,3828,5,5,5
47,38,9,8,8
47,49,6,5,5
47,131,7,7,8
47,148,14,13,13
47,181,8,7,7
47,226,7,6,5
47,240,5,5,5
47,417,13,12,13
47,427,11,11,11
47,468,10,8,8
47,2123,12,11,12
48,220,12,11,12
48,228,12,13,10
48,353,6,5,5
48,371,9,8,9
48,590,9,8,8
48,804,9,9,9
48,963,14,12,12
48,3431,10,9,9
48,4509,7,7,7
48,5359,15,27,14
49,284,15,12,15
49,471,16,15,16
49,896,17,13,13
49,3014,8,24,9
49,3432,9,8,8
49,3433,12,10,11
49,5288,18,17,18
49,5810,11,10,10
50,266,5,4,5
50,807,9,9,9
50,880,10,9,9
50,1178,6,6,6
50,2649,7,5,5
50,2834,8,7,6
50,3044,4,3,2
50,3274,6,6,5
50,5080,7,6,6
50,5416,6,6,5
51,202,3,2,1
51,1117,4,4,3
51,2918,3,3,2
51,2973,4,3,3
51,3406,3,2,2
51,3482,4,3,3
51,5210,7,7,7
51,5672,4,4,3
51,5673,5,5,5
52,206,7,6,6
52,467,7,6,6
52,3286,8,7,6
52,4627,10,9,9
52,5211,5,4,5
52,5311,4,3,3
52,5707,11,8,8
52,6963,10,9,10
53,217,5,5,5
53,426,5,4,5
53,1216,6,5,5
53,2105,7,7,7
53,2427,1,1,1
