STORE,D31 Footage Cat 2702,GM Footage Cat 2400,Mesh Traited,Clear Traited,,
1,36,32,No,No,,
2,28,12,No,No,,
3,16,8,No,No,,
4,32,16,No,No,,
5,28,12,Yes,Yes,,
7,24,12,Yes,Yes,,
8,12,12,No,No,,
9,16,12,Yes,No,,
10,28,16,Yes,Yes,,
11,12,8,No,No,,
12,16,16,Yes,No,,
13,32,20,No,No,,
14,12,16,No,No,,
15,16,0,No,No,,
16,12,16,No,No,,
17,28,12,Yes,Yes,,
18,8,12,Yes,Yes,,
19,16,24,Yes,No,,
20,8,8,No,No,,
21,28,8,Yes,No,,
22,20,24,No,Yes,,
23,24,8,Yes,Yes,,
24,12,24,Yes,Yes,,
25,24,20,No,No,,
26,12,20,No,No,,
27,12,0,No,Yes,,
28,32,16,Yes,No,,
29,28,12,Yes,Yes,,
30,4,16,No,No,,
31,24,24,No,No,,
32,16,12,Yes,No,,
33,16,8,No,No,,
34,12,16,No,No,,
35,8,12,Yes,Yes,,
36,16,24,No,No,,
37,24,16,Yes,No,,
38,12,12,No,Yes,,
39,20,12,No,No,,
40,24,24,No,Yes,,
41,24,24,No,No,,
42,20,12,No,No,,
43,12,16,No,Yes,,
44,16,0,No,No,,
45,28,12,Yes,No,,
46,12,16,No,No,,
47,28,16,No,No,,
48,16,12,No,No,,
49,16,12,Yes,No,,
50,8,12,No,No,,
51,24,12,No,No,,
52,24,24,Yes,Yes,,
54,16,20,Yes,Yes,,
55,12,12,No,No,,
56,16,8,No,No,,
57,8,0,No,No,,
58,12,24,No,No,,
59,20,20,Yes,No,,
60,32,16,No,No,,
61,12,16,No,No,,
62,24,16,Yes,Yes,,
63,8,8,No,No,,
64,0,12,No,No,,
65,16,16,No,No,,
66,12,12,No,Yes,,
67,16,12,No,Yes,,
68,0,12,Yes,No,,
69,16,24,No,No,,
70,16,12,Yes,Yes,,
71,36,8,No,No,,
72,16,16,No,No,,
73,20,16,No,No,,
74,12,12,No,No,,
75,12,16,Yes,No,,
76,20,8,No,No,,
77,20,12,No,No,,
78,24,16,No,No,,
79,20,16,No,No,,
80,16,8,No,Yes,,
81,16,8,No,No,,
82,12,0,No,No,,
83,12,24,Yes,No,,
85,32,20,No,No,,
86,8,24,No,Yes,,
87,20,24,Yes,Yes,,
88,12,12,No,No,,
89,32,20,No,Yes,,
90,24,8,Yes,No,,
91,16,8,Yes,Yes,,
92,12,12,No,No,,
93,28,12,Yes,Yes,,
94,24,20,Yes,Yes,,
95,8,24,No,No,,
