Store,"Feature Size (Half pallet, pallet, endcap, etc..)",Week
1,Endcap,34
2,Endcap,34
3,Endcap,34
4,Endcap,34
7,Endcap,34
8,Endcap,34
9,Endcap,34
10,Endcap,34
11,Endcap,34
12,Endcap,34
13,Endcap,34
14,Endcap,34
16,Endcap,34
17,Endcap,34
18,Endcap,34
19,Endcap,34
22,Endcap,34
23,Endcap,34
24,Endcap,34
25,Endcap,34
27,Endcap,34
28,Endcap,34
31,Endcap,34
32,Endcap,34
33,Endcap,34
37,Endcap,34
38,Endcap,34
39,Endcap,34
40,Endcap,34
41,Endcap,34
42,Endcap,34
46,Endcap,34
50,Endcap,34
51,Endcap,34
55,Endcap,34
58,Endcap,34
59,Endcap,34
61,Endcap,34
62,Endcap,34
64,Endcap,34
68,Endcap,34
69,Endcap,34
70,Endcap,34
71,Endcap,34
72,Endcap,34
73,Endcap,34
74,Endcap,34
75,Endcap,34
78,Endcap,34
81,Endcap,34
83,Endcap,34
85,Endcap,34
87,Endcap,34
88,Endcap,34
90,Endcap,34
93,Endcap,34
96,Endcap,34
98,Endcap,34
100,Endcap,34
101,Endcap,34
102,Endcap,34
103,Endcap,34
104,Endcap,34
105,Endcap,34
106,Endcap,34
110,Endcap,34
111,Endcap,34
112,Endcap,34
113,Endcap,34
114,Endcap,34
115,Endcap,34
120,Endcap,34
121,Endcap,34
122,Endcap,34
123,Endcap,34
124,Endcap,34
125,Endcap,34
126,Endcap,34
128,Endcap,34
129,Endcap,34
131,Endcap,34
134,Endcap,34
137,Endcap,34
138,Endcap,34
139,Endcap,34
140,Endcap,34
144,Endcap,34
145,Endcap,34
146,Endcap,34
148,Endcap,34
150,Endcap,34
151,Endcap,34
153,Endcap,34
154,Endcap,34
155,Endcap,34
158,Endcap,34
160,Endcap,34
161,Endcap,34
163,Endcap,34
165,Endcap,34
166,Endcap,34
167,Endcap,34
168,Endcap,34
169,Endcap,34
170,Endcap,34
171,Endcap,34
172,Endcap,34
174,Endcap,34
175,Endcap,34
176,Endcap,34
177,Endcap,34
178,Endcap,34
179,Endcap,34
180,Endcap,34
182,Endcap,34
183,Endcap,34
185,Endcap,34
186,Endcap,34
188,Endcap,34
192,Endcap,34
194,Endcap,34
196,Endcap,34
197,Endcap,34
199,Endcap,34
200,Endcap,34
202,Endcap,34
204,Endcap,34
209,Endcap,34
210,Endcap,34
212,Endcap,34
214,Endcap,34
216,Endcap,34
217,Endcap,34
218,Endcap,34
219,Endcap,34
220,Endcap,34
222,Endcap,34
224,Endcap,34
226,Endcap,34
232,Endcap,34
234,Endcap,34
236,Endcap,34
237,Endcap,34
240,Endcap,34
242,Endcap,34
243,Endcap,34
246,Endcap,34
248,Endcap,34
249,Endcap,34
251,Endcap,34
253,Endcap,34
256,Endcap,34
257,Endcap,34
258,Endcap,34
259,Endcap,34
260,Endcap,34
261,Endcap,34
265,Endcap,34
266,Endcap,34
268,Endcap,34
269,Endcap,34
272,Endcap,34
273,Endcap,34
274,Endcap,34
278,Endcap,34
279,Endcap,34
284,Endcap,34
285,Endcap,34
286,Endcap,34
287,Endcap,34
289,Endcap,34
290,Endcap,34
293,Endcap,34
294,Endcap,34
295,Endcap,34
296,Endcap,34
297,Endcap,34
299,Endcap,34
301,Endcap,34
302,Endcap,34
