Region,Store # ,First Carrier Assigned,Fulfillment Type,Week with Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5,827,ROADIE,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202311,52.60%,100.00%,8.6,76.90%,45.50%,30.00%,50.00%
5,2427,ROADIE,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202311,81.00%,93.00%,7.5,90.90%,73.30%,75.00%,83.30%
5,1253,SPARK,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,202311,82.90%,91.50%,9.2,91.10%,80.50%,81.60%,78.50%
5,77,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202311,72.60%,97.50%,6.7,78.70%,71.90%,71.40%,66.70%
13,777,POINTPICKUP,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202311,95.20%,98.80%,7.3,88.20%,100.00%,94.40%,96.00%
13,485,SPARK,Scheduled Standard Delivery,35,Executive Review,Recovering,Driver Supply Focus,202311,92.60%,99.30%,7.2,97.60%,90.30%,94.30%,89.20%
13,903,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,202311,89.80%,93.30%,8.9,89.00%,85.80%,92.50%,92.10%
13,3059,SPARK,Scheduled Standard Delivery,31,Executive Review,Degrading,Driver Supply Focus,202311,90.40%,99.50%,7.2,85.60%,91.10%,96.60%,88.50%
64,7233,SPARK,Scheduled Standard Delivery,30,Executive Review,Recovering,Driver Supply Focus,202311,91.50%,91.20%,7.9,91.00%,88.60%,94.50%,92.50%
6,5612,ROADIE,Scheduled Standard Delivery,11,Executive Review,Degrading,Driver Supply Focus,202311,87.40%,99.50%,9.3,89.10%,86.80%,88.80%,85.20%
6,321,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202311,90.60%,97.80%,7.1,93.10%,92.70%,91.00%,85.70%
6,999,POINTPICKUP,Scheduled Standard Delivery,26,Executive Review,Recovering,Driver Supply Focus,202311,71.40%,100.00%,9,100.00%,100.00%,0.00%,50.00%
6,364,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202311,71.70%,93.10%,7.8,74.20%,67.40%,68.40%,81.30%
6,3107,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202311,90.80%,98.40%,5.4,91.70%,93.90%,88.80%,88.40%
46,4201,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Driver Supply Focus,202311,95.40%,99.30%,6.8,99.20%,93.90%,98.20%,88.20%
46,4678,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202311,28.60%,100.00%,5.2,0.00%,50.00%,0.00%,50.00%
41,5175,POINTPICKUP,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,202311,91.00%,98.80%,7.4,93.10%,84.60%,94.70%,88.20%
41,1190,POINTPICKUP,Scheduled Standard Delivery,27,Executive Review,Recovering,Driver Supply Focus,202311,90.90%,92.70%,9.1,90.20%,86.60%,95.90%,91.00%
41,1247,SPARK,Scheduled Standard Delivery,30,Executive Review,Degrading,Driver Supply Focus,202311,90.00%,96.40%,8.8,86.80%,92.60%,93.10%,87.10%
41,720,POINTPICKUP,Scheduled Standard Delivery,43,Executive Review,Degrading,Driver Supply Focus,202311,88.60%,89.60%,8.8,83.30%,83.50%,93.70%,91.70%
19,2567,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202311,92.20%,95.80%,8.5,91.50%,89.60%,95.90%,91.80%
19,3453,SPARK,Scheduled Standard Delivery,38,Executive Review,Recovering,Driver Supply Focus,202311,90.20%,92.00%,8.5,90.60%,90.90%,91.50%,87.70%
19,5064,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202311,93.20%,99.20%,7.2,93.70%,95.20%,95.50%,88.20%
19,5065,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202311,87.50%,89.10%,7.1,89.40%,90.20%,90.80%,79.90%
19,2080,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202311,90.70%,89.60%,9.7,88.20%,86.80%,97.00%,90.70%
19,5411,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202311,90.50%,90.80%,8.3,88.10%,88.20%,97.10%,88.40%
19,1754,SPARK,Scheduled Standard Delivery,30,Executive Review,Recovering,Driver Supply Focus,202311,92.60%,90.60%,7,93.00%,88.50%,97.00%,92.70%
19,4540,SPARK,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202311,84.30%,97.50%,6.3,93.90%,78.60%,93.40%,71.90%
19,2959,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202311,92.50%,96.70%,8.9,92.70%,91.90%,95.70%,89.80%
19,1445,ROADIE,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,202311,85.40%,98.80%,5.8,75.00%,91.70%,87.50%,85.70%
25,4323,POINTPICKUP,Scheduled Standard Delivery,34,Executive Review,Recovering,Driver Supply Focus,202311,68.80%,96.90%,7.3,100.00%,,95.70%,51.30%
25,262,SPARK,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202311,88.40%,96.40%,8.9,90.50%,92.50%,83.30%,85.40%
25,224,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202311,86.90%,99.40%,6.5,90.40%,72.80%,95.50%,88.10%
25,796,SPARK,Scheduled Standard Delivery,32,Executive Review,Degrading,Driver Supply Focus,202311,90.80%,93.20%,9.8,89.60%,83.20%,92.70%,97.00%
20,2193,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Driver Supply Focus,202311,88.30%,96.70%,9.9,90.30%,86.60%,96.10%,80.70%
20,5387,SPARK,Scheduled Standard Delivery,29,Executive Review,Degrading,Driver Supply Focus,202311,89.10%,91.50%,7.6,87.80%,91.20%,89.90%,87.50%
20,1948,SPARK,Scheduled Standard Delivery,19,Executive Review,Degrading,Driver Supply Focus,202311,89.70%,98.50%,9.4,85.20%,89.60%,94.50%,89.80%
