Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max WM WK ID,OTD*,OTP*,Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
183,16,2153,POINTPICKUP,Scheduled Express Delivery ,9,Executive Review,Recovering,Driver Supply Focus,,80.60%,89%,8.1,91.70%,88.20%,69.60%,80.00%
183,16,2153,POINTPICKUP,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,,75.60%,89%,7.3,85.00%,75.00%,69.00%,78.90%
184,16,2399,DOORDASH,Scheduled Standard Delivery,10,Executive Review,Recovering,Store Focus,,87.70%,86%,9.6,91.80%,87.70%,84.00%,86.90%
296,26,1191,POINTPICKUP,Scheduled Standard Delivery,17,Executive Review,Recovering,Store Focus,,89.40%,86%,6.6,90.20%,91.60%,86.80%,90.50%
296,26,2137,SPARK,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,,75.80%,63%,9.7,71.80%,81.60%,69.90%,78.30%
296,26,2137,UBER,Scheduled Express Delivery ,2,Active Monitoring,Degrading,Store Focus,,86.20%,66%,12.8,89.70%,88.40%,75.90%,88.20%
296,26,2137,UBER,Scheduled Standard Delivery,44,Executive Review,Degrading,Store Focus,,69.00%,62%,13.9,71.40%,77.30%,60.90%,66.70%
296,26,5346,POINTPICKUP,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,,78.20%,74%,11.2,72.00%,72.40%,83.00%,83.30%
297,26,4250,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,,80.30%,76%,10.9,82.90%,71.40%,87.80%,79.30%
297,26,4250,UBER,Scheduled Standard Delivery,22,Executive Review,Degrading,Store Focus,,76.50%,72%,17,89.40%,70.40%,66.20%,85.50%
297,26,4484,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Store Focus,,89.90%,83%,7.4,91.20%,95.10%,79.10%,94.60%
297,26,4484,UBER,Scheduled Standard Delivery,12,Executive Review,Recovering,Store Focus,,87.70%,83%,12.8,93.30%,96.20%,70.90%,89.50%
297,26,5118,UBER,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,,84.00%,72%,11.3,83.40%,89.30%,74.70%,87.00%
297,26,5254,SPARK,Scheduled Standard Delivery,17,Executive Review,Recovering,Driver Supply Focus,,87.70%,88%,5.6,91.70%,100.00%,72.40%,91.50%
297,26,5254,UBER,Scheduled Standard Delivery,17,Executive Review,Recovering,Store Focus,,88.70%,75%,8.6,94.40%,100.00%,87.20%,86.00%
298,26,3658,DOORDASH,Scheduled Standard Delivery,21,Executive Review,Recovering,Store Focus,,87.50%,75%,9.7,92.60%,91.50%,81.40%,87.40%
298,26,3658,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,,90.10%,79%,7.5,88.60%,95.30%,88.60%,87.90%
299,26,1237,POINTPICKUP,Scheduled Express Delivery ,6,At Risk,Recovering,Driver Supply Focus,,88.10%,98%,7.5,95.80%,84.20%,85.00%,85.70%
299,26,1372,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,,87.80%,96%,5.2,94.00%,86.30%,83.60%,86.60%
299,26,2247,UBER,Scheduled Standard Delivery,26,Executive Review,Degrading,Store Focus,,85.70%,54%,12.8,84.60%,79.20%,88.20%,100.00%
299,26,4499,UBER,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,,87.30%,75%,8.8,87.40%,87.70%,84.00%,89.90%
299,26,5046,UBER,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,,86.00%,88%,9.4,81.50%,84.80%,85.00%,92.00%
299,26,5743,UBER,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,,87.70%,82%,9.4,89.50%,91.10%,77.60%,92.70%
301,26,1197,POINTPICKUP,Scheduled Standard Delivery,17,Executive Review,Degrading,Store Focus,,81.10%,86%,10.2,78.70%,77.10%,82.70%,84.20%
302,26,1661,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Driver Supply Focus,,89.50%,88%,6.5,91.60%,87.80%,88.50%,89.90%
308,26,2793,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,,73.60%,55%,13,76.90%,64.00%,75.10%,78.80%
309,26,877,UBER,Scheduled Standard Delivery,17,Executive Review,Degrading,Store Focus,,84.80%,81%,12.8,80.70%,86.10%,87.00%,85.70%
309,26,1010,DOORDASH,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,,88.20%,71%,10.8,95.40%,87.20%,83.40%,88.50%
309,26,3700,UBER,Scheduled Standard Delivery,17,Executive Review,Degrading,Store Focus,,88.40%,87%,11.6,88.10%,91.20%,81.50%,93.00%
500,59,4147,UBER,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,,80.40%,79%,12.3,87.40%,66.30%,86.00%,82.80%
500,59,4157,UBER,Scheduled Standard Delivery,7,Executive Review,Recovering,Store Focus,,86.10%,80%,16.2,100.00%,90.90%,81.00%,78.60%
509,59,6176,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,,91.00%,79%,7.3,91.10%,93.40%,87.30%,92.00%
509,59,6263,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,,64.30%,68%,11.8,47.00%,68.50%,75.00%,63.80%
509,59,6264,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,,84.60%,92%,6.9,82.40%,86.00%,83.00%,86.40%
16,3,494,POINTPICKUP,Scheduled Standard Delivery,31,Executive Review,Recovering,Store Focus,,89.20%,87%,13.7,94.00%,90.50%,80.40%,91.70%
16,3,3461,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,,87.40%,89%,6.4,89.30%,87.00%,82.80%,89.60%
16,3,5363,POINTPICKUP,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,,91.60%,90%,8.3,88.00%,89.30%,94.70%,95.00%
27,3,588,SPARK,Scheduled Standard Delivery,7,Executive Review,Recovering,Store Focus,,86.50%,87%,11.7,90.70%,90.30%,73.20%,92.50%
27,3,843,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,,65.90%,96%,5.3,56.70%,69.00%,66.70%,70.00%
27,3,899,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,,80.90%,92%,10,78.60%,79.20%,80.70%,86.00%
27,3,899,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,,86.50%,91%,7.9,84.80%,89.00%,82.10%,89.30%
27,3,2615,POINTPICKUP,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,,67.30%,63%,13.9,72.80%,66.20%,39.10%,85.60%
27,3,5797,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Store Focus,,83.30%,81%,9.2,90.80%,73.90%,77.60%,89.50%
27,3,7194,UBER,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,,84.30%,97%,5.8,87.90%,82.50%,84.50%,82.10%
28,3,639,SPARK,Scheduled Standard Delivery,32,Executive Review,Recovering,Store Focus,,84.70%,73%,10.2,92.70%,73.50%,86.40%,87.10%
32,3,555,ROADIE,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,,61.00%,76%,12.9,75.00%,50.00%,54.50%,66.70%
32,3,1367,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Store Focus,,85.80%,80%,7.8,92.20%,92.70%,70.90%,88.00%
32,3,2733,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,,87.30%,92%,7.4,81.70%,82.50%,91.30%,94.40%
93,3,551,DOORDASH,Scheduled Standard Delivery,6,At Risk,Recovering,Store Focus,,91.10%,76%,8.9,96.90%,87.60%,91.10%,89.40%
93,3,1081,SPARK,Scheduled Standard Delivery,17,Executive Review,Degrading,Store Focus,,81.40%,76%,10.7,84.30%,79.50%,70.60%,91.30%
