DC,BANNER ,ITEM,TYPE,03/20/2024,03/21/2024,03/22/2024,03/23/2024,3/3/2024,3/4/2024,3/5/2024,3/6/2024,3/9/2024,3/10/2024,3/11/2024,3/12/2024,3/13/2024,3/14/2024,3/15/2024,3/16/2024,3/17/2024,3/18/2024,3/19/2024,3/20/2024,3/21/2024,3/22/2024,3/23/2024,3/24/2024,3/25/2024,3/26/2024,3/27/2024
6042,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,80,0
6042,SAMS,LIVE PLANTS,CASE,0,0,0,0,46,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6042,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,39,39,39,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0
6042,WM,CUT FLORAL,CASE,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6042,WM,CUT FLORAL,PALLET,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6042,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,456,359,0,0,1018,0,282,0,0,0,0
6042,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
6047,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,75,0
6047,SAMS,LIVE PLANTS,CASE,0,0,0,0,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6047,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,13,13,13,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0
6047,WM,CUT FLORAL,CASE,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6047,WM,CUT FLORAL,PALLET,18,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6047,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,882,0,0,0,0,0,0,582,828,0,216,1854,0,0,0,0,0,0
6047,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,28,54,0,0,0,0,0,0,0,0,0,0,0,0
6055,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,98,0,0,0
6055,SAMS,LIVE PLANTS,CASE,0,0,0,0,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6055,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,34,34,34,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0
6055,WM,CUT FLORAL,CASE,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6055,WM,CUT FLORAL,PALLET,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
