Change Type,STORE,MPDD WINDOW,MPDD SD/ND,Comments,,,,,,,,,,
Automation,631,09:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,640,09:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,641,09:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,1244,09:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,2328,18:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,3191,09:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,3192,09:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,4145,16:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,4452,16:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,4583,09:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,5487,09:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,624,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,629,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,638,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,1034,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,1035,09:00:00-22:00:00,Same Day Delivery,,,,,,,,,,,
Automation,1036,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,1130,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,1242,09:00:00-22:00:00,Next Day Delivery,Will miss a DD delivery on 4/15,,,,,,,,,,
Automation,1281,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,2265,09:00:00-22:00:00,Same Day Delivery,,,,,,,,,,,
Automation,2687,09:00:00-20:00:00,Same Day Delivery,,,,,,,,,,,
Automation,2806,09:00:00-22:00:00,Same Day Delivery,,,,,,,,,,,
Automation,3338,16:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,3628,16:00:00-22:00:00,Same Day Delivery,,,,,,,,,,,
Automation,4420,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,5298,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,5371,16:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,7146,16:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,515,09:00:00-22:00:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,1060,09:00:00-23:59:00,Next Day Delivery,,,,,,,,,,,
Automation,1064,09:00:00-23:59:00,Next Day Delivery,,,,,,,,,,,
Automation,1179,09:00:00-23:59:00,Next Day Delivery,,,,,,,,,,,
Automation,1209,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,1317,09:00:00-23:59:00,Next Day Delivery,Will miss a DD delivery on 4/15,,,,,,,,,,
Automation,1385,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,1663,09:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,1694,09:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,1795,09:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,2440,09:00:00-23:59:00,Same Day Delivery,Will get double DD delivery in 4/15 (from old and new DC),,,,,,,,,,
Automation,2749,09:00:00-23:59:00,Next Day Delivery,,,,,,,,,,,
Automation,4274,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,4334,09:00:00-23:59:00,Next Day Delivery,,,,,,,,,,,
Automation,4410,09:00:00-23:59:00,Next Day Delivery,,,,,,,,,,,
Automation,4428,09:00:00-23:59:00,Next Day Delivery,,,,,,,,,,,
Automation,4594,09:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,7004,16:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,7062,16:00:00-23:59:00,Same Day Delivery,,,,,,,,,,,
Automation,7296,16:00:00-23:59:00,Next Day Delivery,,,,,,,,,,,
Automation,7304,16:00:00-23:59:00,Next Day Delivery,,,,,,,,,,,
