STORE #,CLUSTER BEFORE,CLUSTER ,Total Bins,Mod Drop for Produce
1,CLUSTER 1,CLUSTER 1,24,202437
4,CLUSTER 1,CLUSTER 1,22,202437
5,CLUSTER 1,CLUSTER 1,22,202437
21,CLUSTER 1,CLUSTER 1,24,202437
35,CLUSTER 1,CLUSTER 1,22,202437
43,CLUSTER 1,CLUSTER 1,16,202437
45,CLUSTER 1,CLUSTER 1,22,202437
48,CLUSTER 1,CLUSTER 1,18,202437
52,CLUSTER 1,CLUSTER 1,16,202437
54,CLUSTER 1,CLUSTER 1,22,202437
77,CLUSTER 1,CLUSTER 1,16,202437
80,CLUSTER 1,CLUSTER 1,16,202437
81,CLUSTER 1,CLUSTER 1,16,202437
100,CLUSTER 1,CLUSTER 1,32,202437
124,CLUSTER 1,CLUSTER 1,16,202437
131,CLUSTER 1,CLUSTER 1,20,202437
144,CLUSTER 1,CLUSTER 1,22,202437
148,CLUSTER 1,CLUSTER 1,22,202437
159,CLUSTER 1,CLUSTER 1,22,202437
162,CLUSTER 1,CLUSTER 1,3,202437
163,CLUSTER 1,CLUSTER 1,24,202437
165,CLUSTER 1,CLUSTER 1,16,202437
180,CLUSTER 1,CLUSTER 1,20,202437
185,CLUSTER 1,CLUSTER 1,24,202437
194,CLUSTER 1,CLUSTER 1,20,202437
202,CLUSTER 1,CLUSTER 1,20,202437
206,CLUSTER 1,CLUSTER 1,24,202437
211,CLUSTER 1,CLUSTER 1,16,202437
212,CLUSTER 1,CLUSTER 1,22,202437
217,CLUSTER 1,CLUSTER 1,22,202437
220,CLUSTER 1,CLUSTER 1,22,202437
221,CLUSTER 1,CLUSTER 1,16,202437
228,CLUSTER 1,CLUSTER 1,16,202437
240,CLUSTER 1,CLUSTER 1,14,202437
249,CLUSTER 1,CLUSTER 1,16,202437
259,CLUSTER 1,CLUSTER 1,24,202437
260,CLUSTER 1,CLUSTER 1,22,202437
265,CLUSTER 1,CLUSTER 1,22,202437
266,CLUSTER 1,CLUSTER 1,22,202437
269,CLUSTER 1,CLUSTER 1,24,202437
279,CLUSTER 1,CLUSTER 1,14,202437
280,CLUSTER 1,CLUSTER 1,14,202437
284,CLUSTER 1,CLUSTER 1,24,202437
285,CLUSTER 1,CLUSTER 1,16,202437
286,CLUSTER 1,CLUSTER 1,20,202437
290,CLUSTER 1,CLUSTER 1,#N/A,202437
292,CLUSTER 1,CLUSTER 1,4,202437
297,CLUSTER 1,CLUSTER 1,22,202437
299,CLUSTER 1,CLUSTER 1,22,202437
322,CLUSTER 1,CLUSTER 1,14,202437
330,CLUSTER 1,CLUSTER 1,16,202437
332,CLUSTER 1,CLUSTER 1,16,202437
344,CLUSTER 1,CLUSTER 1,4,202437
351,CLUSTER 1,CLUSTER 1,16,202437
353,CLUSTER 1,CLUSTER 1,16,202437
359,CLUSTER 1,CLUSTER 1,28,202437
371,CLUSTER 1,CLUSTER 1,22,202437
372,CLUSTER 1,CLUSTER 1,24,202437
375,CLUSTER 1,CLUSTER 1,16,202437
381,CLUSTER 1,CLUSTER 1,20,202437
388,CLUSTER 1,CLUSTER 1,22,202437
392,CLUSTER 1,CLUSTER 1,18,202437
395,CLUSTER 1,CLUSTER 1,20,202437
397,CLUSTER 1,CLUSTER 1,18,202437
398,CLUSTER 1,CLUSTER 1,22,202437
399,CLUSTER 1,CLUSTER 1,24,202437
400,CLUSTER 1,CLUSTER 1,22,202437
404,CLUSTER 1,CLUSTER 1,20,202437
406,CLUSTER 1,CLUSTER 1,24,202437
408,CLUSTER 1,CLUSTER 1,16,202437
410,CLUSTER 1,CLUSTER 1,22,202437
412,CLUSTER 1,CLUSTER 1,18,202437
413,CLUSTER 1,CLUSTER 1,14,202437
417,CLUSTER 1,CLUSTER 1,16,202437
420,CLUSTER 1,CLUSTER 1,16,202437
421,CLUSTER 1,CLUSTER 1,24,202437
426,CLUSTER 1,CLUSTER 1,24,202437
427,CLUSTER 1,CLUSTER 1,22,202437
429,CLUSTER 1,CLUSTER 1,16,202437
430,CLUSTER 1,CLUSTER 1,20,202437
437,CLUSTER 1,CLUSTER 1,16,202437
438,CLUSTER 1,CLUSTER 1,#N/A,202437
440,CLUSTER 1,CLUSTER 1,4,202437
442,CLUSTER 1,CLUSTER 1,22,202437
443,CLUSTER 1,CLUSTER 1,#N/A,202437
447,CLUSTER 1,CLUSTER 1,20,202437
449,CLUSTER 1,CLUSTER 1,16,202437
452,CLUSTER 1,CLUSTER 1,18,202437
456,CLUSTER 1,CLUSTER 1,20,202437
458,CLUSTER 1,CLUSTER 1,6,202437
461,CLUSTER 1,CLUSTER 1,20,202437
462,CLUSTER 1,CLUSTER 1,20,202437
463,CLUSTER 1,CLUSTER 1,18,202437
464,CLUSTER 1,CLUSTER 1,20,202437
465,CLUSTER 1,CLUSTER 1,4,202437
467,CLUSTER 1,CLUSTER 1,19,202437
470,CLUSTER 1,CLUSTER 1,16,202437
471,CLUSTER 1,CLUSTER 1,22,202437
472,CLUSTER 1,CLUSTER 1,22,202437
475,CLUSTER 1,CLUSTER 1,16,202437
479,CLUSTER 1,CLUSTER 1,24,202437
490,CLUSTER 1,CLUSTER 1,3,202437
499,CLUSTER 1,CLUSTER 1,24,202437
500,CLUSTER 1,CLUSTER 1,22,202437
504,CLUSTER 1,CLUSTER 1,24,202437
512,CLUSTER 1,CLUSTER 1,24,202437
513,CLUSTER 1,CLUSTER 1,18,202437
522,CLUSTER 1,CLUSTER 1,16,202437
524,CLUSTER 1,CLUSTER 1,2,202437
527,CLUSTER 1,CLUSTER 1,16,202437
529,CLUSTER 1,CLUSTER 1,22,202437
535,CLUSTER 1,CLUSTER 1,24,202437
536,CLUSTER 1,CLUSTER 1,22,202437
537,CLUSTER 1,CLUSTER 1,24,202437
544,CLUSTER 1,CLUSTER 1,22,202437
546,CLUSTER 1,CLUSTER 1,20,202437
549,CLUSTER 1,CLUSTER 1,22,202437
557,CLUSTER 1,CLUSTER 1,22,202437
558,CLUSTER 1,CLUSTER 1,16,202437
559,CLUSTER 1,CLUSTER 1,20,202437
561,CLUSTER 1,CLUSTER 1,16,202437
564,CLUSTER 1,CLUSTER 1,24,202437
565,CLUSTER 1,CLUSTER 1,16,202437
572,CLUSTER 1,CLUSTER 1,22,202437
573,CLUSTER 1,CLUSTER 1,22,202437
576,CLUSTER 1,CLUSTER 1,24,202437
577,CLUSTER 1,CLUSTER 1,22,202437
581,CLUSTER 1,CLUSTER 1,24,202437
590,CLUSTER 1,CLUSTER 1,22,202437
595,CLUSTER 1,CLUSTER 1,16,202437
600,CLUSTER 1,CLUSTER 1,14,202437
601,CLUSTER 1,CLUSTER 1,16,202437
602,CLUSTER 1,CLUSTER 1,16,202437
608,CLUSTER 1,CLUSTER 1,20,202437
610,CLUSTER 1,CLUSTER 1,24,202437
611,CLUSTER 1,CLUSTER 1,24,202437
622,CLUSTER 1,CLUSTER 1,22,202437
637,CLUSTER 1,CLUSTER 1,18,202437
645,CLUSTER 1,CLUSTER 1,24,202437
652,CLUSTER 1,CLUSTER 1,24,202437
653,CLUSTER 1,CLUSTER 1,22,202437
659,CLUSTER 1,CLUSTER 1,20,202437
673,CLUSTER 1,CLUSTER 1,24,202437
682,CLUSTER 1,CLUSTER 1,20,202437
688,CLUSTER 1,CLUSTER 1,22,202437
695,CLUSTER 1,CLUSTER 1,16,202437
703,CLUSTER 1,CLUSTER 1,16,202437
710,CLUSTER 1,CLUSTER 1,20,202437
743,CLUSTER 1,CLUSTER 1,16,202437
744,CLUSTER 1,CLUSTER 1,22,202437
746,CLUSTER 1,CLUSTER 1,16,202437
749,CLUSTER 1,CLUSTER 1,16,202437
752,CLUSTER 1,CLUSTER 1,22,202437
757,CLUSTER 1,CLUSTER 1,4,202437
765,CLUSTER 1,CLUSTER 1,20,202437
768,CLUSTER 1,CLUSTER 1,24,202437
770,CLUSTER 1,CLUSTER 1,16,202437
774,CLUSTER 1,CLUSTER 1,22,202437
776,CLUSTER 1,CLUSTER 1,26,202437
781,CLUSTER 1,CLUSTER 1,20,202437
782,CLUSTER 1,CLUSTER 1,16,202437
786,CLUSTER 1,CLUSTER 1,24,202437
789,CLUSTER 1,CLUSTER 1,20,202437
791,CLUSTER 1,CLUSTER 1,8,202437
799,CLUSTER 1,CLUSTER 1,22,202437
804,CLUSTER 1,CLUSTER 1,24,202437
806,CLUSTER 1,CLUSTER 1,24,202437
807,CLUSTER 1,CLUSTER 1,24,202437
808,CLUSTER 1,CLUSTER 1,24,202437
812,CLUSTER 1,CLUSTER 1,18,202437
813,CLUSTER 1,CLUSTER 1,24,202437
821,CLUSTER 1,CLUSTER 1,24,202437
835,CLUSTER 1,CLUSTER 1,22,202437
842,CLUSTER 1,CLUSTER 1,24,202437
850,CLUSTER 1,CLUSTER 1,24,202437
865,CLUSTER 1,CLUSTER 1,22,202437
867,CLUSTER 1,CLUSTER 1,24,202437
868,CLUSTER 1,CLUSTER 1,20,202437
869,CLUSTER 1,CLUSTER 1,24,202437
872,CLUSTER 1,CLUSTER 1,16,202437
880,CLUSTER 1,CLUSTER 1,24,202437
886,CLUSTER 1,CLUSTER 1,20,202437
892,CLUSTER 1,CLUSTER 1,22,202437
894,CLUSTER 1,CLUSTER 1,24,202437
896,CLUSTER 1,CLUSTER 1,24,202437
897,CLUSTER 1,CLUSTER 1,20,202437
900,CLUSTER 1,CLUSTER 1,5,202437
901,CLUSTER 1,CLUSTER 1,16,202437
905,CLUSTER 1,CLUSTER 1,24,202437
917,CLUSTER 1,CLUSTER 1,12,202437
918,CLUSTER 1,CLUSTER 1,16,202437
924,CLUSTER 1,CLUSTER 1,24,202437
927,CLUSTER 1,CLUSTER 1,18,202437
939,CLUSTER 1,CLUSTER 1,16,202437
940,CLUSTER 1,CLUSTER 1,24,202437
947,CLUSTER 1,CLUSTER 1,24,202437
953,CLUSTER 1,CLUSTER 1,22,202437
