Store #,Clear Backpacks,Mesh Backpacks
1,NO,NO
2,NO,NO
3,NO,NO
4,NO,NO
5,YES,YES
7,YES,YES
8,NO,NO
9,NO,YES
10,YES,YES
11,NO,NO
12,NO,YES
13,NO,NO
14,NO,NO
15,NO,NO
16,NO,NO
17,YES,YES
18,YES,YES
19,NO,YES
20,NO,NO
21,NO,YES
22,YES,NO
23,YES,YES
24,YES,YES
25,NO,NO
26,NO,NO
27,YES,NO
28,NO,YES
29,YES,YES
30,NO,NO
31,NO,NO
32,NO,YES
33,NO,NO
34,NO,NO
35,YES,YES
36,NO,NO
37,NO,YES
38,YES,NO
39,NO,NO
40,YES,NO
41,NO,NO
42,NO,NO
43,YES,NO
44,NO,NO
45,NO,YES
46,NO,NO
47,NO,NO
48,NO,NO
49,NO,YES
50,NO,NO
51,NO,NO
52,YES,YES
54,YES,YES
55,NO,NO
56,NO,NO
57,NO,NO
58,NO,NO
59,NO,YES
60,NO,NO
61,NO,NO
62,YES,YES
63,NO,NO
64,NO,NO
65,NO,NO
66,YES,NO
67,YES,NO
68,NO,YES
69,NO,NO
70,YES,YES
71,NO,NO
72,NO,NO
73,NO,NO
74,NO,NO
75,NO,YES
76,NO,NO
77,NO,NO
78,NO,NO
79,NO,NO
80,YES,NO
81,NO,NO
82,NO,NO
83,NO,YES
85,NO,NO
86,YES,NO
87,YES,YES
88,NO,NO
89,YES,NO
90,NO,YES
91,YES,YES
92,NO,NO
93,YES,YES
94,YES,YES
95,NO,NO
96,NO,NO
97,YES,NO
98,YES,YES
99,YES,NO
100,NO,YES
101,NO,NO
102,NO,YES
103,YES,YES
104,NO,NO
105,YES,NO
106,NO,NO
107,NO,NO
108,NO,NO
109,NO,NO
110,NO,NO
111,NO,NO
112,YES,NO
113,NO,NO
114,YES,YES
115,YES,NO
116,NO,NO
117,YES,NO
118,NO,NO
119,NO,NO
120,NO,NO
121,YES,NO
122,YES,NO
123,YES,YES
124,YES,YES
125,NO,YES
126,NO,YES
127,NO,NO
128,NO,NO
129,NO,YES
130,NO,YES
131,YES,NO
132,NO,NO
133,NO,NO
134,YES,NO
135,NO,NO
136,NO,NO
137,NO,YES
138,NO,NO
139,NO,NO
140,NO,YES
141,NO,NO
143,YES,YES
144,YES,NO
145,YES,NO
146,YES,NO
147,NO,NO
148,NO,NO
149,YES,YES
150,NO,YES
151,YES,YES
152,NO,NO
153,NO,NO
155,NO,NO
157,YES,YES
158,NO,NO
159,NO,NO
160,NO,NO
161,NO,NO
162,NO,NO
163,YES,NO
164,NO,NO
165,YES,NO
166,NO,NO
167,NO,YES
168,YES,YES
169,NO,NO
170,YES,YES
171,NO,NO
172,NO,NO
173,NO,NO
174,YES,NO
175,YES,YES
177,NO,NO
178,NO,NO
179,NO,NO
180,NO,NO
181,NO,NO
182,YES,YES
183,YES,NO
184,NO,YES
185,NO,NO
186,NO,NO
188,YES,YES
189,NO,NO
190,YES,YES
192,NO,NO
194,YES,YES
195,NO,NO
196,NO,YES
197,NO,NO
198,NO,NO
199,NO,NO
200,NO,NO
201,NO,NO
202,NO,NO
203,NO,NO
204,NO,NO
205,NO,YES
206,NO,YES
207,NO,NO
210,NO,NO
211,YES,NO
212,NO,YES
213,YES,NO
214,YES,YES
216,YES,YES
217,NO,NO
218,NO,NO
219,YES,YES
220,YES,YES
221,NO,NO
222,NO,NO
224,NO,YES
225,NO,NO
226,NO,NO
227,YES,NO
228,NO,YES
229,NO,NO
230,NO,NO
231,NO,YES
233,NO,NO
234,NO,YES
236,YES,NO
237,NO,NO
238,NO,NO
239,NO,NO
240,YES,NO
242,NO,NO
243,NO,NO
244,YES,YES
246,NO,YES
247,YES,NO
248,NO,NO
249,NO,YES
250,NO,NO
251,NO,NO
252,NO,NO
253,NO,NO
254,NO,NO
256,NO,NO
257,NO,YES
258,YES,NO
259,YES,YES
260,YES,YES
261,NO,YES
262,NO,NO
264,NO,YES
265,YES,YES
266,YES,NO
267,NO,NO
268,NO,YES
269,YES,YES
271,NO,NO
272,YES,NO
273,NO,NO
274,NO,NO
275,NO,YES
276,NO,NO
277,NO,YES
278,YES,YES
279,NO,NO
280,NO,NO
281,YES,YES
282,NO,NO
283,NO,NO
284,YES,NO
285,YES,YES
286,YES,NO
287,YES,YES
288,YES,YES
289,NO,YES
290,YES,NO
292,NO,YES
293,NO,NO
294,NO,NO
295,YES,NO
296,NO,NO
297,NO,YES
298,YES,YES
299,YES,YES
300,YES,YES
301,YES,YES
302,NO,NO
303,NO,NO
304,NO,YES
305,YES,NO
306,NO,YES
307,YES,YES
308,NO,NO
309,NO,YES
310,YES,YES
311,YES,YES
312,YES,YES
313,NO,NO
314,NO,NO
315,YES,NO
316,YES,YES
317,YES,NO
318,NO,NO
319,NO,YES
320,YES,NO
321,YES,YES
322,YES,NO
323,YES,YES
324,NO,NO
325,NO,NO
328,NO,NO
329,YES,YES
330,NO,YES
331,NO,YES
332,NO,YES
333,NO,NO
334,NO,NO
335,YES,NO
336,NO,YES
337,NO,NO
338,YES,NO
339,NO,NO
340,NO,NO
341,NO,NO
342,NO,NO
343,NO,NO
344,YES,NO
345,NO,NO
346,NO,NO
347,NO,NO
348,YES,YES
350,NO,NO
351,NO,NO
352,NO,NO
353,NO,YES
354,NO,NO
355,YES,YES
356,YES,YES
357,NO,NO
358,NO,NO
359,YES,NO
360,NO,NO
361,NO,NO
362,YES,NO
363,YES,NO
364,NO,NO
365,YES,YES
366,NO,NO
368,NO,NO
369,NO,NO
370,NO,NO
371,NO,NO
372,NO,YES
373,YES,YES
374,NO,NO
375,NO,NO
376,NO,YES
378,YES,NO
379,NO,NO
381,YES,YES
382,NO,NO
383,YES,YES
384,NO,YES
385,NO,NO
386,NO,NO
387,NO,NO
388,NO,NO
389,NO,NO
390,NO,NO
391,NO,NO
392,NO,YES
393,NO,NO
394,NO,NO
395,YES,YES
396,NO,YES
397,YES,YES
398,NO,YES
399,YES,YES
400,YES,YES
401,NO,NO
402,YES,YES
403,NO,NO
404,YES,YES
405,YES,YES
406,NO,YES
407,NO,YES
408,YES,YES
409,NO,NO
410,YES,YES
411,YES,NO
412,YES,YES
413,YES,YES
414,NO,NO
415,YES,YES
416,YES,NO
417,YES,YES
419,NO,NO
420,NO,YES
421,NO,NO
422,NO,NO
423,YES,YES
424,YES,NO
425,NO,YES
426,YES,NO
427,YES,YES
428,YES,YES
429,YES,YES
430,NO,NO
431,NO,NO
432,YES,YES
433,YES,NO
434,YES,NO
435,NO,NO
436,NO,NO
437,YES,YES
438,NO,NO
440,NO,NO
442,NO,YES
443,NO,NO
444,NO,NO
445,NO,YES
446,NO,NO
447,YES,YES
448,YES,YES
449,YES,YES
450,YES,YES
451,YES,NO
452,YES,YES
453,NO,NO
454,NO,NO
456,YES,YES
457,NO,NO
458,NO,NO
459,YES,YES
461,NO,YES
462,YES,YES
463,YES,YES
464,NO,YES
465,YES,YES
466,NO,NO
467,NO,NO
468,YES,NO
469,YES,YES
470,YES,YES
471,YES,YES
472,YES,NO
473,YES,YES
475,NO,YES
476,YES,NO
477,NO,YES
478,NO,NO
479,NO,NO
480,NO,NO
481,NO,NO
482,NO,NO
483,NO,YES
484,NO,NO
485,NO,NO
486,NO,NO
488,YES,YES
489,YES,NO
490,NO,YES
491,NO,YES
492,YES,YES
493,NO,NO
494,NO,NO
495,YES,YES
497,NO,NO
498,YES,YES
499,NO,NO
500,YES,YES
501,YES,YES
502,YES,YES
503,NO,NO
504,YES,YES
505,NO,YES
506,NO,NO
507,NO,NO
508,YES,NO
510,YES,NO
511,NO,YES
512,NO,YES
513,NO,YES
514,NO,NO
515,NO,NO
516,NO,NO
517,NO,NO
518,NO,NO
519,NO,NO
520,NO,NO
521,NO,NO
522,YES,YES
523,YES,NO
524,YES,NO
526,YES,NO
527,YES,YES
528,NO,NO
529,YES,YES
530,YES,NO
531,YES,YES
532,YES,YES
533,YES,YES
535,NO,YES
536,YES,YES
537,YES,YES
538,NO,NO
539,YES,YES
540,YES,YES
541,NO,YES
542,YES,YES
543,YES,YES
544,YES,YES
545,NO,NO
546,NO,YES
547,NO,NO
548,NO,NO
549,YES,YES
550,NO,NO
551,NO,NO
552,NO,NO
553,NO,NO
554,YES,YES
555,YES,YES
556,YES,YES
557,NO,NO
558,NO,NO
559,NO,NO
560,YES,NO
561,NO,NO
562,YES,YES
563,NO,NO
564,NO,YES
565,YES,NO
566,NO,NO
567,NO,NO
568,YES,NO
569,NO,NO
571,NO,NO
572,NO,YES
573,YES,NO
574,NO,YES
575,NO,NO
576,YES,YES
577,NO,NO
578,YES,YES
579,NO,NO
580,YES,NO
581,NO,NO
582,YES,NO
583,YES,NO
584,NO,NO
585,YES,YES
586,YES,YES
587,NO,NO
588,YES,YES
589,NO,NO
590,NO,NO
591,NO,YES
592,NO,NO
593,YES,YES
594,NO,YES
595,YES,YES
596,YES,NO
598,NO,NO
599,YES,NO
600,NO,NO
601,NO,YES
602,YES,YES
603,NO,NO
604,YES,NO
605,YES,YES
606,YES,YES
608,YES,YES
609,NO,NO
610,NO,YES
611,NO,YES
612,YES,NO
613,YES,YES
614,YES,YES
615,YES,NO
616,NO,YES
617,NO,NO
618,YES,NO
619,YES,YES
620,YES,NO
621,YES,NO
622,YES,YES
623,NO,NO
624,NO,YES
625,YES,YES
626,NO,NO
627,YES,YES
628,YES,NO
629,NO,NO
630,NO,YES
631,NO,NO
632,NO,NO
633,NO,NO
634,NO,NO
635,YES,YES
636,NO,NO
637,YES,YES
638,NO,NO
639,YES,YES
640,YES,YES
641,YES,YES
642,YES,NO
643,NO,NO
644,NO,NO
645,YES,YES
646,NO,NO
