market_number,store_number,city_name,street_address_line_1
321,16,VAN BUREN,2214 FAYETTEVILLE RD
361,20,CLINTON,1712 E OHIO ST
134,75,PINEVILLE,3636 MONROE HWY
334,79,JOPLIN,2623 W 7TH ST
503,214,JASPER,800 W GIBSON ST
47,226,ATLANTA,201 LOOP 59
344,227,EL RENO,2400 S COUNTRY CLUB RD
147,238,PULASKI,1655 W COLLEGE ST
3,300,JACKSONVILLE,1625 PELHAM RD S
352,360,CUSHING,3100 E MAIN ST
66,383,SILSBEE,1100 US HIGHWAY 96 N
66,384,LUMBERTON,100 NO. LHS DRIVE
352,389,EDMOND,1225 W I-35 FRONTAGE
80,397,MCALLEN,1200 E JACKSON AVE
134,405,LEESVILLE,2204 S 5TH ST
349,420,WICHITA FALLS,2700 CENTRAL FWY
80,429,EDINBURG,1724 W UNIVERSITY DR
253,431,PADUCAH,3220 IRVIN COBB DR
569,456,BROWNSVILLE,3500 W ALTON GLOOR BLVD
88,461,EAGLE PASS,496 S BIBB AVE
61,462,ALVIN,400 HIGHWAY 35 BYP N
78,464,CORPUS CHRISTI,3829 US HIGHWAY 77
77,465,FLORESVILLE,305 10TH STREET
78,470,CORPUS CHRISTI,1821 S PADRE ISLAND DR
49,471,LANCASTER,150 N INTERSTATE 35 E
83,475,ROUND ROCK,2701 S INTERSTATE 35
81,476,GATESVILLE,2805 S STATE HIGHWAY 36
78,490,CORPUS CHRISTI,1250 FLOUR BLUFF DR
16,494,NEWNAN,1025 HIGHWAY 34 E
129,502,GALLIANO,16759 HIGHWAY 3235
132,531,LAFAYETTE,3142 AMBASSADOR CAFFERY PKWY
73,537,ODESSA,4210 JOHN BEN SHEPPERD PKWY
93,538,GAINESVILLE,5700 NW 23RD ST
129,540,MORGAN CITY,973 HIGHWAY 90 E
128,541,COVINGTON,880 N HIGHWAY 190
129,542,HOUMA,1633 MARTIN LUTHER KING JR BLVD
132,543,OPELOUSAS,1629 E CRESSWELL LN
25,548,LAWRENCEVILLE,630 COLLINS HILL RD
344,564,OKLAHOMA CITY,6100 W RENO AVE
116,580,BARTOW,1050 E VAN FLEET DR
414,581,MARSHALLTOWN,2802 S CENTER ST
94,582,PORT ORANGE,1590 DUNLAWTON AVE
42,585,ROCK HILL,2377 DAVE LYLE BLVD
19,594,FAYETTEVILLE,125 PAVILION PKWY
68,602,SPRING,1025 SAWDUST RD
7,604,DOTHAN,4310 MONTGOMERY HWY
344,622,OKLAHOMA CITY,7800 N.W. EXPRESSWAY
38,634,CAMDEN,2240 W DEKALB ST
29,635,SAVANNAH,6000 OGEECHEE RD
35,641,GREENVILLE,6134 WHITE HORSE RD
116,666,SEBRING,3525 US HIGHWAY 27 N
152,671,LEBANON,615 S CUMBERLAND ST
151,682,MURFREESBORO,2000 OLD FORT PKWY
93,697,OCALA,2600 SW 19TH AVENUE RD
89,705,MOUNT DORA,17030 US HIGHWAY 441
116,725,HAINES CITY,36205 US HIGHWAY 27
147,738,CAMDEN,2200 HIGHWAY 641 N
353,743,OKLAHOMA CITY,100 EAST I-240 SERVICE RD
59,744,HUMBLE,6626 FM 1960 RD E
32,758,AMERICUS,1711 E LAMAR ST
65,768,KATY,1313 N FRY RD
115,769,VENICE,4150 TAMIAMI TRL S
64,772,HOUSTON,3506 HIGHWAY 6 S
19,787,RIVERDALE,7050 HIGHWAY 85
78,791,ALICE,2701 E MAIN ST
90,817,KISSIMMEE,4444 W VINE ST
130,839,BATON ROUGE,9350 CORTANA PL
20,855,UNION CITY,4735 JONESBORO RD
141,887,PETAL,36 BYRD BLVD
91,890,ORLANDO,11250 E COLONIAL DR
90,908,ORLANDO,8101 S JOHN YOUNG PKWY
125,909,CHALMETTE,8101 W JUDGE PEREZ DR
62,915,STAFFORD,11210 W AIRPORT BLVD
482,923,NOBLESVILLE,16865 CLOVER RD
112,925,SEFFNER,11720 E DR MARTIN LUTHER KING JR BLVD
98,928,SAINT JOHNS,845 DURBIN PAVILION DR
107,929,PORT SAINT LUCIE,10855 S US HIGHWAY 1
114,941,VALRICO,2140 BLOOMINGDALE AVENUE
89,942,OCOEE,10500 W COLONIAL DR
95,959,BUSHNELL,2163 W C 48
129,961,LA PLACE,1616 W AIRLINE HWY
143,970,PICAYUNE,235 FRONTAGE RD
92,973,FORT PIERCE,5100 OKEECHOBEE RD
92,974,WEST MELBOURNE,845 PALM BAY RD NE
105,987,FORT MYERS,14821 BEN C PRATT/6 MILE CYPRESS PKWY
1,991,MOBILE,101 E I65 SERVICE RD S
104,994,NEW PORT RICHEY,8745 STATE ROAD 54
86,999,SAN ANTONIO,7239 SW LOOP 410
115,1004,BRADENTON,5315 CORTEZ RD W
45,1022,TYLER,3820 STATE HIGHWAY 64 W
141,1025,MCCOMB,1608 VETERANS BLVD
65,1040,HOUSTON,15955 FM 529 RD
569,1041,WESLACO,1310 N TEXAS BLVD
350,1043,PAULS VALLEY,2008 W GRANT AVE
97,1077,TALLAHASSEE,3535 APALACHEE PKWY
93,1081,GAINESVILLE,2900 SW 42ND ST
98,1082,JACKSONVILLE,10991 SAN JOSE BLVD STE 1
101,1083,JACKSONVILLE,6830 NORMANDY BLVD
91,1084,ORLANDO,3838 S SEMORAN BLVD
143,1088,BILOXI,2681 CT SWITZER SR DR
101,1090,JACKSONVILLE,6767 103RD ST
84,1098,PORT LAVACA,400 TINEY BROWNING BLVD
59,1103,HOUSTON,3450 FM 1960 RD W
16,1112,THOMASTON,855 N CHURCH ST
105,1119,NAPLES,3451 TAMIAMI TRL E
82,1129,AUSTIN,13201 RANCH ROAD 620 N
304,1131,TAYLORSVILLE,901 NC HIGHWAY 16 S
60,1137,HOUSTON,13750 EAST FWY
243,1142,SCOTTSBURG,1618 W MCCLAIN AVE
310,1155,LUMBERTON,5070 FAYETTEVILLE RD
125,1163,NEW ORLEANS,4001 BEHRMAN PL
41,1164,COLUMBIA,360 HARBISON BLVD
98,1172,JACKSONVILLE,13490 BEACH BLVD
98,1173,JACKSONVILLE,8808 BEACH BLVD
83,1185,AUSTIN,1030 NORWOOD PARK BLVD
506,1198,SAN ANTONIO,1515 N LOOP 1604 E
3,1201,GARDENDALE,890 ODUM RD
130,1206,BATON ROUGE,3132 COLLEGE DR
1,1212,SARALAND,1095 INDUSTRIAL PKWY
101,1219,JACKSONVILLE,12100 LEM TURNER RD
90,1220,ORLANDO,2500 S KIRKMAN RD
14,1222,PENSACOLA,8970 PENSACOLA BLVD
97,1223,TALLAHASSEE,5500 THOMASVILLE RD
14,1224,PENSACOLA,2650 CREIGHTON RD
269,1228,ROUND LAKE BEACH,2680 N IL ROUTE 83
310,1238,FAYETTEVILLE,1550 SKIBO RD
