Store,Commodity,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Total Delivery Days
56,HVDC,1,1,1,1,1,1,1,7
98,FDD,1,1,1,1,1,0,1,6
169,HVDC,1,1,1,1,1,1,1,7
202,HVDC,1,1,1,1,1,1,1,7
207,HVDC,1,0,1,0,1,1,1,5
232,FDD,1,1,1,1,1,1,1,7
,HVDC,1,0,1,1,0,0,1,4
233,HVDC,1,1,1,1,1,1,1,7
257,HVDC,1,1,1,1,1,1,1,7
292,HVDC,1,1,1,1,1,1,1,7
330,FDD,0,1,1,1,1,1,1,6
337,HVDC,1,1,1,1,1,1,1,7
338,HVDC,1,1,1,1,1,1,1,7
341,HVDC,1,1,1,0,1,1,1,6
346,HVDC,1,1,1,1,1,0,1,6
351,HVDC,1,1,1,1,1,0,0,5
354,HVDC,1,1,1,0,1,1,1,6
369,FDD,1,1,1,1,1,0,1,6
395,FDD,0,1,1,1,1,1,1,6
409,HVDC,1,1,1,1,1,1,1,7
418,HVDC,1,0,1,1,1,0,1,5
419,HVDC,1,0,1,1,1,1,1,6
429,FDD,1,1,1,1,1,0,1,6
436,HVDC,1,1,1,1,1,1,1,7
443,HVDC,1,1,1,0,1,1,1,6
452,FDD,0,1,1,1,1,1,1,6
470,FDD,1,1,1,1,1,0,1,6
506,HVDC,1,1,1,1,1,1,1,7
523,FDD,1,1,1,1,1,0,1,6
525,HVDC,1,1,1,1,1,1,1,7
526,HVDC,1,1,1,1,1,1,1,7
798,HVDC,1,1,1,1,1,1,0,6
803,FDD,1,1,1,1,1,1,0,6
888,HVDC,1,1,1,0,1,1,1,6
920,GM,0,1,1,1,1,1,1,6
954,FDD,1,1,1,1,1,1,1,7
977,FDD,1,1,1,1,1,1,1,7
,HVDC,0,1,1,1,0,1,0,4
978,FDD,1,1,1,1,1,0,1,6
986,HVDC,1,1,0,1,1,1,1,6
1000,FDD,0,1,1,1,1,1,1,6
1010,FDD,1,1,1,1,1,1,1,7
1041,FDD,1,1,1,1,1,0,1,6
1045,FDD,1,0,1,1,1,1,1,6
1073,HVDC,1,1,1,1,1,1,1,7
1095,HVDC,1,1,1,1,0,1,1,6
1109,FDD,1,1,1,1,1,1,1,7
1119,FDD,1,1,1,1,1,1,1,7
1126,FDD,1,1,0,1,1,1,1,6
1198,FDD,1,1,0,1,1,1,1,6
1255,FDD,1,1,1,1,1,1,0,6
1257,HVDC,1,1,1,1,1,1,0,6
1289,FDD,1,1,1,0,1,1,1,6
1313,FDD,1,0,1,1,1,1,1,6
1336,FDD,0,1,1,1,1,1,1,6
1389,FDD,1,1,1,1,1,0,1,6
,HVDC,1,1,1,1,0,1,1,6
1393,FDD,1,1,1,1,1,1,1,7
1456,FDD,1,1,0,1,1,1,1,6
1504,FDD,1,1,1,1,0,1,1,6
1521,FDD,1,1,1,0,1,1,1,6
1537,FDD,1,1,1,1,1,1,1,7
,HVDC,1,1,1,1,0,1,1,6
1587,Freezer,1,1,1,0,1,1,1,6
1603,HVDC,1,1,1,1,1,1,1,7
1629,HVDC,1,0,1,1,1,1,1,6
1639,HVDC,1,0,1,1,1,1,1,6
1661,FDD,1,1,0,1,1,1,1,6
1683,HVDC,1,0,1,1,1,1,0,5
1684,HVDC,1,1,0,1,1,1,1,6
1691,HVDC,0,1,1,1,0,1,1,5
1730,FDD,1,1,1,1,1,1,1,7
1732,HVDC,1,1,1,1,1,1,1,7
1795,FDD,1,1,1,1,1,1,1,7
,HVDC,0,1,0,1,1,0,1,4
1877,Freezer,1,1,1,1,1,1,1,7
1900,FDD,0,1,1,1,1,1,1,6
2084,FDD,1,1,1,1,1,1,1,7
2133,HVDC,1,1,1,1,1,1,1,7
2139,HVDC,1,1,1,1,1,1,1,7
2167,FDD,1,1,1,1,1,1,1,7
,HVDC,0,1,1,1,1,0,1,5
2181,FDD,1,1,0,1,1,1,1,6
2222,HVDC,1,1,1,1,1,1,1,7
2275,FDD,0,1,1,1,1,1,1,6
2328,HVDC,1,1,1,1,1,1,1,7
2441,HVDC,1,1,1,1,1,1,1,7
2458,Freezer,1,1,1,1,1,1,0,6
2490,FDD,1,1,1,1,1,1,1,7
,HVDC,1,1,1,1,0,1,1,6
2553,FDD,1,1,1,1,1,1,1,7
2594,HVDC,1,1,1,1,1,1,1,7
2607,FDD,1,0,1,1,1,1,1,6
,HVDC,1,1,1,1,1,1,1,7
2618,FDD,1,1,1,1,1,1,0,6
,HVDC,1,1,1,1,1,1,1,7
2659,HVDC,0,1,1,0,0,1,1,4
2826,HVDC,1,1,1,1,1,1,1,7
2861,FDD,1,0,1,1,1,1,1,6
2862,FDD,0,1,1,1,1,1,1,6
2940,GM,1,1,1,1,1,1,1,7
2998,HVDC,1,1,1,1,1,1,1,7
3106,FDD,1,1,1,1,1,1,0,6
3107,HVDC,1,1,0,1,1,0,0,4
3178,HVDC,1,1,1,1,1,1,1,7
3183,GM,1,1,1,1,1,1,1,7
3184,HVDC,1,1,1,1,1,1,1,7
3191,HVDC,1,1,1,1,1,1,1,7
3198,HVDC,1,1,1,1,1,1,1,7
3317,HVDC,1,1,1,1,1,1,1,7
3322,FDD,1,1,1,1,1,0,1,6
3366,FDD,1,1,1,1,1,1,1,7
3394,FDD,1,1,1,1,1,1,1,7
,HVDC,1,1,1,1,1,1,1,7
3424,HVDC,1,1,1,1,1,1,1,7
3454,FDD,1,1,1,1,1,1,0,6
3471,FDD,1,1,1,1,1,1,1,7
3518,FDD,1,1,1,0,1,1,1,6
3589,FDD,1,1,1,1,1,1,0,6
3616,FDD,1,1,1,1,1,1,1,7
3622,HVDC,1,1,1,1,1,1,1,7
3701,FDD,1,1,0,1,1,1,1,6
3746,GM,1,1,0,1,1,0,1,5
3752,GM,0,1,1,1,1,1,1,6
3760,FDD,0,1,1,1,1,1,1,6
3791,FDD,0,1,1,1,1,1,1,6
,HVDC,1,1,1,1,1,1,1,7
3847,FDD,1,1,1,1,0,1,1,6
3876,FDD,1,1,1,0,1,1,1,6
3886,FDD,0,1,1,1,1,1,1,6
4156,HVDC,0,1,1,1,1,1,1,6
4180,GM,0,1,1,1,1,1,1,6
4198,GM,0,1,1,1,1,1,1,6
