Store Nbr,Store Type Descr,Store Name,Whse Nbr,State,Market,Reg,Roses,Mixed BQT,Roses,Mixed BQT,Single Rose,TOTAL PROMO DISPLAYS
2070,Supercenter,"2070_ANCHORAGE,AK (N)",7021,AK,469,60,,,2,1,4,7
2071,Supercenter,"2071_ANCHORAGE, AK(S)",7021,AK,469,60,,,1,1,3,5
2074,Supercenter,"2074_WASILLA, AK",7021,AK,469,60,,,2,2,3,7
2188,Supercenter,"2188_EAGLE RIVER, AK",7021,AK,469,60,,,2,1,2,5
2722,Supercenter,"2722_FAIRBANKS, AK",7021,AK,469,60,,,1,3,4,8
4359,Supercenter,"4359_ANCHORAGE, AK",7021,AK,469,60,,,4,2,1,7
4474,Supercenter,"4474_KENAI, AK",7021,AK,469,60,,,1,1,1,3
2710,Wal-Mart Div 1 Div 1,"2710_KETCHIKAN, AK",n/a,AK,,,5,8,,,,13
2711,Wal-Mart Div 1 Div 1,"2711_KODIAK, AK",n/a,AK,,,5,8,,,,13
,,,,,,,,,,,,
