Store,Feature Name- Brand ,Dept Number,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
2,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
4,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
5,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
7,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
9,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
10,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
11,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
16,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
17,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
19,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
21,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
22,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
24,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
26,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
29,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
31,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
32,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
35,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
36,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
37,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
40,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
41,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
43,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
45,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
46,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
52,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
54,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
58,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
59,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
61,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
62,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
69,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
70,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
75,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
79,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
80,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
85,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
86,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
89,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
95,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
96,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
100,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
101,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
104,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
105,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
110,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
113,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
114,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
119,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
124,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
126,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
130,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
131,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
138,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
140,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
141,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
144,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
148,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
150,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
151,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
152,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
157,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
163,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
168,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
172,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
174,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
175,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
177,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
182,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
184,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
185,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
186,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
188,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
192,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
194,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
195,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
196,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
197,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
200,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
201,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
202,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
206,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
212,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
213,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
216,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
217,U.S. Polo Assn Men's,23,"Table, Walls, Racks",27
