store_nbr,Estimated In-store Week,Estimated Receipt Qty,Direct to Store Receipt Qty,Direct to Store PO Nbr
1,WK14,7,0,
2,WK14,14,100,
3,WK14,8,0,
4,WK14,14,119,
4,WK22,2,0,
5,WK14,17,0,
7,WK14,14,0,
8,WK14,12,0,
9,WK14,5,0,
10,WK14,5,0,
10,WK15,0,113,
10,WK20,0,103,
11,WK14,32,283,
11,WK18,1,0,
11,WK20,0,110,
12,WK14,9,0,
13,WK14,9,0,
14,WK14,6,0,
14,WK15,0,82,
15,WK14,58,0,
15,WK16,0,116,
15,WK21,0,76,
16,WK14,15,0,
17,WK14,6,0,
18,WK14,1,0,
19,WK14,29,132,
22,WK14,8,0,
23,WK14,7,0,
26,WK14,1,0,
26,WK18,1,0,
27,WK14,8,0,
28,WK14,7,0,
32,WK14,7,0,
35,WK14,1,0,
36,WK14,22,0,
37,WK14,9,0,
37,WK15,0,101,
38,WK14,13,0,
39,WK14,1,0,
40,WK14,5,0,
41,WK14,17,0,
42,WK14,4,0,
45,WK14,8,0,
46,WK14,3,0,
47,WK14,8,0,
47,WK18,3,0,
48,WK14,5,0,
49,WK14,3,0,
50,WK14,8,0,
52,WK14,18,0,
54,WK14,6,0,
55,WK14,1,0,
56,WK14,73,0,
57,WK14,3,0,
58,WK14,42,102,
58,WK20,0,91,
59,WK14,86,0,
60,WK14,3,0,
62,WK14,2,0,
63,WK14,11,0,
66,WK14,3,0,
67,WK14,16,0,
69,WK14,21,0,
71,WK14,27,0,
71,WK18,2,0,
71,WK22,3,0,
72,WK14,9,0,
72,WK18,4,0,
73,WK14,7,0,
75,WK14,5,0,
76,WK14,16,0,
77,WK14,3,0,
78,WK14,2,0,
79,WK14,11,0,
81,WK14,3,0,
82,WK14,36,0,
85,WK14,9,0,
89,WK14,10,0,
89,WK15,0,107,
89,WK21,0,91,
90,WK14,11,0,
91,WK14,1,0,
92,WK14,15,0,
93,WK14,6,0,
95,WK14,7,0,
98,WK14,6,0,
99,WK14,2,0,
100,WK14,15,0,
101,WK14,16,0,
101,WK16,0,100,
101,WK21,0,90,
103,WK14,6,0,
104,WK14,12,0,
105,WK14,18,0,
107,WK14,15,0,
108,WK14,3,0,
112,WK14,5,0,
114,WK14,10,0,
117,WK14,8,0,
118,WK14,2,0,
119,WK14,38,116,
119,WK20,0,120,
121,WK14,5,0,
125,WK14,11,0,
126,WK14,10,0,
127,WK14,9,0,
128,WK14,11,0,
129,WK14,10,0,
131,WK14,6,0,
134,WK14,2,0,
135,WK14,5,0,
137,WK14,12,0,
139,WK15,1,0,
140,WK14,5,0,
141,WK14,5,0,
143,WK14,9,0,
144,WK14,12,0,
146,WK14,3,0,
147,WK14,4,0,
147,WK15,1,0,
148,WK14,4,0,
149,WK14,3,0,
150,WK14,2,0,
150,WK18,3,0,
150,WK22,1,0,
151,WK14,12,0,
152,WK14,33,0,
153,WK14,4,0,
154,WK14,7,0,
155,WK14,14,0,
157,WK14,23,0,
158,WK14,4,0,
158,WK18,1,0,
159,WK14,2,0,
160,WK14,39,213,
160,WK20,0,100,
161,WK14,11,0,
163,WK14,4,0,
166,WK14,1,0,
167,WK14,8,0,
168,WK14,52,0,
170,WK14,5,0,
171,WK14,1,0,
171,WK18,1,0,
172,WK14,1,0,
174,WK14,5,0,
177,WK14,11,0,
178,WK14,2,0,
179,WK14,14,0,
180,WK14,7,0,
182,WK14,15,0,
185,WK15,1,0,
188,WK14,28,0,
189,WK14,6,0,
190,WK14,5,0,
192,WK14,18,0,
196,WK14,10,0,
196,WK18,2,0,
196,WK22,2,0,
197,WK18,2,0,
200,WK14,2,0,
204,WK14,10,0,
205,WK14,6,0,
207,WK14,7,0,
211,WK14,5,0,
212,WK15,2,0,
214,WK14,7,0,
216,WK14,5,0,
220,WK14,2,0,
221,WK14,4,0,
225,WK14,3,0,
225,WK15,1,0,
226,WK14,3,0,
227,WK14,2,0,
228,WK14,1,0,
230,WK14,4,0,
232,WK14,6,0,
237,WK14,10,0,
238,WK14,6,0,
242,WK14,1,0,
246,WK14,4,0,
247,WK14,9,0,
248,WK14,3,0,
249,WK14,1,0,
250,WK14,7,0,
251,WK14,6,0,
251,WK22,2,0,
257,WK14,4,0,
258,WK14,5,0,
260,WK14,1,0,
261,WK14,12,0,
262,WK14,17,0,
264,WK14,16,0,
267,WK14,30,0,
268,WK14,15,0,
272,WK14,12,0,
273,WK14,4,0,
274,WK14,6,0,
275,WK14,5,0,
279,WK14,6,0,
281,WK14,45,201,
281,WK18,2,0,
281,WK20,0,86,
281,WK22,2,0,
284,WK14,2,0,
287,WK14,2,0,
288,WK14,2,0,
294,WK14,4,0,
296,WK14,12,0,
298,WK14,17,0,
299,WK14,14,0,
300,WK14,9,0,
301,WK14,1,0,
306,WK14,5,0,
307,WK14,11,0,
308,WK14,8,0,
309,WK14,3,0,
310,WK14,4,0,
314,WK14,2,0,
315,WK14,3,0,
316,WK14,12,0,
318,WK14,16,0,
318,WK18,4,0,
318,WK22,2,0,
321,WK14,2,0,
321,WK16,2,0,
329,WK14,2,0,
331,WK14,3,0,
332,WK14,3,0,
335,WK14,8,0,
336,WK14,9,0,
338,WK14,6,0,
339,WK14,1,0,
339,WK18,1,0,
340,WK14,17,0,
345,WK14,3,0,
348,WK14,13,0,
350,WK14,1,0,
355,WK14,5,0,
355,WK15,2,0,
359,WK14,16,0,
360,WK14,8,0,
365,WK14,7,0,
366,WK14,12,0,
366,WK18,2,0,
371,WK15,1,0,
372,WK14,2,0,
373,WK14,10,0,
379,WK14,13,0,
