Store,System Modular Capacity,Total Inventory,Total Replenishable Inventory,Tires on Demand ,Non Modular Tires,L52 Avg Units,4 Tire Instock,Total Valid,Total Traited,
2418,1000,978,867,50,59, 83 ,83.2%,151,151,
2420,915,993,893,59,39, 134 ,85.3%,140,140,
2421,1200,1013,921,36,54, 108 ,76.8%,160,160,
2422,498,522,471,15,34, 53 ,83.8%,79,79,
2426,550,697,558,38,99, 62 ,89.3%,83,83,
2428,780,856,792,39,23, 113 ,88.7%,130,130,
2429,1320,1000,934,23,41, 113 ,78.7%,161,161,
2434,780,738,655,44,37, 81 ,72.1%,120,120,
2435,616,687,618,34,33, 74 ,93.1%,86,86,
2436,1000,952,848,65,37, 61 ,94.0%,131,131,
2437,498,673,611,39,21, 92 ,90.0%,86,86,
2438,616,913,798,63,50, 117 ,91.5%,103,103,
2439,616,683,570,53,58, 57 ,86.7%,95,95,
2441,855,769,718,25,24, 83 ,84.6%,126,126,
2443,1000,813,745,40,26, 78 ,77.6%,139,139,
2444,915,973,742,167,62, 67 ,87.9%,122,122,
2447,855,583,545,22,14, 79 ,81.0%,99,99,
2450,662,545,495,25,23, 33 ,88.6%,87,87,
2453,1000,1020,940,52,26, 111 ,90.7%,146,146,
2455,700,696,650,14,30, 75 ,84.7%,108,108,
2460,780,1281,1051,145,83, 143 ,91.5%,126,126,
2463,1000,789,710,21,56, 62 ,75.2%,132,132,
2464,1000,836,760,29,45, 64 ,87.6%,133,133,
2469,616,640,593,25,20, 81 ,86.3%,99,99,
2471,700,583,538,4,39, 74 ,79.2%,95,95,
2472,700,726,637,42,45, 73 ,89.3%,102,102,
2474,550,828,751,26,49, 126 ,96.9%,95,95,
2475,855,857,733,57,65, 83 ,84.6%,122,122,
2476,1320,974,824,93,55, 62 ,80.7%,158,158,
2480,700,750,664,43,41, 81 ,90.7%,106,106,
2481,662,724,669,26,27, 82 ,87.9%,106,106,
2482,780,924,894,14,14, 130 ,90.4%,124,124,
2484,662,829,534,224,69, 62 ,95.6%,88,88,
2485,550,692,528,105,57, 57 ,88.2%,81,81,
2491,550,716,636,40,38, 71 ,89.0%,98,98,
2492,700,681,559,56,64, 45 ,86.3%,92,92,
2494,700,667,569,38,58, 52 ,85.9%,98,98,
2495,662,891,770,68,51, 122 ,93.1%,101,101,
2502,915,1142,1021,50,69, 189 ,89.8%,146,146,
2504,662,940,756,89,93, 152 ,88.2%,100,100,
2505,550,581,526,30,23, 80 ,88.5%,86,86,
2506,616,622,519,54,47, 72 ,77.3%,96,96,
2507,662,656,610,17,27, 66 ,88.8%,97,97,
2508,700,779,647,105,25, 58 ,83.7%,101,101,
2509,855,776,733,16,25, 44 ,86.4%,117,117,
2511,855,813,768,5,38, 48 ,82.3%,127,127,
2512,1320,1056,979,39,36, 128 ,84.0%,160,160,
2514,498,602,548,26,26, 70 ,91.6%,81,81,
2517,662,948,851,53,42, 160 ,90.7%,106,106,
2518,662,757,697,32,26, 93 ,92.1%,100,100,
2519,498,642,580,23,37, 62 ,93.9%,80,80,
2520,662,779,712,27,38, 99 ,90.9%,98,98,
2522,662,602,550,16,34, 76 ,75.7%,99,99,
2523,662,775,645,50,78, 83 ,94.1%,101,101,
2527,780,849,747,54,46, 72 ,91.8%,120,120,
2528,616,875,776,27,70, 116 ,94.3%,102,102,
2532,616,710,639,42,27, 60 ,92.9%,97,97,
2533,498,694,571,70,51, 53 ,92.7%,93,93,
2534,662,681,646,19,14, 103 ,84.3%,106,106,
2535,1120,1038,1003,25,8, 108 ,89.9%,157,157,
2536,616,715,647,25,41, 70 ,94.8%,94,94,
2537,498,565,501,32,30, 54 ,86.6%,79,79,
2539,498,661,457,134,68, 87 ,78.8%,81,81,
2540,616,767,661,67,37, 84 ,92.3%,101,101,
2541,780,764,707,25,30, 112 ,79.0%,122,122,
2544,780,1064,862,122,78, 102 ,93.7%,123,123,
2547,662,902,709,153,38, 118 ,90.5%,104,104,
2549,1320,1318,1155,85,76, 182 ,80.3%,169,169,
2550,550,524,492,12,18, 42 ,85.2%,87,87,
2551,1000,1153,1029,69,53, 105 ,93.1%,142,142,
2553,550,635,509,67,57, 54 ,83.1%,88,88,
2554,662,756,708,22,24, 66 ,92.2%,100,100,
2555,662,1080,916,83,79, 117 ,98.9%,91,91,
2558,780,626,572,14,38, 42 ,77.3%,108,108,
2559,1320,1107,1034,24,47, 95 ,90.4%,154,154,
2565,616,815,708,69,36, 114 ,90.6%,94,94,
2567,550,607,529,32,44, 59 ,83.0%,90,90,
2571,550,487,463,8,14, 64 ,69.8%,85,85,
2574,1320,1326,1248,49,27, 157 ,91.5%,172,172,
2575,662,811,684,77,48, 89 ,87.8%,114,114,
2576,662,805,714,57,32, 128 ,88.1%,99,99,
2580,616,688,603,67,16, 104 ,85.7%,97,97,
2581,1320,1272,1037,163,70, 112 ,87.2%,161,161,
2584,855,767,642,35,88, 74 ,82.5%,113,113,
2587,1320,1275,1196,48,29, 149 ,86.1%,169,170,
2588,616,960,861,39,58, 155 ,92.2%,89,89,
2592,662,761,649,63,47, 55 ,92.0%,98,98,
2593,1320,1194,1084,66,42, 136 ,91.5%,161,161,
2595,1120,866,777,11,76, 53 ,81.7%,150,150,
2596,915,850,791,5,52, 50 ,84.9%,135,135,
2597,780,992,866,68,56, 93 ,93.8%,128,128,
2599,616,597,528,22,45, 66 ,82.8%,92,92,
2600,662,594,541,18,33, 57 ,83.5%,96,96,
2603,662,679,600,62,15, 84 ,82.2%,99,99,
2605,780,802,757,31,12, 99 ,93.1%,115,115,
2608,550,568,490,47,29, 44 ,93.8%,76,76,
2609,550,734,672,32,28, 89 ,93.3%,88,88,
2610,498,834,764,50,18, 152 ,85.4%,81,81,
2611,780,937,863,31,41, 75 ,94.2%,119,119,
2612,616,758,671,54,31, 84 ,91.1%,99,99,
2614,550,718,549,79,88, 68 ,89.5%,85,85,
2615,662,553,505,20,26, 56 ,79.0%,102,102,
2616,1000,1011,921,41,47, 108 ,85.1%,145,145,
2617,780,753,675,47,29, 50 ,90.8%,105,105,
2618,855,991,763,137,89, 30 ,92.5%,118,118,
2619,662,664,576,31,55, 62 ,86.9%,103,103,
2621,700,689,600,55,32, 60 ,85.2%,106,106,
2626,662,754,646,72,34, 125 ,74.8%,107,107,
2628,780,1002,939,31,30, 147 ,89.9%,127,127,
2630,700,721,660,25,34, 79 ,85.6%,110,110,
2631,780,806,785,12,7, 83 ,94.8%,114,114,
2637,662,819,737,60,20, 148 ,84.8%,104,104,
2638,700,793,757,23,11, 114 ,79.8%,111,111,
2641,855,1217,958,116,141, 64 ,96.8%,125,125,
2642,550,574,522,34,16, 53 ,78.7%,88,88,
2643,1000,872,753,74,43, 75 ,69.9%,144,144,
2644,780,762,655,65,40, 67 ,83.6%,120,120,
2649,662,647,622,5,18, 86 ,82.7%,103,103,
2656,550,708,621,61,24, 93 ,92.2%,87,87,
2658,662,796,751,24,19, 77 ,83.2%,105,105,
2663,855,823,761,28,32, 76 ,89.0%,124,124,
2665,662,705,649,31,23, 107 ,88.6%,103,103,
2667,780,849,768,35,44, 81 ,91.0%,121,121,
2668,662,1083,861,83,137, 144 ,94.7%,110,110,
2671,1000,1094,1025,36,31, 116 ,90.1%,139,139,
2672,550,436,387,19,28, 42 ,71.4%,87,87,
2674,550,623,578,15,28, 78 ,84.1%,86,86,
2679,780,686,604,22,58, 47 ,72.4%,121,121,
2680,780,687,642,32,11, 49 ,80.0%,119,119,
2687,616,510,471,19,18, 68 ,67.0%,93,93,
2688,662,638,578,18,40, 57 ,82.9%,103,103,
2690,616,590,536,18,34, 48 ,88.3%,101,101,
2691,1320,1030,965,27,36, 90 ,90.7%,160,160,
2692,662,675,555,59,59, 61 ,88.5%,101,101,
2695,780,961,863,65,31, 146 ,89.7%,122,122,
2697,662,684,549,74,59, 52 ,87.8%,97,97,
2702,915,879,810,21,46, 70 ,90.1%,138,138,
2703,498,706,559,67,78, 67 ,93.1%,85,85,
2704,550,574,486,51,35, 56 ,86.9%,82,82,
2705,498,711,577,64,68, 83 ,95.1%,79,79,
2706,700,859,788,30,39, 112 ,85.2%,113,113,
2708,700,949,894,30,23, 116 ,95.5%,106,106,
2712,498,897,743,105,47, 132 ,84.9%,82,82,
2713,662,794,684,56,52, 69 ,91.5%,104,104,
2714,662,691,600,46,43, 54 ,84.3%,106,106,
2715,855,1217,1154,41,20, 199 ,91.1%,142,142,
2716,780,762,722,31,7, 72 ,91.3%,114,114,
2717,662,778,702,67,7, 108 ,94.4%,106,106,
2720,1320,1538,1371,121,44, 220 ,89.8%,172,172,
2722,1320,1620,1225,148,245, 126 ,91.2%,167,167,
2723,616,655,613,21,19, 86 ,84.8%,103,103,
2725,662,570,507,40,21, 67 ,83.9%,90,90,
2726,616,728,637,59,30, 82 ,85.1%,100,100,
2727,662,861,820,20,19, 179 ,85.0%,97,97,
2728,662,734,672,39,21, 82 ,84.8%,102,102,
2730,616,843,688,104,49, 94 ,92.9%,96,96,
2732,550,947,595,205,145, 112 ,86.7%,87,87,
2733,700,696,538,93,63, 57 ,85.6%,93,93,
2734,662,701,647,20,32, 69 ,90.2%,100,100,
2739,616,701,648,25,26, 92 ,86.8%,102,102,
2748,1320,1069,955,53,59, 84 ,89.5%,158,158,
2749,550,626,542,54,28, 65 ,86.8%,90,90,
2752,700,611,559,21,29, 55 ,81.0%,102,102,
2753,700,704,658,9,35, 80 ,86.5%,109,109,
2755,780,950,806,72,70, 85 ,90.6%,124,124,
2756,1000,1056,913,84,57, 88 ,95.0%,137,137,
2757,400,526,427,51,46, 46 ,91.3%,69,69,
2758,550,951,574,232,143, 59 ,88.3%,92,92,
2761,616,792,754,17,19, 133 ,82.5%,101,101,
2762,662,894,762,89,41, 122 ,91.3%,101,101,
2763,700,687,628,19,38, 80 ,86.7%,103,103,
2764,616,617,593,5,17, 48 ,85.2%,104,104,
2766,662,736,684,31,19, 59 ,94.0%,98,98,
2767,915,980,760,89,129, 36 ,94.9%,136,136,
2768,498,561,499,43,17, 48 ,96.0%,74,74,
2769,400,333,297,15,19, 38 ,82.1%,55,55,
2771,498,680,574,44,60, 50 ,95.5%,87,87,
2772,616,728,661,42,23, 82 ,85.0%,104,104,
2777,700,796,716,38,40, 81 ,92.2%,112,112,
2780,662,614,574,11,27, 79 ,77.5%,98,98,
2781,662,735,668,52,13, 63 ,85.1%,97,97,
2782,550,563,498,27,36, 59 ,85.1%,83,83,
2784,700,783,705,53,23, 79 ,85.4%,120,120,
2786,855,816,728,41,45, 43 ,89.8%,124,124,
2787,662,755,670,40,43, 24 ,95.3%,104,104,
2788,662,732,637,48,45, 43 ,91.3%,101,101,
2789,1000,1269,1165,63,39, 232 ,92.3%,141,141,
2793,616,567,465,59,41, 101 ,58.8%,101,101,
2796,700,942,701,156,83, 104 ,85.7%,104,104,
2799,1320,1437,1180,36,219, 78 ,94.2%,153,153,
2803,616,771,664,63,42, 60 ,89.6%,104,104,
2804,662,714,686,19,7, 71 ,96.1%,102,102,
2806,662,773,596,107,68, 90 ,74.8%,105,105,
2807,616,713,623,57,31, 54 ,96.8%,92,92,
2808,498,527,464,44,17, 60 ,85.9%,82,82,
2809,498,1057,860,74,121, 161 ,95.3%,81,81,
2811,780,739,668,30,39, 73 ,82.8%,115,115,
2812,498,498,454,17,25, 52 ,82.3%,78,78,
2813,498,629,567,32,28, 79 ,84.6%,88,88,
2814,855,1377,1335,27,13, 318 ,92.4%,130,130,
2815,400,654,588,13,51, 105 ,95.9%,72,72,
2816,550,1027,797,127,101, 201 ,83.9%,86,86,
2818,1000,989,912,44,31, 122 ,87.7%,144,144,
2819,616,664,634,8,20, 60 ,89.2%,100,100,
2820,662,586,545,21,18, 97 ,72.2%,107,107,
2821,662,731,647,31,51, 73 ,87.9%,98,98,
2822,662,846,681,103,60, 95 ,88.6%,101,101,
2823,616,845,783,14,46, 115 ,92.7%,105,105,
2825,550,911,809,32,68, 129 ,91.8%,83,83,
2827,1320,999,923,14,60, 49 ,89.1%,161,161,
2828,616,828,756,46,24, 196 ,94.3%,86,86,
2830,915,994,852,36,104, 84 ,90.6%,127,127,
2831,616,646,541,37,66, 53 ,81.3%,92,92,
2832,780,791,706,34,49, 67 ,79.6%,134,134,
2836,1320,1212,1104,48,58, 148 ,91.6%,164,164,
2838,1320,1143,1017,75,49, 103 ,94.2%,151,151,
2841,662,832,713,64,53, 113 ,87.5%,102,102,
2842,1120,1004,895,62,45, 104 ,97.7%,130,130,
2843,1120,1027,933,62,30, 131 ,87.6%,149,149,
2844,1120,1300,1055,151,92, 181 ,88.6%,146,146,
2845,662,690,656,12,20, 117 ,81.3%,108,108,
2846,780,841,757,36,46, 92 ,81.7%,128,128,
2847,1320,1010,869,76,63, 111 ,77.6%,167,167,
2850,915,970,862,61,45, 78 ,94.0%,130,130,
2852,1320,1161,1071,59,29, 123 ,89.3%,168,168,
2853,1320,1340,1127,117,94, 110 ,91.9%,158,158,
2854,1120,1146,1077,28,39, 151 ,87.1%,154,154,
2855,1320,1040,995,20,23, 87 ,93.0%,169,169,
2857,1320,1246,1139,47,58, 111 ,92.4%,169,169,
2859,1320,1083,1011,35,35, 118 ,88.6%,148,148,
2860,550,558,479,38,39, 97 ,69.9%,91,91,
2862,1320,974,865,49,58, 68 ,83.0%,162,162,
2864,662,660,581,44,33, 66 ,88.8%,96,96,
2866,616,491,464,17,8, 43 ,85.4%,88,88,
2867,780,670,624,9,35, 45 ,84.3%,113,113,
2869,855,770,666,21,81, 58 ,77.0%,123,123,
2872,855,802,762,16,22, 46 ,90.9%,118,118,
2874,1120,938,820,88,28, 136 ,76.0%,147,147,
2881,855,988,947,7,32, 138 ,89.3%,130,130,
2882,1000,995,859,63,71, 83 ,87.6%,135,135,
2883,1320,928,883,7,36, 100 ,84.0%,155,155,
2884,1320,1169,1087,42,38, 81 ,94.1%,165,165,
2886,1320,1311,1256,21,32, 284 ,86.0%,170,170,
2888,915,767,716,11,38, 62 ,86.1%,134,134,
2889,1320,1096,1030,35,29, 93 ,94.4%,159,159,
2890,1320,1035,795,130,108, 54 ,86.8%,148,148,
2891,1120,1268,1197,45,24, 198 ,87.4%,155,155,
2892,855,779,694,38,45, 62 ,85.4%,128,128,
2893,662,872,792,64,14, 88 ,94.6%,108,108,
2894,1000,1067,885,85,95, 79 ,96.4%,136,136,
2910,1320,965,908,27,28, 96 ,84.6%,159,159,
2911,1000,934,813,92,27, 89 ,83.8%,138,138,
2912,1200,1326,1078,135,111, 94 ,92.9%,154,154,
2913,1320,1297,1259,17,19, 97 ,96.2%,155,155,
2914,1320,963,869,44,48, 119 ,73.4%,169,169,
2915,855,883,776,47,58, 64 ,93.7%,125,125,
2917,855,997,884,69,42, 111 ,89.6%,124,124,
2921,1000,1149,1078,24,45, 67 ,92.8%,134,134,
2922,1120,1235,1054,110,69, 100 ,94.7%,148,148,
2923,1200,1166,1104,19,41, 121 ,86.6%,160,160,
