Store,Date
138,01/27/2022
143,01/27/2022
230,01/27/2022
356,01/27/2022
533,01/27/2022
664,01/27/2022
682,01/27/2022
771,01/27/2022
877,01/27/2022
1035,01/27/2022
1668,01/27/2022
1679,01/27/2022
1728,01/27/2022
1770,01/27/2022
1861,01/27/2022
2202,01/27/2022
2445,01/27/2022
2626,01/27/2022
2866,01/27/2022
2941,01/27/2022
3055,01/27/2022
3411,01/27/2022
3493,01/27/2022
3522,01/27/2022
3568,01/27/2022
3639,01/27/2022
3896,01/27/2022
4162,01/27/2022
4826,01/27/2022
5073,01/27/2022
5077,01/27/2022
5332,01/27/2022
5336,01/27/2022
5673,01/27/2022
5802,01/27/2022
424,02/03/2022
944,02/03/2022
768,02/03/2022
420,02/03/2022
1313,02/03/2022
458,02/03/2022
4194,02/03/2022
5173,02/03/2022
6370,02/03/2022
540,02/03/2022
4295,02/03/2022
2755,02/03/2022
104,02/03/2022
466,02/03/2022
2386,02/03/2022
2021,02/03/2022
719,02/03/2022
1596,02/03/2022
4641,02/03/2022
317,02/03/2022
5382,02/03/2022
5847,02/03/2022
1036,02/03/2022
1664,02/03/2022
1527,02/03/2022
2908,02/03/2022
2474,02/03/2022
21,02/03/2022
5313,02/03/2022
468,02/03/2022
486,02/03/2022
1956,02/03/2022
1221,02/03/2022
4677,02/03/2022
3857,02/03/2022
3247,02/03/2022
1692,02/03/2022
5424,02/03/2022
4101,02/03/2022
4359,02/03/2022
5605,02/03/2022
4104,02/03/2022
1972,02/03/2022
5633,02/03/2022
3743,02/03/2022
5722,02/03/2022
4757,02/03/2022
5640,02/03/2022
5980,02/03/2022
5110,02/03/2022
4618,02/03/2022
5182,02/03/2022
413,02/03/2022
4689,02/03/2022
6173,02/03/2022
562,02/03/2022
3386,02/03/2022
258,02/03/2022
5703,02/03/2022
734,02/03/2022
2111,02/03/2022
2760,02/03/2022
4283,02/03/2022
1403,02/03/2022
3402,02/03/2022
3710,02/03/2022
3627,02/03/2022
3205,02/03/2022
1766,02/03/2022
878,02/03/2022
3389,02/03/2022
3748,02/03/2022
1072,02/03/2022
593,02/03/2022
6395,02/03/2022
1658,02/03/2022
3750,02/03/2022
631,02/03/2022
4384,02/03/2022
574,02/03/2022
630,02/03/2022
6576,02/03/2022
881,02/03/2022
585,02/03/2022
827,02/03/2022
3828,02/03/2022
181,02/03/2022
353,02/03/2022
4503,02/03/2022
3274,02/03/2022
5311,02/03/2022
4240,02/03/2022
789,02/03/2022
6578,02/03/2022
522,02/03/2022
462,02/03/2022
1062,02/03/2022
3584,02/03/2022
469,02/03/2022
3585,02/03/2022
755,02/03/2022
4299,02/03/2022
2891,02/03/2022
7156,02/03/2022
3886,02/03/2022
1232,02/03/2022
5317,02/03/2022
322,02/03/2022
5145,02/03/2022
292,02/03/2022
3518,02/03/2022
2695,02/03/2022
4365,02/03/2022
943,02/03/2022
960,02/03/2022
613,02/03/2022
5106,02/03/2022
3307,02/03/2022
928,02/03/2022
3308,02/03/2022
5826,02/03/2022
3526,02/03/2022
5055,02/03/2022
2176,02/03/2022
1387,02/03/2022
1845,02/03/2022
1680,02/03/2022
4690,02/03/2022
1501,02/03/2022
1245,02/03/2022
666,02/03/2022
5035,02/03/2022
721,02/03/2022
477,02/03/2022
2065,02/03/2022
690,02/03/2022
6932,02/03/2022
909,02/03/2022
2938,02/03/2022
307,02/03/2022
699,02/03/2022
4187,02/03/2022
112,02/03/2022
916,02/03/2022
2715,02/03/2022
848,02/03/2022
4483,02/03/2022
667,02/03/2022
587,02/03/2022
272,02/03/2022
3409,02/03/2022
1970,02/03/2022
2336,02/03/2022
1873,02/03/2022
2899,02/03/2022
5752,02/03/2022
5476,02/03/2022
2236,02/03/2022
2145,02/03/2022
5293,02/03/2022
5294,02/03/2022
2604,02/03/2022
2003,02/03/2022
5142,02/03/2022
2047,02/03/2022
2046,02/03/2022
3535,02/03/2022
1753,02/03/2022
5498,02/03/2022
2152,02/03/2022
2285,02/03/2022
5242,02/03/2022
5282,02/03/2022
1993,02/03/2022
2355,02/03/2022
2079,02/03/2022
4383,02/03/2022
5386,02/03/2022
5280,02/03/2022
5160,02/03/2022
2867,02/03/2022
2619,02/03/2022
3726,02/03/2022
2631,02/03/2022
2191,02/03/2022
2211,02/03/2022
2313,02/03/2022
1539,02/03/2022
2073,02/03/2022
2966,02/03/2022
2199,02/03/2022
5185,02/03/2022
1427,02/03/2022
5466,02/03/2022
1503,02/03/2022
3300,02/03/2022
1331,02/03/2022
1443,02/03/2022
4276,02/03/2022
5379,02/03/2022
3281,02/03/2022
2420,02/03/2022
3228,02/03/2022
2481,02/03/2022
2340,02/03/2022
5469,02/03/2022
2230,02/03/2022
4631,02/03/2022
5374,02/03/2022
4450,02/03/2022
1180,02/03/2022
1093,02/03/2022
1304,02/03/2022
1425,02/03/2022
3435,02/03/2022
1310,02/03/2022
204,02/03/2022
1341,02/03/2022
4118,02/03/2022
5236,02/03/2022
689,02/03/2022
1139,02/03/2022
2956,02/03/2022
1955,02/03/2022
1814,02/03/2022
4049,02/03/2022
3725,02/03/2022
3004,02/03/2022
216,02/03/2022
798,02/03/2022
3210,02/03/2022
1125,02/03/2022
4511,02/03/2022
1674,02/03/2022
3780,02/03/2022
2931,02/03/2022
1825,02/03/2022
7032,02/03/2022
1688,02/03/2022
2438,02/03/2022
1191,02/03/2022
5118,02/03/2022
1322,02/03/2022
1348,02/03/2022
3825,02/03/2022
1131,02/03/2022
1209,02/03/2022
6958,02/03/2022
3480,02/03/2022
1301,02/03/2022
1934,02/03/2022
1780,02/03/2022
5296,02/03/2022
2036,02/03/2022
4108,02/03/2022
169,02/03/2022
52,02/03/2022
348,02/03/2022
788,02/03/2022
36,02/03/2022
379,02/03/2022
79,02/03/2022
69,02/03/2022
3061,02/03/2022
328,02/03/2022
4195,02/03/2022
168,02/03/2022
1597,02/03/2022
517,02/03/2022
560,02/03/2022
4590,02/03/2022
5303,02/03/2022
5031,02/03/2022
3884,02/03/2022
5190,02/03/2022
1512,02/03/2022
1380,02/03/2022
2892,02/03/2022
1231,02/03/2022
1412,02/03/2022
2607,02/03/2022
2924,02/03/2022
824,02/03/2022
4601,02/03/2022
1058,02/03/2022
842,02/03/2022
3582,02/03/2022
2189,02/03/2022
2884,02/03/2022
4557,02/03/2022
3788,02/03/2022
2780,02/03/2022
1995,02/03/2022
3789,02/03/2022
1686,02/03/2022
5168,02/03/2022
35,02/03/2022
368,02/03/2022
5219,02/03/2022
3762,02/03/2022
5748,02/03/2022
2004,02/03/2022
2827,02/03/2022
2957,02/03/2022
1858,02/03/2022
2274,02/03/2022
5992,02/03/2022
1654,02/03/2022
913,02/03/2022
1005,02/03/2022
598,02/03/2022
3237,02/03/2022
3267,02/03/2022
4600,02/03/2022
1446,02/03/2022
1430,02/03/2022
5090,02/03/2022
3324,02/03/2022
3523,02/03/2022
2277,02/03/2022
2119,02/03/2022
1755,02/03/2022
5848,02/03/2022
4309,02/03/2022
5938,02/03/2022
1700,02/03/2022
1912,02/03/2022
5096,02/03/2022
2636,02/03/2022
3705,02/03/2022
5628,02/03/2022
5272,02/03/2022
1947,02/03/2022
3472,02/03/2022
2101,02/03/2022
5929,02/03/2022
1920,02/03/2022
2320,02/03/2022
1275,02/03/2022
998,02/03/2022
2406,02/03/2022
3175,02/03/2022
4138,02/03/2022
4654,02/03/2022
4607,02/03/2022
5646,02/03/2022
5923,02/03/2022
4145,02/03/2022
4431,02/03/2022
3880,02/03/2022
236,02/03/2022
1015,02/03/2022
4655,02/03/2022
1893,02/03/2022
3603,02/03/2022
2632,02/03/2022
4762,02/03/2022
2451,02/03/2022
3637,02/03/2022
3654,02/03/2022
4516,02/03/2022
5693,02/03/2022
7262,02/03/2022
5062,02/03/2022
5653,02/03/2022
4525,02/03/2022
5831,02/03/2022
5819,02/03/2022
1590,02/03/2022
5267,02/03/2022
5944,02/03/2022
