Market,Store,FZ Turkey LY Ship,FZ Turkey LY Sold,FZ Turkey TY Ship
1,853,12,14,15
1,866,22,22,26
1,904,12,9,9
1,934,15,12,11
1,991,20,22,24
1,1212,17,18,19
1,2748,9,9,10
1,4333,12,12,11
1,4581,13,11,12
1,5174,13,11,12
1,6173,15,14,15
2,562,9,8,8
2,670,26,25,24
2,762,7,8,8
2,1158,13,12,13
2,1711,8,8,8
2,2723,8,10,11
2,5113,19,18,20
2,7280,22,22,23
3,298,18,16,15
3,300,13,14,13
3,301,14,12,14
3,315,17,15,17
3,316,15,18,17
3,691,30,26,26
3,1201,15,17,15
3,2713,13,14,14
3,3386,14,18,18
3,5126,12,11,12
4,105,25,25,28
4,114,13,12,13
4,118,9,9,10
4,153,13,15,16
4,164,14,16,16
4,258,17,20,21
4,273,9,8,9
4,303,5,6,7
4,391,11,12,12
5,306,24,23,24
5,314,20,19,19
5,332,11,7,8
5,375,12,10,10
5,433,20,18,19
5,434,18,13,13
5,681,18,15,17
5,712,18,14,15
5,5197,20,16,16
5,6878,20,19,21
5,7324,13,8,9
7,604,22,22,23
7,723,12,12,13
7,734,23,25,27
7,740,16,17,16
7,1091,15,16,16
7,1134,17,17,18
7,1462,10,8,9
7,1638,10,8,9
7,2114,22,22,23
7,2534,17,18,17
8,424,10,9,11
8,483,15,14,15
8,700,16,15,17
8,930,9,8,8
8,938,13,10,10
8,1101,16,17,17
8,4318,23,15,16
8,4407,14,14,15
8,5348,14,13,17
9,3049,10,10,10
9,3143,10,10,11
9,3357,6,7,8
9,3377,17,17,18
9,4264,6,6,6
9,4293,9,10,12
9,4324,4,5,6
9,4473,13,14,16
9,4490,17,18,18
9,4603,8,8,8
9,5304,4,5,5
9,5725,12,13,14
10,329,11,11,13
10,355,17,17,18
10,356,7,6,7
10,432,9,9,9
10,726,10,11,11
10,730,14,13,13
10,733,9,8,9
10,809,17,17,17
10,863,11,12,13
10,1057,5,4,4
11,287,35,39,29
11,362,7,8,7
11,425,6,6,6
11,715,15,13,15
11,731,13,13,14
11,764,15,13,13
11,1052,7,8,8
11,2306,11,11,10
13,423,12,13,14
13,1229,14,13,13
13,1481,7,6,6
13,2111,14,14,14
13,3271,10,9,9
13,4330,10,10,11
13,4497,10,10,9
13,5262,12,11,11
14,990,39,40,44
14,1174,5,7,8
14,1222,19,19,22
14,1224,21,22,23
