Store #,TRACKING,Est Arrival
3480,563446000000,4/11/2022
1833,563446000000,4/11/2022
1726,563446000000,4/11/2022
5261,563446000000,4/11/2022
58,563446000000,4/11/2022
3427,563446000000,4/11/2022
3739,563446000000,4/13/2022
5837,563446000000,4/11/2022
5805,563446000000,4/11/2022
4686,563446000000,4/11/2022
5290,563446000000,4/11/2022
7218,563446000000,4/11/2022
7368,563446000000,4/11/2022
6971,563446000000,4/11/2022
7238,563446000000,4/11/2022
4108,563446000000,4/11/2022
5226,563446000000,4/11/2022
4114,563446000000,4/11/2022
6960,563446000000,4/11/2022
6459,563446000000,4/11/2022
373,563446000000,4/11/2022
1257,563446000000,4/11/2022
4471,563446000000,4/13/2022
438,563446000000,4/11/2022
1516,563446000000,4/11/2022
2801,563446000000,4/11/2022
6851,563446000000,4/11/2022
7209,563446000000,4/11/2022
2858,563446000000,4/11/2022
7315,563446000000,4/11/2022
3600,563446000000,4/11/2022
3723,563446000000,4/11/2022
3727,563446000000,4/11/2022
3736,563446000000,4/11/2022
4048,563446000000,4/11/2022
6578,563446000000,4/11/2022
7235,563446000000,4/11/2022
7342,563446000000,4/11/2022
2984,563446000000,4/11/2022
3628,563446000000,4/11/2022
6953,563446000000,4/11/2022
2686,563446000000,4/11/2022
2773,563446000000,4/11/2022
2840,563446000000,4/11/2022
3635,563446000000,4/11/2022
3637,563446000000,4/11/2022
3638,563446000000,4/11/2022
3752,563446000000,4/11/2022
4367,563446000000,4/11/2022
6078,563446000000,4/11/2022
6850,563446000000,4/11/2022
6876,563446000000,4/11/2022
7224,563446000000,4/11/2022
7232,563446000000,4/11/2022
7357,563446000000,4/11/2022
2699,563446000000,4/11/2022
2731,563446000000,4/11/2022
2919,563446000000,4/11/2022
2940,563446000000,4/11/2022
3202,563446000000,4/11/2022
3614,563446000000,4/11/2022
3622,563446000000,4/11/2022
3724,563446000000,4/11/2022
3743,563446000000,4/11/2022
3745,563446000000,4/11/2022
4206,563446000000,4/11/2022
4210,563446000000,4/11/2022
4445,563446000000,4/11/2022
4452,563446000000,4/11/2022
6962,563446000000,4/11/2022
7129,563446000000,4/12/2022
7240,563446000000,4/11/2022
7241,563446000000,4/11/2022
897,563446000000,4/11/2022
1653,563446000000,4/11/2022
2852,563446000000,4/11/2022
3653,563446000000,4/11/2022
3043,563446000000,4/11/2022
3880,563446000000,4/11/2022
7308,563446000000,4/11/2022
7310,563446000000,4/11/2022
2933,563446000000,4/11/2022
2765,563446000000,4/11/2022
2849,563446000000,4/11/2022
6878,563446000000,4/11/2022
288,563446000000,4/11/2022
3170,563446000000,4/11/2022
4118,563446000000,4/11/2022
4130,563446000000,4/11/2022
4194,563446000000,4/11/2022
236,563446000000,4/11/2022
2761,563446000000,4/11/2022
7337,563446000000,4/11/2022
2684,563446000000,4/11/2022
1137,563446000000,4/11/2022
1522,563446000000,4/11/2022
4416,563446000000,4/11/2022
290,563446000000,4/11/2022
4508,563446000000,4/11/2022
6286,563446000000,4/11/2022
7009,563446000000,4/11/2022
4371,563446000000,4/11/2022
3605,563446000000,4/11/2022
4375,563446000000,4/11/2022
4390,563446000000,4/11/2022
4443,563446000000,4/11/2022
7243,563446000000,4/11/2022
2762,563446000000,4/11/2022
3646,563446000000,4/11/2022
7304,563446000000,4/11/2022
2244,563446000000,4/11/2022
3603,563446000000,4/11/2022
4376,563446000000,4/11/2022
6786,563446000000,4/11/2022
7340,563446000000,4/11/2022
2505,563446000000,4/11/2022
1499,563446000000,4/11/2022
3768,563446000000,4/11/2022
3899,563446000000,4/11/2022
1494,563446000000,4/11/2022
6929,563446000000,4/11/2022
7349,563446000000,4/11/2022
3169,563446000000,4/11/2022
3338,563446000000,4/11/2022
3713,563446000000,4/11/2022
3885,563446000000,4/11/2022
2823,563446000000,4/11/2022
4653,563446000000,4/11/2022
3411,563446000000,4/11/2022
3567,563446000000,4/11/2022
3654,563446000000,4/11/2022
4373,563446000000,4/11/2022
4525,563446000000,4/11/2022
5143,563446000000,4/11/2022
7262,563446000000,4/11/2022
920,563446000000,4/11/2022
3056,563446000000,4/11/2022
5461,563446000000,4/13/2022
4453,563446000000,4/11/2022
4579,563446000000,4/11/2022
4591,563446000000,4/11/2022
4756,563446000000,4/11/2022
5256,563446000000,4/11/2022
4464,563446000000,4/11/2022
4528,563446000000,4/11/2022
4589,563446000000,4/11/2022
4695,563446000000,4/11/2022
840,563446000000,4/11/2022
4527,563446000000,4/11/2022
4692,563446000000,4/11/2022
5198,563446000000,4/11/2022
4469,563446000000,4/11/2022
4585,563446000000,4/11/2022
3619,563446000000,4/11/2022
4491,563446000000,4/12/2022
4545,563446000000,4/11/2022
4625,563446000000,4/11/2022
4626,563446000000,4/11/2022
5204,563446000000,4/11/2022
5383,563446000000,4/11/2022
5734,563446000000,4/11/2022
5740,563446000000,4/11/2022
1714,563446000000,4/11/2022
2431,563446000000,4/11/2022
3897,563446000000,4/13/2022
2465,563446000000,4/11/2022
3204,563446000000,4/11/2022
3521,563446000000,4/11/2022
4104,563446000000,4/11/2022
4421,563446000000,4/11/2022
4426,563446000000,4/11/2022
4468,563446000000,4/11/2022
4470,563446000000,4/11/2022
4490,563446000000,4/12/2022
4530,563446000000,4/11/2022
4577,563446000000,4/11/2022
4618,563446000000,4/11/2022
4654,563446000000,4/11/2022
4676,563446000000,4/11/2022
5062,563446000000,4/11/2022
5102,563446000000,4/11/2022
5188,563446000000,4/11/2022
5707,563446000000,4/11/2022
6165,563446000000,4/11/2022
6207,563446000000,4/11/2022
4517,563446000000,4/11/2022
4605,563446000000,4/11/2022
5125,563446000000,4/11/2022
5135,563446000000,4/11/2022
5700,563446000000,4/11/2022
5791,563446000000,4/11/2022
5903,563446000000,4/11/2022
6583,563446000000,4/12/2022
6966,563446000000,4/11/2022
163,563446000000,4/11/2022
1878,563446000000,4/13/2022
3449,563446000000,4/11/2022
3837,563446000000,4/11/2022
4432,563446000000,4/11/2022
4519,563446000000,4/11/2022
4672,563446000000,4/11/2022
4673,563446000000,4/11/2022
5081,563446000000,4/11/2022
5148,563446000000,4/11/2022
5182,563446000000,4/11/2022
5267,563446000000,4/11/2022
5323,563446000000,4/11/2022
5371,563446000000,4/11/2022
5427,563446000000,4/11/2022
5452,563446000000,4/11/2022
5464,563446000000,4/11/2022
5716,563446000000,4/11/2022
5744,563446000000,4/11/2022
6932,563446000000,4/11/2022
6964,563446000000,4/11/2022
7221,563446000000,4/11/2022
5353,563446000000,4/11/2022
4465,563446000000,4/11/2022
4691,563446000000,4/11/2022
5908,563446000000,4/11/2022
7137,563446000000,4/11/2022
7299,563446000000,4/11/2022
7233,563446000000,4/11/2022
2769,563446000000,4/11/2022
4674,563446000000,4/11/2022
3442,563446000000,4/11/2022
5490,563446000000,4/11/2022
5769,563446000000,4/11/2022
5828,563446000000,4/12/2022
6898,563446000000,4/11/2022
5265,563446000000,4/11/2022
7347,563446000000,4/11/2022
1395,563446000000,4/11/2022
3585,563446000000,4/11/2022
6190,563446000000,4/11/2022
7178,563446000000,4/11/2022
7188,563446000000,4/11/2022
7281,563446000000,4/11/2022
7294,563446000000,4/11/2022
5923,563446000000,4/11/2022
1497,563446000000,4/11/2022
3450,563446000000,4/11/2022
4586,563446000000,4/11/2022
5780,563446000000,4/11/2022
5726,563446000000,4/11/2022
5741,563446000000,4/11/2022
7177,563446000000,4/11/2022
7251,563446000000,4/11/2022
655,563446000000,4/11/2022
1338,563446000000,4/11/2022
1531,563446000000,4/11/2022
6807,563446000000,4/11/2022
5378,563446000000,4/11/2022
2870,563446000000,4/11/2022
5789,563446000000,4/11/2022
4055,563446000000,4/11/2022
4388,563446000000,4/11/2022
4434,563446000000,4/11/2022
4619,563446000000,4/11/2022
5702,563446000000,4/11/2022
5291,563446000000,4/11/2022
5829,563446000000,4/11/2022
7020,563446000000,4/11/2022
4056,563446000000,4/11/2022
5248,563446000000,4/11/2022
5782,563446000000,4/11/2022
6941,563446000000,4/11/2022
5925,563446000000,4/11/2022
7326,563446000000,4/11/2022
5715,563446000000,4/11/2022
5773,563446000000,4/11/2022
5404,563446000000,4/11/2022
4197,563446000000,4/11/2022
5059,563446000000,4/11/2022
5279,563446000000,4/11/2022
5776,563446000000,4/11/2022
7087,563446000000,4/11/2022
