Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
353,POINTPICKUP,Scheduled Express Delivery ,6,At Risk,Degrading,Driver Supply Focus,202247,8.00%,91.58%,9,28.60%,0.00%,14.30%,0.00%
5889,ROADIE,Scheduled Express Delivery ,6,At Risk,Recovering,Driver Supply Focus,202247,93.33%,93.33%,4,100.00%,100.00%,75.00%,100.00%
1129,UBER,Scheduled Standard Delivery,4,At Risk,Recovering,Driver Supply Focus,202247,100.00%,100.00%,2,100.00%,,,
2133,UBER,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202247,71.43%,100.00%,8,66.70%,100.00%,,
4130,UBER,Scheduled Standard Delivery,26,Executive Review,Recovering,Driver Supply Focus,202247,100.00%,100.00%,7,100.00%,,,
3170,SPARK,Scheduled Standard Delivery,32,Executive Review,Degrading,Driver Supply Focus,202247,85.75%,95.01%,9,81.70%,86.00%,90.80%,83.90%
3569,UBER,Scheduled Standard Delivery,7,Executive Review,Recovering,Driver Supply Focus,202247,100.00%,100.00%,10,100.00%,,,100.00%
392,POINTPICKUP,Scheduled Express Delivery ,4,At Risk,Degrading,Driver Supply Focus,202247,40.00%,89.47%,9,50.00%,100.00%,20.00%,0.00%
113,POINTPICKUP,Scheduled Standard Delivery,7,Executive Review,Recovering,Driver Supply Focus,202247,79.69%,93.62%,10,93.00%,84.90%,79.90%,72.80%
129,POINTPICKUP,Scheduled Express Delivery ,7,Executive Review,Degrading,Driver Supply Focus,202247,79.31%,90.74%,10,77.80%,85.70%,85.70%,66.70%
129,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202247,49.58%,88.28%,9,47.80%,48.10%,60.00%,41.20%
185,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202247,73.13%,88.75%,9,55.00%,83.30%,71.40%,75.00%
