Store,Program,Wk,Pallet Count
35,Intimates, 20 ,1 
35,Intimates, 24 ,1 
35,Intimates, 20 ,1 
35,Kids,22,1
35,Kids,23,1
35,Kids,22,1
35,Kids,23,1
35,Kids,22,1
35,Kids,22,1
35,Kids,23,1
35,Kids,22,1
35,Kids,22,1
35,Kids,23,1
35,Kids,22,1
35,Kids,22,1
35,Kids,23,1
35,Kids,22,1
35,Kids,22,1
36,Mens,18,1 
36,Intimates, 20 ,2 
36,Intimates, 20 ,1 
36,Intimates, 20 ,1 
36,Intimates, 20 ,1 
36,Kids,22,1
36,Kids,22,1
36,Kids,23,1
36,Kids,22,1
36,Kids,23,1
36,Kids,22,1
36,Kids,22,1
36,Kids,22,1
36,Kids,23,2
36,Kids,22,1
36,Kids,22,1
36,Kids,22,1
36,Kids,22,1
36,Kids,22,1
36,Kids,22,1
36,Kids,23,2
36,Kids,22,1
37,Mens,18,1 
37,Intimates, 20 ,1 
37,Intimates, 20 ,1 
37,Intimates, 20 ,1 
37,Kids,22,1
37,Kids,22,1
37,Kids,23,1
37,Kids,22,1
37,Kids,23,1
37,Kids,22,1
37,Kids,22,1
37,Kids,22,1
37,Kids,23,1
37,Kids,22,1
37,Kids,23,1
37,Kids,22,1
37,Kids,22,1
37,Kids,22,1
38,Intimates, 20 ,1 
38,Intimates, 20 ,1 
38,Kids,22,1
38,Kids,22,1
38,Kids,22,1
38,Kids,22,1
39,Kids,22,1
40,Mens,18,1 
40,Intimates, 20 ,1 
40,Intimates, 20 ,1 
40,Intimates, 20 ,1 
40,Kids,22,1
40,Kids,22,1
40,Kids,22,1
40,Kids,22,1
41,Mens,18,1 
41,Mens,26,1 
41,Intimates, 24 ,1 
41,Intimates, 20 ,1 
41,Kids,22,1
41,Kids,22,1
41,Kids,23,1
41,Kids,22,1
41,Kids,23,1
41,Kids,22,1
41,Kids,22,1
41,Kids,22,1
41,Kids,23,1
41,Kids,25,1
41,Kids,27,1
41,Kids,22,1
41,Kids,22,1
41,Kids,22,1
41,Kids,22,1
42,Intimates, 20 ,1 
42,Intimates, 20 ,1 
42,Kids,22,1
43,Mens,18,1 
43,Mens,26,1 
43,Intimates, 20 ,1 
43,Kids,22,1
43,Kids,22,1
43,Kids,22,1
43,Kids,22,1
43,Kids,22,1
43,Kids,22,1
43,Kids,22,1
43,Kids,23,1
45,Mens,18,1 
45,Mens,26,1 
45,Intimates, 20 ,2 
45,Intimates, 20 ,1 
45,Intimates, 24 ,1 
45,Intimates, 20 ,1 
45,Kids,22,1
45,Kids,23,1
45,Kids,22,1
45,Kids,23,1
45,Kids,22,1
45,Kids,22,1
45,Kids,22,1
45,Kids,22,1
45,Kids,23,2
45,Kids,22,1
45,Kids,23,1
45,Kids,22,1
45,Kids,23,1
45,Kids,22,1
45,Kids,22,1
45,Kids,23,1
45,Kids,22,1
45,Kids,23,1
45,Kids,22,1
45,Kids,22,1
45,Kids,23,2
45,Kids,22,1
46,Mens,18,1 
46,Intimates, 20 ,2 
46,Intimates, 20 ,1 
46,Intimates, 24 ,1 
46,Intimates, 20 ,1 
46,Kids,22,1
46,Kids,23,1
46,Kids,22,1
46,Kids,23,1
46,Kids,22,1
46,Kids,22,1
46,Kids,22,1
47,Mens,18,1 
47,Intimates, 20 ,1 
