Market #,REGION,Store #,Status,Trend,First_Carrier_Assigned,Service_Type,Weeks With Status,Max_WM_WK_ID,OTD - Last 4 Weeks,OTP - Last 4 Weeks,OWT - Last 4 weeks,Express_Cancel-Rate -Last 4 Weeks,OTD The Latest Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
242,41,3610,Active Monitoring,Degrading,POSTMATES,Standard & Express,2,202150,73.30%,82%,10.37,11.40%,77.70%,71.60%,84.70%,56.10%
146,41,104,Active Monitoring,Degrading,POINTPICKUP,Express Only,1,202150,90.00%,94%,5.67,15.80%,83.30%,100.00%,100.00%,83.30%
253,41,431,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,2,202150,89.10%,86%,4.85,9.20%,88.60%,90.40%,93.80%,84.30%
152,41,587,Active Monitoring,Degrading,POINTPICKUP,Express Only,2,202150,75.90%,92%,6.94,19.80%,66.70%,75.00%,88.90%,77.30%
242,41,497,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,3,202150,92.00%,88%,6.47,6.00%,85.60%,96.00%,94.00%,93.60%
242,41,3294,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,72.30%,54%,10.34,9.20%,66.40%,72.90%,96.80%,51.00%
242,41,5418,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,73.30%,63%,9.9,7.30%,77.30%,50.60%,86.40%,76.40%
544,72,4580,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,78.70%,70%,7.49,4.00%,60.70%,87.00%,77.50%,87.90%
13,14,5262,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,76.40%,65%,10.73,5.50%,79.00%,70.40%,94.00%,65.80%
8,14,483,Active Monitoring,Degrading,ROADIE,Standard & Express,3,202150,80.70%,81%,8.48,2.50%,81.00%,90.20%,86.50%,63.20%
52,5,2427,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,82.60%,69%,6.52,3.90%,87.00%,75.70%,85.40%,82.00%
