Store Number,Region,Store,Community Pillar
611,46,ROSWELL NM,Thriving Economies 
806,46,"LAS CRUCES, NM", Resilient America
824,46,ALBUQUERQUE (N),City Hubs
826,46,FARMINGTON NM,Thriving Economies 
829,46,"SANTA FE,NM",City Hubs
835,46,ALBUQUERQUE - JUAN TOBO,City Hubs
850,46,"ALBUQUERQUE (C), NM", Resilient America
851,46,"RUIDOSO DOWNS, NM", Resilient America
868,46,CARLSBAD NM,Small Town America
869,46,ALAMOSA CO, Resilient America
873,46,TAOS NM, Resilient America
906,46,GALLUP NM,Small Town America
966,46,CORTEZ CO, Resilient America
1149,46,"SAFFORD, AZ", Resilient America
1218,46,CASA GRANDE AZ,Small Town America
1240,46,SIERRA VISTA AZ,City Hubs
1291,46,TUCSON (E) AZ,Small Town America
1306,46,ALAMOGORDO NM, Resilient America
1324,46,NOGALES AZ,Rural America
1325,46,TUCSON (N) AZ,City Hubs
1334,46,CLAYPOOL/MIAMI AZ,Rural America
1357,46,SILVER CITY NM, Resilient America
1380,46,LAS VEGAS NM,Rural America
1381,46,"APACHE JUNCTION, AZ",City Hubs
1397,46,ALBQUERQUE (NW) NM,City Hubs
1411,46,GREEN VALLEY AZ,Thriving Economies 
1414,46,BELEN NM,Thriving Economies 
1512,46,CHANDLER AZ,City Hubs
1532,46,GLENDALE(PHOENIX) AZ,City Hubs
1533,46,PEORIA AZ,Thriving Economies 
1549,46,PHOENIX (W) AZ, Resilient America
1598,46,PHOENIX AZ,Thriving Economies 
1612,46,TUCSON (S) AZ, Resilient America
1646,46,MESA (SUPERSTITION) AZ,Thriving Economies 
1746,46,TEMPE AZ,City Hubs
1846,46,DOUGLAS AZ, Resilient America
2112,46,"SCOTTSDALE, AZ", Resilient America
2113,46,"PHOENIX, AZ",City Hubs
2270,46,"DURANGO, CO", Resilient America
2482,46,"MESA (W), AZ",City Hubs
2512,46,"PHOENIX (N), AZ",City Hubs
2515,46,"PHOENIX (E), AZ",City Hubs
2554,46,"AVONDALE, AZ",City Hubs
2652,46,"GRANTS, NM",Rural America
2656,46,"ESPANOLA, NM",Rural America
2671,46,CHANDLER AZ,Thriving Economies 
2766,46,SCOTTSDALE (N) AZ,Small Town America
2767,46,MESA (NORTH) AZ,Thriving Economies 
2768,46,"MESA (S), AZ", Resilient America
2777,46,"SUPRISE,AZ", Resilient America
2778,46,"COOLIDGE, AZ", Resilient America
2922,46,"TUCSON(FOOTHILLS), AZ",City Hubs
2924,46,"ALBUQUERQUE (W), NM",City Hubs
3241,46,GLENDALE AZ,City Hubs
3360,46,"CHANDLER-AIRPORT, AZ",Thriving Economies 
3379,46,ORO VALLEY AZ,Thriving Economies 
3407,46,BUCKEYE AZ,Small Town America
3423,46,"SANTA FE (S), NM", Resilient America
3427,46,ARTESIA NM,Thriving Economies 
3428,46,"FARMINGTON, NM", Resilient America
3465,46,GLENDALE AZ 11-12-02,Thriving Economies 
3596,46,"LOS LUNAS, NM",Thriving Economies 
3731,46,"BERNALILLO, NM",Thriving Economies 
3732,46,"RIO RANCHO (W), NM", Resilient America
3751,46,"QUEEN CREEK, AZ",City Hubs
3771,46,"PHOENIX (LAVEEN), AZ",City Hubs
3799,46,"MESA (COUNTRY CLUB), AZ",Small Town America
3807,46,"BENSON, AZ",Rural America
3833,46,"MESA (SE), AZ",Thriving Economies 
3861,46,"GILBERT (POWER), AZ",Thriving Economies 
3884,46,"TUCSON, AZ",Thriving Economies 
3896,46,"PEORIA (LAKE PLESNT), AZ",Thriving Economies 
4201,46,"EDGEWOOD, NM",Thriving Economies 
4232,46,"PHOENIX (P.V.), AZ",Thriving Economies 
4336,46,"EL MIRAGE, AZ", Resilient America
4341,46,"TRUTH OR CONSEQUENCES, NM", Resilient America
4430,46,"MARICOPA, AZ",Thriving Economies 
4451,46,"QUEEN CREEK (N), AZ",Thriving Economies 
4601,46,"LAS CRUCES (N), NM",Thriving Economies 
5003,46,PAGOSA SPRINGS CO, Resilient America
5031,46,TUCSON AZ,Thriving Economies 
5124,46,"GLENDALE (MAINSTEE), AZ",City Hubs
5155,46,LAS CRUCES (SW) NM, Resilient America
5166,46,DEMING NM, Resilient America
5186,46,"GILBERT (E), AZ",City Hubs
5189,46,PHOENIX (MARYVALE) AZ,City Hubs
5190,46,PHOENIX (HAPPY VALLEY) AZ,Thriving Economies 
5329,46,"PHOENIX, AZ", Resilient America
5330,46,"PHOENIX, AZ", Resilient America
5331,46,PHOENIX TOLLESON AZ,Thriving Economies 
5369,46,"GOODYEAR, AZ",City Hubs
5428,46,"MESA (GREENFIELD), AZ",City Hubs
5429,46,"SURPRISE, AZ",Thriving Economies 
5430,46,"ALBUQUERQUE, NM",Small Town America
5491,46,"ALBUQUERQUE (EC), NM", Resilient America
5492,46,"SOCORRO, NM",Rural America
5626,46,TUCSON BRIDGES AZ,City Hubs
5768,46,"TEMPE (SOUTHERN), AZ",City Hubs
5799,46,"TUCSON, AZ",Small Town America
5835,46,"CAVE CREEK, AZ",Thriving Economies 
5858,46,"TUCSON (SE), AZ",Thriving Economies 
6477,46,PHOENIX (METROCENTER) AZ,City Hubs
6480,46,CHANDLER (FASHION CENTER) AZ,City Hubs
