Store,BU,Region,Market,City,State,StrType
1,A,42,323,ROGERS,AR,SUP
13,A,42,334,CARTHAGE,MO,SUP
16,A,42,321,VAN BUREN,AR,SUP
28,B,44,347,MIAMI,OK,SUP
31,B,44,351,POTEAU,OK,SUP
38,B,44,47,IDABEL,OK,SUP
39,B,44,410,FORT SCOTT,KS,SUP
45,A,11,329,JONESBORO,AR,SUP
48,A,42,334,MONETT,MO,SUP
54,A,42,322,SPRINGDALE,AR,SUP
57,A,42,328,WALNUT RIDGE,AR,W/M
59,A,42,334,JOPLIN,MO,SUP
60,E,40,339,TROY,MO,SUP
62,A,11,329,BLYTHEVILLE,AR,SUP
66,A,42,321,CLARKSVILLE,AR,SUP
77,B,7,83,TAYLOR,TX,SUP
78,E,40,357,MARSHFIELD,MO,SUP
83,A,42,327,MAGNOLIA,AR,SUP
85,A,42,324,BENTON,AR,SUP
86,E,40,357,SPRINGFIELD,MO,SUP
100,A,42,323,BENTONVILLE,AR,SUP
101,E,40,336,ROLLA,MO,SUP
119,A,42,328,BATESVILLE,AR,SUP
120,A,11,146,HUMBOLDT,TN,SUP
125,A,42,321,FORT SMITH,AR,SUP
126,A,42,324,LITTLE ROCK,AR,SUP
128,A,11,329,JONESBORO,AR,SUP
132,B,44,344,KINGFISHER,OK,SUP
136,B,44,345,BLACKWELL,OK,W/M
137,B,44,352,STILLWATER,OK,SUP
138,E,40,357,SPRINGFIELD,MO,SUP
139,B,44,353,PURCELL,OK,SUP
140,B,13,503,LUFKIN,TX,SUP
157,A,42,328,SEARCY,AR,SUP
159,E,40,359,COLUMBIA,MO,SUP
164,A,11,4,PONTOTOC,MS,SUP
188,E,40,335,CAPE GIRARDEAU,MO,SUP
201,E,40,341,BELLEVILLE,IL,SUP
202,B,5,51,FRISCO,TX,SUP
206,B,5,52,MCKINNEY,TX,SUP
212,B,44,353,NORMAN,OK,SUP
221,B,44,344,YUKON,OK,SUP
228,B,5,48,CLEBURNE,TX,SUP
243,E,40,339,WENTZVILLE,MO,SUP
246,B,44,345,SKIATOOK,OK,SUP
265,B,5,45,TERRELL,TX,SUP
267,A,42,334,WEBB CITY,MO,SUP
277,B,44,353,MOORE,OK,SUP
286,B,5,55,ENNIS,TX,SUP
290,B,7,77,GONZALES,TX,SUP
292,B,7,87,LOCKHART,TX,SUP
293,B,6,85,NAVASOTA,TX,W/M
296,A,42,325,DARDANELLE,AR,SUP
304,A,12,149,SPRINGFIELD,TN,SUP
308,A,12,152,MANCHESTER,TN,SUP
318,A,42,325,ARKADELPHIA,AR,SUP
322,B,6,85,BRYAN,TX,SUP
324,B,44,356,BRISTOW,OK,SUP
346,B,44,409,AUGUSTA,KS,SUP
348,A,42,327,MONTICELLO,AR,SUP
356,A,14,10,AUBURN,AL,SUP
360,B,44,352,CUSHING,OK,SUP
392,B,44,344,WEATHERFORD,OK,SUP
402,B,13,132,BREAUX BRIDGE,LA,SUP
404,B,7,87,SAN MARCOS,TX,SUP
405,B,13,134,LEESVILLE,LA,SUP
406,A,12,151,SMYRNA,TN,SUP
413,B,6,569,PORT ISABEL,TX,SUP
414,B,44,349,WICHITA FALLS,TX,SUP
416,A,12,151,MURFREESBORO,TN,SUP
420,B,44,349,WICHITA FALLS,TX,SUP
421,B,5,479,DECATUR,TX,SUP
437,B,6,84,SEALY,TX,SUP
450,A,42,127,SHREVEPORT,LA,SUP
463,B,6,84,BEEVILLE,TX,SUP
464,B,6,78,CORPUS CHRISTI,TX,SUP
468,B,44,47,TEXARKANA,AR,SUP
475,B,7,83,ROUND ROCK,TX,SUP
478,B,7,77,PEARSALL,TX,W/M
482,B,6,61,WEST COLUMBIA,TX,W/M
495,A,11,138,COLUMBUS,MS,SUP
500,B,7,505,EL PASO,TX,SUP
502,B,13,129,GALLIANO,LA,SUP
505,B,13,134,DERIDDER,LA,SUP
510,A,2,21,GAINESVILLE,GA,SUP
512,B,7,505,EL PASO,TX,SUP
518,A,2,24,CANTON,GA,SUP
520,A,2,21,WINDER,GA,SUP
525,O,72,549,LAKE MARY,FL,WNM
527,B,6,61,ANGLETON,TX,SUP
537,B,7,73,ODESSA,TX,SUP
544,B,44,353,DEL CITY,OK,SUP
549,B,7,71,HOBBS,NM,SUP
556,A,3,28,WAYCROSS,GA,SUP
562,A,14,2,LEEDS,AL,SUP
573,E,40,361,LEES SUMMIT,MO,SUP
577,E,40,362,OLATHE,KS,SUP
583,A,12,121,ONEIDA,TN,SUP
584,E,41,260,DRY RIDGE,KY,SUP
588,A,3,27,ALBANY,GA,SUP
589,E,41,256,LOUISVILLE,KY,SUP
593,A,3,28,DOUGLAS,GA,SUP
608,B,7,73,MIDLAND,TX,SUP
