Store,Received as a PDQ IDFEATWK50,Received as a Sidekick SKFEATWK51,Sum of Total Cost Charged,Sum of Total Retail charged
1,1,,-116.34,-359.64
2,1,1,-375.85,-1019.1
3,1,1,-375.85,-1019.1
4,1,1,-375.85,-1019.1
5,1,1,-375.85,-1019.1
7,1,1,-375.85,-1019.1
9,2,1,-492.19,-1378.74
10,,1,-259.51,-659.46
11,1,1,-375.85,-1019.1
12,,1,-259.51,-659.46
13,1,1,-375.85,-1019.1
14,2,,-232.68,-719.28
17,1,1,-375.85,-1019.1
18,1,1,-375.85,-1019.1
19,1,1,-375.85,-1019.1
20,1,1,-375.85,-1019.1
23,,1,-259.51,-659.46
24,1,1,-375.85,-1019.1
25,2,,-232.68,-719.28
26,1,,-116.34,-359.64
29,1,,-116.34,-359.64
30,1,1,-375.85,-1019.1
31,,1,-259.51,-659.46
33,1,1,-375.85,-1019.1
34,1,,-116.34,-359.64
35,1,1,-375.85,-1019.1
36,1,1,-375.85,-1019.1
37,1,,-116.34,-359.64
38,1,,-116.34,-359.64
40,2,,-232.68,-719.28
41,1,1,-375.85,-1019.1
42,1,1,-375.85,-1019.1
43,1,1,-375.85,-1019.1
45,1,1,-375.85,-1019.1
46,2,,-232.68,-719.28
47,1,1,-375.85,-1019.1
48,1,1,-375.85,-1019.1
49,,1,-259.51,-659.46
50,,1,-259.51,-659.46
51,1,,-116.34,-359.64
52,1,1,-375.85,-1019.1
54,1,1,-375.85,-1019.1
55,1,,-116.34,-359.64
56,1,,-116.34,-359.64
58,1,1,-375.85,-1019.1
59,1,1,-375.85,-1019.1
60,1,,-116.34,-359.64
61,1,,-116.34,-359.64
62,1,1,-375.85,-1019.1
63,1,1,-375.85,-1019.1
64,1,1,-375.85,-1019.1
65,1,,-116.34,-359.64
66,1,1,-375.85,-1019.1
67,1,1,-375.85,-1019.1
69,1,,-116.34,-359.64
70,1,1,-375.85,-1019.1
71,1,1,-375.85,-1019.1
72,1,,-116.34,-359.64
73,,1,-259.51,-659.46
74,1,,-116.34,-359.64
75,2,2,-751.7,-2038.2
76,1,1,-375.85,-1019.1
77,1,1,-375.85,-1019.1
78,2,,-340.2,-719.28
79,1,,-116.34,-359.64
80,2,,-340.2,-719.28
83,1,1,-375.85,-1019.1
85,1,,-116.34,-359.64
86,2,,-340.2,-719.28
87,1,1,-375.85,-1019.1
88,2,,-340.2,-719.28
89,2,,-340.2,-719.28
90,,1,-259.51,-659.46
91,,1,-259.51,-659.46
92,1,1,-375.85,-1019.1
93,1,1,-375.85,-1019.1
94,1,1,-375.85,-1019.1
95,2,,-340.2,-719.28
96,1,1,-375.85,-1019.1
97,,1,-259.51,-659.46
98,,1,-259.51,-659.46
100,1,,-116.34,-359.64
101,2,,-340.2,-719.28
102,,1,-259.51,-659.46
103,,1,-259.51,-659.46
104,,1,-259.51,-659.46
105,1,1,-375.85,-1019.1
106,1,,-116.34,-359.64
107,1,1,-375.85,-1019.1
108,1,1,-375.85,-1019.1
109,1,1,-375.85,-1019.1
110,,2,-519.02,-1318.92
111,1,,-116.34,-359.64
112,1,1,-375.85,-1019.1
113,1,1,-375.85,-1019.1
114,1,1,-375.85,-1019.1
115,1,,-116.34,-359.64
117,,1,-259.51,-659.46
118,1,1,-375.85,-1019.1
119,1,1,-375.85,-1019.1
120,,1,-259.51,-659.46
121,,1,-259.51,-659.46
123,,1,-259.51,-659.46
124,1,1,-375.85,-1019.1
125,1,1,-375.85,-1019.1
126,1,1,-375.85,-1019.1
127,,1,-259.51,-659.46
128,1,1,-375.85,-1019.1
130,,1,-259.51,-659.46
131,,1,-259.51,-659.46
133,1,,-116.34,-359.64
134,,1,-259.51,-659.46
135,2,1,-492.19,-1378.74
137,1,,-116.34,-359.64
138,2,,-340.2,-719.28
139,1,1,-375.85,-1019.1
140,,1,-259.51,-659.46
141,1,,-116.34,-359.64
143,1,1,-375.85,-1019.1
144,1,,-116.34,-359.64
146,1,1,-375.85,-1019.1
147,,1,-259.51,-659.46
148,,1,-259.51,-659.46
149,2,1,-492.19,-1378.74
151,1,1,-375.85,-1019.1
152,2,,-340.2,-719.28
153,,1,-259.51,-659.46
154,1,1,-375.85,-1019.1
157,1,,-116.34,-359.64
158,,1,-259.51,-659.46
159,2,,-340.2,-719.28
160,1,1,-375.85,-1019.1
161,1,,-116.34,-359.64
162,,1,-259.51,-659.46
163,1,1,-375.85,-1019.1
164,1,1,-375.85,-1019.1
167,1,1,-375.85,-1019.1
168,,1,-259.51,-659.46
169,,1,-259.51,-659.46
171,1,1,-375.85,-1019.1
172,2,,-340.2,-719.28
173,2,,-340.2,-719.28
174,,1,-259.51,-659.46
175,1,,-116.34,-359.64
176,1,1,-375.85,-1019.1
177,1,,-116.34,-359.64
178,,1,-259.51,-659.46
179,1,1,-375.85,-1019.1
180,,1,-259.51,-659.46
181,,1,-259.51,-659.46
182,,1,-259.51,-659.46
183,,1,-259.51,-659.46
184,1,,-116.34,-359.64
185,1,1,-375.85,-1019.1
186,1,1,-375.85,-1019.1
189,1,1,-375.85,-1019.1
190,,1,-259.51,-659.46
192,1,,-116.34,-359.64
194,1,1,-375.85,-1019.1
195,1,1,-375.85,-1019.1
196,1,,-116.34,-359.64
197,2,1,-492.19,-1378.74
198,2,,-340.2,-719.28
200,2,1,-492.19,-1378.74
201,2,,-340.2,-719.28
202,,1,-259.51,-659.46
203,,1,-259.51,-659.46
205,,1,-259.51,-659.46
206,,1,-259.51,-659.46
211,,1,-259.51,-659.46
212,,1,-259.51,-659.46
213,2,,-340.2,-719.28
214,1,1,-375.85,-1019.1
216,1,1,-375.85,-1019.1
217,,1,-259.51,-659.46
218,,1,-259.51,-659.46
219,2,,-340.2,-719.28
220,,1,-259.51,-659.46
221,1,1,-375.85,-1019.1
222,2,,-340.2,-719.28
224,2,,-340.2,-719.28
226,,1,-259.51,-659.46
227,,1,-259.51,-659.46
229,1,,-116.34,-359.64
231,,1,-259.51,-659.46
232,,1,-259.51,-659.46
233,,1,-259.51,-659.46
234,1,,-116.34,-359.64
237,1,1,-375.85,-1019.1
238,,1,-259.51,-659.46
239,,1,-259.51,-659.46
240,1,1,-375.85,-1019.1
242,1,,-116.34,-359.64
243,2,,-340.2,-719.28
244,,1,-259.51,-659.46
246,,1,-259.51,-659.46
247,,1,-259.51,-659.46
248,,1,-259.51,-659.46
249,,1,-259.51,-659.46
250,2,,-340.2,-719.28
251,,1,-259.51,-659.46
253,2,,-340.2,-719.28
254,1,1,-375.85,-1019.1
256,2,,-340.2,-719.28
257,1,1,-375.85,-1019.1
258,1,1,-375.85,-1019.1
260,1,,-116.34,-359.64
261,1,1,-375.85,-1019.1
262,1,,-116.34,-359.64
264,1,1,-375.85,-1019.1
265,,1,-259.51,-659.46
266,,1,-259.51,-659.46
267,1,1,-375.85,-1019.1
268,1,1,-375.85,-1019.1
269,,1,-259.51,-659.46
271,1,1,-375.85,-1019.1
272,1,1,-375.85,-1019.1
273,1,1,-375.85,-1019.1
275,,1,-259.51,-659.46
277,1,,-116.34,-359.64
279,1,,-116.34,-359.64
280,,1,-259.51,-659.46
281,,1,-259.51,-659.46
282,,1,-259.51,-659.46
283,2,1,-492.19,-1378.74
284,,1,-259.51,-659.46
285,,1,-259.51,-659.46
286,,1,-259.51,-659.46
287,1,1,-375.85,-1019.1
288,,1,-259.51,-659.46
289,1,1,-375.85,-1019.1
290,1,1,-375.85,-1019.1
292,,1,-259.51,-659.46
295,2,,-340.2,-719.28
296,,1,-259.51,-659.46
297,,1,-259.51,-659.46
298,1,1,-375.85,-1019.1
299,,1,-259.51,-659.46
300,1,1,-375.85,-1019.1
301,1,1,-375.85,-1019.1
302,1,,-116.34,-359.64
303,1,,-116.34,-359.64
304,1,1,-375.85,-1019.1
305,,1,-259.51,-659.46
306,1,1,-375.85,-1019.1
307,,1,-259.51,-659.46
308,,1,-259.51,-659.46
309,,1,-259.51,-659.46
310,2,,-232.68,-719.28
311,,1,-259.51,-659.46
312,,1,-259.51,-659.46
313,2,,-340.2,-719.28
314,1,1,-375.85,-1019.1
315,1,,-116.34,-359.64
316,1,1,-375.85,-1019.1
317,2,,-340.2,-719.28
318,1,1,-375.85,-1019.1
319,1,,-116.34,-359.64
321,,1,-259.51,-659.46
322,,1,-259.51,-659.46
323,,1,-259.51,-659.46
324,1,1,-375.85,-1019.1
325,2,,-340.2,-719.28
328,2,,-340.2,-719.28
329,1,1,-375.85,-1019.1
330,,1,-259.51,-659.46
331,1,1,-375.85,-1019.1
332,,1,-259.51,-659.46
333,,1,-259.51,-659.46
335,1,1,-375.85,-1019.1
336,,1,-259.51,-659.46
337,2,,-340.2,-719.28
338,1,,-116.34,-359.64
340,,1,-259.51,-659.46
343,2,,-340.2,-719.28
344,,1,-259.51,-659.46
345,,1,-259.51,-659.46
346,1,1,-375.85,-1019.1
347,,1,-259.51,-659.46
348,1,1,-375.85,-1019.1
350,1,1,-375.85,-1019.1
351,,1,-259.51,-659.46
353,1,1,-375.85,-1019.1
355,1,1,-375.85,-1019.1
356,,1,-259.51,-659.46
357,2,,-340.2,-719.28
358,1,1,-375.85,-1019.1
359,1,,-116.34,-359.64
360,,1,-259.51,-659.46
361,2,,-340.2,-719.28
363,2,,-340.2,-719.28
364,,1,-259.51,-659.46
365,,1,-259.51,-659.46
368,1,1,-375.85,-1019.1
369,,1,-259.51,-659.46
370,,1,-259.51,-659.46
371,,1,-259.51,-659.46
372,1,1,-375.85,-1019.1
373,1,1,-375.85,-1019.1
374,1,1,-375.85,-1019.1
375,1,,-116.34,-359.64
376,,1,-259.51,-659.46
378,1,,-116.34,-359.64
379,2,,-340.2,-719.28
382,1,1,-375.85,-1019.1
383,1,1,-375.85,-1019.1
384,,1,-259.51,-659.46
385,,1,-259.51,-659.46
386,,1,-259.51,-659.46
387,,1,-259.51,-659.46
388,1,1,-375.85,-1019.1
389,1,1,-375.85,-1019.1
390,1,,-116.34,-359.64
391,1,,-116.34,-359.64
392,,1,-259.51,-659.46
393,1,1,-375.85,-1019.1
394,1,1,-375.85,-1019.1
395,,1,-259.51,-659.46
396,1,1,-375.85,-1019.1
397,,1,-259.51,-659.46
399,1,1,-375.85,-1019.1
400,1,,-116.34,-359.64
401,,1,-259.51,-659.46
402,,1,-259.51,-659.46
403,,1,-259.51,-659.46
404,1,,-116.34,-359.64
405,,1,-259.51,-659.46
406,1,,-116.34,-359.64
407,,1,-259.51,-659.46
408,,1,-259.51,-659.46
409,1,,-116.34,-359.64
410,,1,-259.51,-659.46
412,1,1,-375.85,-1019.1
413,,1,-259.51,-659.46
414,,1,-259.51,-659.46
416,1,,-116.34,-359.64
417,,1,-259.51,-659.46
419,,1,-259.51,-659.46
421,,1,-259.51,-659.46
422,1,1,-375.85,-1019.1
423,,1,-259.51,-659.46
424,1,1,-375.85,-1019.1
425,,1,-259.51,-659.46
426,,1,-259.51,-659.46
427,1,1,-375.85,-1019.1
428,1,1,-375.85,-1019.1
429,1,,-116.34,-359.64
430,,1,-259.51,-659.46
431,,1,-259.51,-659.46
432,1,,-116.34,-359.64
433,1,1,-375.85,-1019.1
435,2,,-340.2,-719.28
436,1,,-116.34,-359.64
440,1,1,-375.85,-1019.1
442,,1,-259.51,-659.46
443,,1,-259.51,-659.46
444,,1,-259.51,-659.46
445,,1,-259.51,-659.46
448,,1,-259.51,-659.46
449,1,1,-375.85,-1019.1
450,1,1,-375.85,-1019.1
451,2,,-340.2,-719.28
452,,1,-259.51,-659.46
454,1,1,-375.85,-1019.1
456,1,,-116.34,-359.64
