Region,Market,STORE #,Updated Cluster Type,Updated WM Set Week,FY,Tool kit link 
11,137,409,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
13,129,485,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
25,273,550,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
3,27,843,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
11,11,1052,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
14,10,1057,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
11,138,1069,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
11,137,1100,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
4,42,1603,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
41,256,1675,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
21,221,2441,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
75,314,2705,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
26,301,2730,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
20,316,2792,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
75,314,2805,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
26,302,7238,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
4,300,7243,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
3,27,7245,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
14,14,7247,CLUSTER 3,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-3.html
46,385,829,CLUSTER 4,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-4.html
7,506,1154,CLUSTER 4,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-4.html
58,445,1588,CLUSTER 4,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-4.html
16,183,2130,CLUSTER 4,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-4.html
75,508,2853,CLUSTER 4,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-4.html
47,381,4471,CLUSTER 4,WK37,FY26,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-4.html
