Region,Market,Store Number,Fashion Op Model Tier,Fashion Coach?,Coach Action,Total TL Headcount,Go-Live Week,Fashion Stocking Team Hours
4,29,605,2,YES,MOVE EXISTING,4,WK 37,120
4,29,606,3,NO,-,3,WK 37,80
4,29,635,2,YES,MOVE EXISTING,4,WK 37,120
4,29,728,2,YES,HIRE,4,WK 37,120
4,29,1011,2,YES,MOVE EXISTING,4,WK 37,120
4,29,2832,2,YES,HIRE,4,WK 37,120
4,29,2860,1,YES,MOVE EXISTING,4,WK 37,140
4,29,4556,3,NO,-,3,WK 37,80
4,29,6395,3,NO,-,4,WK 37,80
4,33,628,2,YES,MOVE EXISTING,4,WK 37,120
4,33,795,3,NO,-,3,WK 37,80
4,33,1037,2,YES,MOVE EXISTING,4,WK 37,120
4,33,1358,2,YES,HIRE,4,WK 37,120
4,33,1383,2,YES,HIRE,4,WK 37,120
4,33,1748,2,YES,HIRE,4,WK 37,120
4,33,2348,3,NO,-,4,WK 37,80
4,33,7181,3,NO,-,4,WK 37,80
4,35,631,2,YES,HIRE,4,WK 37,120
4,35,640,2,YES,MOVE EXISTING,4,WK 37,120
4,35,641,2,YES,MOVE EXISTING,4,WK 37,120
4,35,1123,1,YES,MOVE EXISTING,4,WK 37,140
4,35,1244,2,YES,HIRE,4,WK 37,120
4,35,2265,2,YES,MOVE EXISTING,4,WK 37,120
4,35,2687,2,YES,HIRE,4,WK 37,120
4,35,3191,3,NO,-,3,WK 37,80
4,35,3192,3,NO,-,4,WK 37,80
4,35,3222,2,YES,MOVE EXISTING,4,WK 37,120
4,35,4583,3,NO,-,3,WK 37,80
4,35,5487,2,YES,HIRE,4,WK 37,120
4,36,625,2,YES,MOVE EXISTING,4,WK 37,120
4,36,632,3,NO,-,4,WK 37,80
4,36,1017,2,YES,HIRE,4,WK 37,120
4,36,1146,1,YES,MOVE EXISTING,4,WK 37,140
4,36,1359,2,YES,MOVE EXISTING,4,WK 37,120
4,36,2928,1,YES,HIRE,4,WK 37,140
4,36,3367,3,NO,-,4,WK 37,80
4,36,4384,3,NO,-,4,WK 37,80
4,37,574,1,YES,MOVE EXISTING,4,WK 37,140
4,37,586,2,YES,MOVE EXISTING,4,WK 37,120
4,37,643,1,YES,MOVE EXISTING,4,WK 37,140
4,37,1767,2,YES,HIRE,4,WK 37,120
4,37,2712,1,YES,MOVE EXISTING,4,WK 37,140
4,37,4664,2,YES,MOVE EXISTING,4,WK 37,120
4,37,5087,1,YES,MOVE EXISTING,4,WK 37,140
4,37,5705,2,YES,HIRE,4,WK 37,120
4,38,511,1,YES,MOVE EXISTING,4,WK 37,140
4,38,621,2,YES,HIRE,4,WK 37,120
4,38,627,3,NO,-,3,WK 37,80
4,38,630,2,YES,MOVE EXISTING,4,WK 37,120
4,38,634,2,YES,MOVE EXISTING,4,WK 37,120
4,38,642,3,NO,-,4,WK 37,80
4,38,1135,3,NO,-,4,WK 37,80
4,38,1829,3,NO,-,3,WK 37,80
4,38,2703,2,YES,HIRE,4,WK 37,120
4,38,4457,3,NO,-,3,WK 37,80
4,38,7188,3,NO,-,3,WK 37,80
4,39,396,2,YES,MOVE EXISTING,4,WK 37,120
4,39,514,2,YES,MOVE EXISTING,4,WK 37,120
4,39,624,3,NO,-,4,WK 37,80
4,39,629,3,NO,-,4,WK 37,80
4,39,644,2,YES,HIRE,4,WK 37,120
4,39,1130,2,YES,MOVE EXISTING,4,WK 37,120
4,39,1270,2,YES,MOVE EXISTING,4,WK 37,120
4,39,1382,2,YES,MOVE EXISTING,4,WK 37,120
4,39,1603,3,NO,-,3,WK 37,80
4,39,4487,2,YES,HIRE,4,WK 37,120
4,39,6576,3,NO,-,4,WK 37,80
4,39,6887,3,NO,-,3,WK 37,80
4,41,616,2,YES,MOVE EXISTING,4,WK 37,120
4,41,881,2,YES,HIRE,4,WK 37,120
4,41,1164,2,YES,MOVE EXISTING,4,WK 37,120
4,41,1183,1,YES,HIRE,4,WK 37,140
4,41,1286,2,YES,HIRE,4,WK 37,120
4,41,1339,2,YES,MOVE EXISTING,4,WK 37,120
4,41,2214,2,YES,MOVE EXISTING,4,WK 37,120
4,41,4420,2,YES,MOVE EXISTING,4,WK 37,120
4,41,4440,2,YES,HIRE,4,WK 37,120
4,41,4506,2,YES,MOVE EXISTING,4,WK 37,120
4,41,4521,1,YES,MOVE EXISTING,4,WK 37,140
4,42,585,2,YES,MOVE EXISTING,4,WK 37,120
4,42,638,2,YES,HIRE,4,WK 37,120
4,42,1030,2,YES,MOVE EXISTING,4,WK 37,120
4,42,1035,1,YES,MOVE EXISTING,4,WK 37,140
4,42,1144,2,YES,HIRE,4,WK 37,120
4,42,1281,2,YES,HIRE,4,WK 37,120
4,42,2806,1,YES,MOVE EXISTING,4,WK 37,140
4,42,3733,2,YES,MOVE EXISTING,4,WK 37,120
4,42,4237,2,YES,MOVE EXISTING,4,WK 37,120
4,42,4593,2,YES,HIRE,4,WK 37,120
4,294,1036,2,YES,HIRE,4,WK 37,120
4,294,1179,2,YES,MOVE EXISTING,4,WK 37,120
4,294,1217,2,YES,HIRE,4,WK 37,120
4,294,1242,1,YES,HIRE,4,WK 37,140
4,294,1317,3,NO,-,4,WK 37,80
4,294,1663,1,YES,HIRE,4,WK 37,140
4,294,1795,3,NO,-,3,WK 37,80
4,294,2440,2,YES,HIRE,4,WK 37,120
4,294,4334,2,YES,MOVE EXISTING,4,WK 37,120
4,294,4428,3,NO,-,3,WK 37,80
4,310,1155,1,YES,MOVE EXISTING,4,WK 37,140
4,310,1238,2,YES,MOVE EXISTING,4,WK 37,120
4,310,1261,2,YES,MOVE EXISTING,4,WK 37,120
4,310,1312,3,NO,-,4,WK 37,80
4,310,1774,2,YES,MOVE EXISTING,4,WK 37,120
4,310,2929,2,YES,MOVE EXISTING,4,WK 37,120
4,310,3595,2,YES,MOVE EXISTING,4,WK 37,120
4,310,5489,3,NO,-,4,WK 37,80
4,310,5787,3,NO,-,4,WK 37,80
4,310,6879,2,YES,MOVE EXISTING,4,WK 37,120
4,310,6958,2,YES,MOVE EXISTING,4,WK 37,120
16,154,1967,1,YES,MOVE EXISTING,4,WK 37,140
16,154,1984,3,NO,-,4,WK 37,80
16,154,2174,1,YES,MOVE EXISTING,4,WK 37,140
16,154,2228,2,YES,MOVE EXISTING,4,WK 37,120
16,154,2289,3,NO,-,4,WK 37,80
16,154,2386,2,YES,HIRE,4,WK 37,120
16,154,2683,3,NO,-,3,WK 37,80
16,154,2797,3,NO,-,3,WK 37,80
16,154,2901,3,NO,-,3,WK 37,80
16,154,5278,1,YES,MOVE EXISTING,4,WK 37,140
16,156,1918,1,YES,HIRE,4,WK 37,140
16,156,2012,2,YES,HIRE,4,WK 37,120
16,156,2118,2,YES,HIRE,4,WK 37,120
16,156,2155,2,YES,HIRE,4,WK 37,120
16,156,2158,2,YES,HIRE,4,WK 37,120
16,156,2267,2,YES,HIRE,4,WK 37,120
16,156,2329,3,NO,-,3,WK 37,80
16,156,2629,2,YES,MOVE EXISTING,4,WK 37,120
16,156,2964,2,YES,HIRE,4,WK 37,120
16,156,3409,2,YES,HIRE,4,WK 37,120
16,156,4387,1,YES,MOVE EXISTING,4,WK 37,140
16,157,1762,1,YES,MOVE EXISTING,4,WK 37,140
16,157,2139,1,YES,HIRE,4,WK 37,140
16,157,2180,1,YES,MOVE EXISTING,4,WK 37,140
16,157,2222,1,YES,HIRE,4,WK 37,140
16,157,2640,2,YES,MOVE EXISTING,4,WK 37,120
16,157,2660,2,YES,HIRE,4,WK 37,120
16,157,2903,2,YES,HIRE,4,WK 37,120
16,157,3114,1,YES,HIRE,4,WK 37,140
16,157,3535,2,YES,HIRE,4,WK 37,120
16,159,1970,2,YES,MOVE EXISTING,4,WK 37,120
16,159,2103,1,YES,MOVE EXISTING,4,WK 37,140
16,159,2122,2,YES,MOVE EXISTING,4,WK 37,120
16,159,2128,3,NO,-,3,WK 37,80
16,159,2227,2,YES,HIRE,4,WK 37,120
16,159,2336,2,YES,MOVE EXISTING,4,WK 37,120
16,159,2341,1,YES,HIRE,4,WK 37,140
16,159,2902,1,YES,MOVE EXISTING,4,WK 37,140
16,159,2904,2,YES,HIRE,4,WK 37,120
16,159,3200,2,YES,MOVE EXISTING,4,WK 37,120
16,160,1906,2,YES,MOVE EXISTING,4,WK 37,120
16,160,2021,1,YES,MOVE EXISTING,4,WK 37,140
16,160,2095,2,YES,HIRE,4,WK 37,120
16,160,2157,2,YES,HIRE,4,WK 37,120
16,160,2184,2,YES,MOVE EXISTING,4,WK 37,120
16,160,2366,1,YES,MOVE EXISTING,4,WK 37,140
16,160,2953,2,YES,HIRE,4,WK 37,120
16,160,3560,1,YES,HIRE,4,WK 37,140
16,160,3561,2,YES,MOVE EXISTING,4,WK 37,120
16,160,5448,2,YES,HIRE,4,WK 37,120
16,179,1797,3,NO,-,4,WK 37,80
16,179,1856,1,YES,MOVE EXISTING,4,WK 37,140
16,179,1919,3,NO,-,3,WK 37,80
16,179,1924,2,YES,MOVE EXISTING,4,WK 37,120
16,179,1932,2,YES,MOVE EXISTING,4,WK 37,120
16,179,1974,3,NO,-,3,WK 37,80
16,179,2013,2,YES,HIRE,4,WK 37,120
16,179,2047,2,YES,HIRE,4,WK 37,120
16,179,2143,3,NO,-,4,WK 37,80
16,179,2178,3,NO,-,3,WK 37,80
16,179,5076,2,YES,MOVE EXISTING,4,WK 37,120
16,180,1866,3,NO,-,4,WK 37,80
16,180,1868,1,YES,MOVE EXISTING,4,WK 37,140
16,180,1939,2,YES,MOVE EXISTING,4,WK 37,120
16,180,2046,2,YES,MOVE EXISTING,4,WK 37,120
16,180,2140,2,YES,MOVE EXISTING,4,WK 37,120
16,180,2183,3,NO,-,4,WK 37,80
16,180,2202,2,YES,MOVE EXISTING,4,WK 37,120
16,180,2634,3,NO,-,3,WK 37,80
16,180,2681,3,NO,-,3,WK 37,80
16,180,3269,3,NO,-,3,WK 37,80
16,181,1975,2,YES,HIRE,4,WK 37,120
16,181,2138,2,YES,MOVE EXISTING,4,WK 37,120
16,181,2224,2,YES,MOVE EXISTING,4,WK 37,120
16,181,2332,2,YES,HIRE,4,WK 37,120
16,181,2369,2,YES,HIRE,4,WK 37,120
16,181,2530,2,YES,HIRE,4,WK 37,120
16,181,2639,3,NO,-,3,WK 37,80
16,181,2682,3,NO,-,3,WK 37,80
16,181,2758,3,NO,-,3,WK 37,80
16,181,4156,3,NO,-,3,WK 37,80
16,181,4389,3,NO,-,3,WK 37,80
16,183,1698,2,YES,HIRE,4,WK 37,120
16,183,1749,2,YES,MOVE EXISTING,4,WK 37,120
16,183,1788,1,YES,MOVE EXISTING,4,WK 37,140
16,183,1954,2,YES,HIRE,4,WK 37,120
16,183,2055,1,YES,HIRE,4,WK 37,140
16,183,2130,3,NO,-,3,WK 37,80
16,183,2153,2,YES,HIRE,4,WK 37,120
16,183,2330,1,YES,MOVE EXISTING,4,WK 37,140
16,183,2398,3,NO,-,3,WK 37,80
16,183,2659,3,NO,-,3,WK 37,80
16,184,1753,2,YES,HIRE,4,WK 37,120
16,184,1785,1,YES,MOVE EXISTING,4,WK 37,140
16,184,1796,1,YES,MOVE EXISTING,4,WK 37,140
16,184,1907,3,NO,-,4,WK 37,80
16,184,1930,2,YES,MOVE EXISTING,4,WK 37,120
16,184,2057,3,NO,-,3,WK 37,80
16,184,2142,1,YES,MOVE EXISTING,4,WK 37,140
16,184,2399,2,YES,MOVE EXISTING,4,WK 37,120
16,184,3491,1,YES,HIRE,4,WK 37,140
16,184,3549,2,YES,HIRE,4,WK 37,120
16,188,1940,2,YES,HIRE,4,WK 37,120
16,188,1997,2,YES,MOVE EXISTING,4,WK 37,120
16,188,2056,2,YES,HIRE,4,WK 37,120
16,188,2097,3,NO,-,4,WK 37,80
16,188,2152,2,YES,MOVE EXISTING,4,WK 37,120
16,188,2351,2,YES,HIRE,4,WK 37,120
16,188,2370,2,YES,MOVE EXISTING,4,WK 37,120
16,188,2504,2,YES,HIRE,4,WK 37,120
16,188,2844,1,YES,MOVE EXISTING,4,WK 37,140
16,188,3583,2,YES,MOVE EXISTING,4,WK 37,120
17,161,1873,2,YES,MOVE EXISTING,4,WK 37,120
17,161,1964,3,NO,-,4,WK 37,80
17,161,2225,2,YES,MOVE EXISTING,4,WK 37,120
17,161,2261,3,NO,-,4,WK 37,80
17,161,2283,1,YES,MOVE EXISTING,4,WK 37,140
17,161,2373,2,YES,HIRE,4,WK 37,120
17,161,2747,2,YES,HIRE,4,WK 37,120
17,161,2885,3,NO,-,3,WK 37,80
17,161,3301,1,YES,HIRE,4,WK 37,140
17,162,1891,1,YES,MOVE EXISTING,4,WK 37,140
17,162,1980,2,YES,HIRE,4,WK 37,120
17,162,2022,2,YES,HIRE,4,WK 37,120
17,162,2170,2,YES,HIRE,4,WK 37,120
17,162,2200,2,YES,HIRE,4,WK 37,120
17,162,2282,1,YES,MOVE EXISTING,4,WK 37,140
17,162,2331,2,YES,MOVE EXISTING,4,WK 37,120
17,162,2854,2,YES,HIRE,4,WK 37,120
17,162,2898,3,NO,-,3,WK 37,80
17,162,5777,3,NO,-,4,WK 37,80
17,163,2144,2,YES,MOVE EXISTING,4,WK 37,120
17,163,2299,2,YES,HIRE,4,WK 37,120
17,163,2371,1,YES,MOVE EXISTING,4,WK 37,140
17,163,2719,1,YES,HIRE,4,WK 37,140
17,163,2897,2,YES,HIRE,4,WK 37,120
17,163,2899,3,NO,-,3,WK 37,80
17,163,2900,2,YES,HIRE,4,WK 37,120
17,163,2965,1,YES,HIRE,4,WK 37,140
17,163,3548,1,YES,MOVE EXISTING,4,WK 37,140
17,163,5095,1,YES,MOVE EXISTING,4,WK 37,140
17,164,1810,1,YES,MOVE EXISTING,4,WK 37,140
17,164,1959,1,YES,MOVE EXISTING,4,WK 37,140
17,164,2064,1,YES,HIRE,4,WK 37,140
17,164,2104,1,YES,MOVE EXISTING,4,WK 37,140
17,164,2531,1,YES,MOVE EXISTING,4,WK 37,140
17,164,2547,1,YES,HIRE,4,WK 37,140
17,164,2637,1,YES,MOVE EXISTING,4,WK 37,140
17,164,2905,1,YES,MOVE EXISTING,4,WK 37,140
17,164,4570,3,NO,-,3,WK 37,80
17,171,2156,2,YES,MOVE EXISTING,4,WK 37,120
17,171,2286,1,YES,MOVE EXISTING,4,WK 37,140
17,171,2906,1,YES,MOVE EXISTING,4,WK 37,140
17,171,2915,2,YES,HIRE,4,WK 37,120
17,171,2917,1,YES,MOVE EXISTING,4,WK 37,140
17,171,5202,1,YES,MOVE EXISTING,4,WK 37,140
17,171,8331,1,YES,MOVE EXISTING,4,WK 37,140
17,172,2583,1,YES,HIRE,4,WK 37,140
17,172,2916,1,YES,HIRE,4,WK 37,140
17,172,3420,1,YES,MOVE EXISTING,4,WK 37,140
17,172,5293,1,YES,MOVE EXISTING,4,WK 37,140
17,172,5295,1,YES,MOVE EXISTING,4,WK 37,140
17,173,2163,1,YES,HIRE,4,WK 37,140
17,173,2232,2,YES,MOVE EXISTING,4,WK 37,120
17,173,2284,2,YES,MOVE EXISTING,4,WK 37,120
17,173,2585,1,YES,HIRE,4,WK 37,140
17,173,2954,1,YES,MOVE EXISTING,4,WK 37,140
17,173,3543,1,YES,MOVE EXISTING,4,WK 37,140
17,173,3545,2,YES,HIRE,4,WK 37,120
17,173,3546,2,YES,HIRE,4,WK 37,120
17,173,3803,2,YES,MOVE EXISTING,4,WK 37,120
17,173,5294,2,YES,MOVE EXISTING,4,WK 37,120
17,173,5439,2,YES,MOVE EXISTING,4,WK 37,120
17,174,2003,1,YES,MOVE EXISTING,4,WK 37,140
17,174,2090,2,YES,MOVE EXISTING,4,WK 37,120
17,174,2294,3,NO,-,4,WK 37,80
17,174,2365,1,YES,MOVE EXISTING,4,WK 37,140
17,174,2368,1,YES,MOVE EXISTING,4,WK 37,140
17,174,2497,2,YES,HIRE,4,WK 37,120
17,174,2503,3,NO,-,4,WK 37,80
17,174,2582,3,NO,-,3,WK 37,80
17,174,2604,2,YES,MOVE EXISTING,4,WK 37,120
17,174,3291,2,YES,HIRE,4,WK 37,120
