Store,Market,Store Type,Prep By Location,InHome Prep and Loading ,,
1,323,SUP,5/9/2023,Not Applicable,,
2,322,SUP,5/9/2023,Not Applicable,,
3,21,SUP,5/11/2023,Not Applicable,,
4,323,SUP,5/9/2023,Not Applicable,,
5,326,SUP,5/9/2023,Not Applicable,,
7,326,SUP,5/9/2023,Not Applicable,,
8,326,SUP,5/9/2023,Not Applicable,,
9,335,SUP,5/9/2023,Not Applicable,,
10,347,SUP,5/9/2023,Not Applicable,,
11,328,SUP,5/9/2023,Not Applicable,,
12,347,SUP,5/9/2023,Not Applicable,,
13,334,SUP,5/9/2023,Not Applicable,,
14,357,SUP,5/9/2023,Not Applicable,,
15,333,SUP,5/9/2023,Not Applicable,,
16,321,SUP,5/9/2023,Not Applicable,,
17,334,SUP,5/9/2023,Not Applicable,,
18,328,SUP,5/9/2023,Not Applicable,,
19,335,SUP,5/9/2023,Not Applicable,,
20,357,SUP,5/9/2023,Not Applicable,,
21,336,SUP,5/9/2023,Not Applicable,,
22,347,SUP,5/9/2023,Not Applicable,,
23,135,SUP,5/9/2023,Not Applicable,,
24,326,SUP,5/9/2023,Not Applicable,,
25,359,SUP,5/9/2023,Not Applicable,,
26,411,SUP,5/9/2023,Not Applicable,,
27,357,SUP,5/9/2023,Not Applicable,,
28,347,SUP,5/9/2023,Not Applicable,,
29,359,SUP,5/9/2023,Not Applicable,,
30,335,SUP,5/9/2023,Not Applicable,,
31,351,SUP,5/9/2023,Not Applicable,,
32,333,W/M,5/9/2023,Not Applicable,,
33,325,SUP,5/9/2023,Not Applicable,,
34,334,SUP,5/9/2023,Not Applicable,,
35,407,SUP,5/9/2023,Not Applicable,,
36,329,SUP,5/9/2023,Not Applicable,,
37,335,SUP,5/9/2023,Not Applicable,,
38,47,SUP,5/9/2023,Not Applicable,,
39,410,SUP,5/9/2023,Not Applicable,,
40,359,SUP,5/9/2023,Not Applicable,,
41,345,SUP,5/9/2023,Not Applicable,,
42,410,SUP,5/9/2023,Not Applicable,,
43,407,SUP,5/9/2023,Not Applicable,,
44,336,W/M,5/9/2023,Not Applicable,,
45,329,SUP,5/9/2023,Not Applicable,,
46,357,SUP,5/9/2023,Not Applicable,,
47,351,SUP,5/9/2023,Not Applicable,,
48,334,SUP,5/9/2023,Not Applicable,,
49,47,SUP,5/9/2023,Not Applicable,,
50,347,SUP,5/9/2023,Not Applicable,,
51,339,SUP,5/9/2023,Not Applicable,,
52,325,SUP,5/9/2023,Not Applicable,,
54,322,SUP,5/9/2023,5/9/2023,,
55,321,SUP,5/9/2023,Not Applicable,,
56,333,SUP,5/9/2023,Not Applicable,,
57,328,W/M,5/9/2023,Not Applicable,,
58,325,SUP,5/9/2023,Not Applicable,,
59,334,SUP,5/9/2023,Not Applicable,,
60,339,SUP,5/9/2023,Not Applicable,,
61,361,SUP,5/9/2023,Not Applicable,,
62,329,SUP,5/9/2023,Not Applicable,,
63,347,SUP,5/9/2023,Not Applicable,,
64,146,SUP,5/9/2023,Not Applicable,,
