Market Number,Store Number,Item Description,Over Shipped Qty
154,1984,WAL VEST PETE 2XL WMN BLU,169
160,2021,WAL VEST PETE XS WMN BLU,83
160,2021,WAL VEST PETE XL WMN BLU,85
160,2021,WAL VEST PETE 2XL WMN BLU,84
453,2048,WAL VEST PETE XS WMN BLU,53
469,2070,WAL VEST PETE 2XL WMN BLU,40
111,2081,WAL VEST PETE 2XL WMN BLU,150
465,2110,WAL VEST PETE XS WMN BLU,8
465,2110,WAL VEST PETE XS WMN BLU,35
465,2110,WAL VEST PETE XL WMN BLU,42
465,2110,WAL VEST PETE 2XL WMN BLU,12
465,2110,WAL VEST PETE 2XL WMN BLU,32
156,2155,WAL VEST PETE XL WMN BLU,15
156,2155,WAL VEST PETE XL WMN BLU,75
178,2195,WAL VEST PETE XS WMN BLU,79
178,2195,WAL VEST PETE XL WMN BLU,122
178,2195,WAL VEST PETE 2XL WMN BLU,124
484,2251,WAL VEST PETE XS WMN BLU,46
484,2251,WAL VEST PETE XL WMN BLU,13
484,2251,WAL VEST PETE XL WMN BLU,34
484,2251,WAL VEST PETE 2XL WMN BLU,45
285,2272,WAL VEST PETE XS WMN BLU,21
285,2272,WAL VEST PETE XS WMN BLU,87
285,2272,WAL VEST PETE XL WMN BLU,1
285,2272,WAL VEST PETE XL WMN BLU,109
285,2272,WAL VEST PETE 2XL WMN BLU,24
285,2272,WAL VEST PETE 2XL WMN BLU,85
811,2302,WAL VEST PETE XS WMN BLU,54
196,2338,WAL VEST PETE 2XL WMN BLU,154
196,2417,WAL VEST PETE 2XL WMN BLU,183
285,2460,WAL VEST PETE XL WMN BLU,59
285,2460,WAL VEST PETE 2XL WMN BLU,60
285,2514,WAL VEST PETE 2XL WMN BLU,133
446,2526,WAL VEST PETE 2XL WMN BLU,1
446,2526,WAL VEST PETE 2XL WMN BLU,112
156,2629,WAL VEST PETE XS WMN BLU,118
156,2629,WAL VEST PETE XL WMN BLU,15
156,2629,WAL VEST PETE XL WMN BLU,102
231,2664,WAL VEST PETE 2XL WMN BLU,162
380,2751,WAL VEST PETE XS WMN BLU,49
380,2751,WAL VEST PETE XL WMN BLU,50
380,2751,WAL VEST PETE 2XL WMN BLU,51
42,2806,WAL VEST PETE 2XL WMN BLU,157
159,2904,WAL VEST PETE 2XL WMN BLU,145
439,2986,WAL VEST PETE 2XL WMN BLU,114
83,3169,WAL VEST PETE 2XL WMN BLU,96
383,3259,WAL VEST PETE 2XL WMN BLU,34
383,3259,WAL VEST PETE 2XL WMN BLU,129
352,3430,WAL VEST PETE 2XL WMN BLU,147
470,3478,WAL VEST PETE XS WMN BLU,48
441,3505,WAL VEST PETE XS WMN BLU,61
455,3587,WAL VEST PETE XS WMN BLU,101
455,3587,WAL VEST PETE 2XL WMN BLU,102
462,3796,WAL VEST PETE 2XL WMN BLU,13
462,3796,WAL VEST PETE 2XL WMN BLU,157
496,3899,WAL VEST PETE 2XL WMN BLU,30
77,4103,WAL VEST PETE XL WMN BLU,33
77,4103,WAL VEST PETE 2XL WMN BLU,34
237,4348,WAL VEST PETE 2XL WMN BLU,130
67,4538,WAL VEST PETE XS WMN BLU,73
67,4538,WAL VEST PETE XL WMN BLU,72
67,4538,WAL VEST PETE 2XL WMN BLU,74
570,4676,WAL VEST PETE XL WMN BLU,65
570,4676,WAL VEST PETE 2XL WMN BLU,66
125,5022,WAL VEST PETE XS WMN BLU,91
214,5082,WAL VEST PETE XL WMN BLU,15
214,5082,WAL VEST PETE XL WMN BLU,91
214,5082,WAL VEST PETE 2XL WMN BLU,107
93,5326,WAL VEST PETE XS WMN BLU,56
93,5326,WAL VEST PETE XL WMN BLU,58
93,5326,WAL VEST PETE 2XL WMN BLU,57
187,5497,WAL VEST PETE 2XL WMN BLU,178
465,5807,WAL VEST PETE XL WMN BLU,22
465,5807,WAL VEST PETE 2XL WMN BLU,23
56,6300,WAL VEST PETE XL WMN BLU,35
56,6300,WAL VEST PETE 2XL WMN BLU,36
287,7032,WAL VEST PETE XS WMN BLU,28
287,7032,WAL VEST PETE XL WMN BLU,27
287,7032,WAL VEST PETE 2XL WMN BLU,29
56,7178,WAL VEST PETE XS WMN BLU,38
56,7178,WAL VEST PETE XL WMN BLU,39
56,7178,WAL VEST PETE 2XL WMN BLU,37
545,8861,WAL VEST PETE XS WMN BLU,31
545,8861,WAL VEST PETE XL WMN BLU,32
