Market,Store Number,Release Date
334,79,6/24/2025
50,266,6/24/2025
53,426,6/24/2025
583,1055,6/24/2025
184,1753,6/24/2025
56,2086,6/24/2025
184,2142,6/24/2025
53,2427,6/24/2025
56,2463,6/24/2025
534,2686,6/24/2025
151,2757,6/24/2025
56,2883,6/24/2025
504,2974,6/24/2025
534,3164,6/24/2025
504,3198,6/24/2025
65,3226,6/24/2025
44,3284,6/24/2025
51,3406,6/24/2025
51,3482,6/24/2025
292,3639,6/24/2025
323,4108,6/24/2025
504,4182,6/24/2025
561,5021,6/24/2025
44,5147,6/24/2025
55,5191,6/24/2025
323,5261,6/24/2025
176,5447,6/24/2025
51,5673,6/24/2025
583,5823,6/24/2025
283,5936,6/24/2025
67,6930,6/24/2025
52,6963,6/24/2025
452,1554,6/26/2025
463,1555,6/26/2025
448,1563,6/26/2025
447,1574,6/26/2025
457,1575,6/26/2025
449,1583,6/26/2025
450,1587,6/26/2025
445,1588,6/26/2025
447,1600,6/26/2025
457,1608,6/26/2025
452,1615,6/26/2025
392,1616,6/26/2025
447,1624,6/26/2025
468,1630,6/26/2025
581,1645,6/26/2025
452,1651,6/26/2025
448,1660,6/26/2025
445,1692,6/26/2025
445,1693,6/26/2025
454,1697,6/26/2025
459,1700,6/26/2025
453,1704,6/26/2025
461,1747,6/26/2025
452,1755,6/26/2025
462,1756,6/26/2025
455,1760,6/26/2025
468,1772,6/26/2025
478,1775,6/26/2025
477,1784,6/26/2025
454,1789,6/26/2025
477,1793,6/26/2025
463,1805,6/26/2025
449,1815,6/26/2025
475,1817,6/26/2025
581,1826,6/26/2025
463,1832,6/26/2025
468,1834,6/26/2025
450,1840,6/26/2025
477,1843,6/26/2025
461,1853,6/26/2025
463,1859,6/26/2025
462,1862,6/26/2025
475,1870,6/26/2025
476,1876,6/26/2025
581,1877,6/26/2025
445,1879,6/26/2025
468,1880,6/26/2025
453,1881,6/26/2025
581,1882,6/26/2025
475,1889,6/26/2025
461,1899,6/26/2025
457,1903,6/26/2025
468,1910,6/26/2025
461,1912,6/26/2025
445,1914,6/26/2025
463,1915,6/26/2025
459,1917,6/26/2025
477,1920,6/26/2025
462,1922,6/26/2025
478,1925,6/26/2025
462,1941,6/26/2025
473,1947,6/26/2025
399,1951,6/26/2025
450,1963,6/26/2025
511,1972,6/26/2025
457,1979,6/26/2025
450,1983,6/26/2025
455,1988,6/26/2025
447,1989,6/26/2025
462,1992,6/26/2025
449,2001,6/26/2025
451,2002,6/26/2025
475,2006,6/26/2025
473,2007,6/26/2025
473,2016,6/26/2025
511,2025,6/26/2025
461,2028,6/26/2025
450,2030,6/26/2025
511,2031,6/26/2025
446,2032,6/26/2025
472,2037,6/26/2025
450,2039,6/26/2025
457,2044,6/26/2025
453,2048,6/26/2025
457,2052,6/26/2025
457,2053,6/26/2025
454,2054,6/26/2025
468,2069,6/26/2025
469,2070,6/26/2025
469,2071,6/26/2025
469,2074,6/26/2025
478,2075,6/26/2025
460,2077,6/26/2025
464,2082,6/26/2025
460,2094,6/26/2025
447,2099,6/26/2025
475,2101,6/26/2025
465,2110,6/26/2025
451,2117,6/26/2025
511,2119,6/26/2025
472,2121,6/26/2025
470,2126,6/26/2025
458,2150,6/26/2025
511,2161,6/26/2025
459,2177,6/26/2025
463,2181,6/26/2025
473,2187,6/26/2025
469,2188,6/26/2025
453,2190,6/26/2025
472,2196,6/26/2025
466,2206,6/26/2025
466,2218,6/26/2025
481,2226,6/26/2025
475,2241,6/26/2025
464,2242,6/26/2025
478,2243,6/26/2025
460,2245,6/26/2025
467,2249,6/26/2025
484,2251,6/26/2025
458,2253,6/26/2025
473,2269,6/26/2025
449,2277,6/26/2025
451,2280,6/26/2025
462,2288,6/26/2025
458,2291,6/26/2025
484,2292,6/26/2025
448,2297,6/26/2025
470,2308,6/26/2025
470,2314,6/26/2025
478,2315,6/26/2025
472,2317,6/26/2025
471,2319,6/26/2025
468,2320,6/26/2025
470,2321,6/26/2025
472,2325,6/26/2025
445,2333,6/26/2025
514,2385,6/26/2025
484,2401,6/26/2025
514,2403,6/26/2025
455,2418,6/26/2025
476,2422,6/26/2025
471,2450,6/26/2025
454,2457,6/26/2025
451,2458,6/26/2025
454,2464,6/26/2025
552,2468,6/26/2025
467,2469,6/26/2025
470,2473,6/26/2025
475,2476,6/26/2025
468,2477,6/26/2025
459,2479,6/26/2025
512,2486,6/26/2025
515,2487,6/26/2025
475,2492,6/26/2025
460,2494,6/26/2025
466,2495,6/26/2025
447,2507,6/26/2025
514,2516,6/26/2025
466,2517,6/26/2025
464,2523,6/26/2025
446,2526,6/26/2025
460,2527,6/26/2025
581,2536,6/26/2025
457,2537,6/26/2025
478,2538,6/26/2025
474,2539,6/26/2025
464,2546,6/26/2025
474,2549,6/26/2025
476,2550,6/26/2025
457,2553,6/26/2025
447,2556,6/26/2025
447,2557,6/26/2025
446,2568,6/26/2025
514,2571,6/26/2025
550,2590,6/26/2025
471,2594,6/26/2025
471,2595,6/26/2025
471,2596,6/26/2025
453,2598,6/26/2025
465,2609,6/26/2025
446,2621,6/26/2025
466,2636,6/26/2025
511,2648,6/26/2025
512,2689,6/26/2025
452,2697,6/26/2025
460,2708,6/26/2025
469,2710,6/26/2025
469,2711,6/26/2025
469,2722,6/26/2025
454,2735,6/26/2025
515,2826,6/26/2025
461,2842,6/26/2025
474,2865,6/26/2025
484,2886,6/26/2025
452,2925,6/26/2025
476,2927,6/26/2025
476,2947,6/26/2025
484,2948,6/26/2025
448,2950,6/26/2025
448,2951,6/26/2025
460,2952,6/26/2025
449,2985,6/26/2025
511,2989,6/26/2025
515,2998,6/26/2025
552,3022,6/26/2025
512,3023,6/26/2025
515,3026,6/26/2025
512,3046,6/26/2025
512,3047,6/26/2025
550,3050,6/26/2025
471,3053,6/26/2025
454,3081,6/26/2025
551,3084,6/26/2025
446,3087,6/26/2025
552,3090,6/26/2025
550,3098,6/26/2025
551,3099,6/26/2025
551,3101,6/26/2025
512,3123,6/26/2025
515,3131,6/26/2025
515,3132,6/26/2025
515,3133,6/26/2025
481,3138,6/26/2025
481,3139,6/26/2025
481,3140,6/26/2025
481,3141,6/26/2025
550,3144,6/26/2025
550,3145,6/26/2025
550,3146,6/26/2025
481,3147,6/26/2025
550,3178,6/26/2025
481,3179,6/26/2025
446,3180,6/26/2025
473,3217,6/26/2025
467,3218,6/26/2025
478,3239,6/26/2025
464,3248,6/26/2025
478,3258,6/26/2025
473,3260,6/26/2025
475,3261,6/26/2025
445,3276,6/26/2025
470,3290,6/26/2025
452,3352,6/26/2025
475,3380,6/26/2025
462,3464,6/26/2025
465,3477,6/26/2025
470,3478,6/26/2025
452,3493,6/26/2025
459,3494,6/26/2025
458,3516,6/26/2025
484,3522,6/26/2025
448,3523,6/26/2025
514,3525,6/26/2025
467,3531,6/26/2025
467,3537,6/26/2025
455,3587,6/26/2025
446,3650,6/26/2025
453,3652,6/26/2025
467,3705,6/26/2025
453,3708,6/26/2025
455,3712,6/26/2025
476,3742,6/26/2025
473,3754,6/26/2025
471,3757,6/26/2025
514,3794,6/26/2025
462,3796,6/26/2025
471,3801,6/26/2025
467,3850,6/26/2025
470,3883,6/26/2025
458,3947,6/26/2025
465,4101,6/26/2025
552,4127,6/26/2025
465,4132,6/26/2025
551,4134,6/26/2025
467,4137,6/26/2025
551,4169,6/26/2025
466,4171,6/26/2025
512,4174,6/26/2025
477,4176,6/26/2025
550,4178,6/26/2025
455,4202,6/26/2025
477,4221,6/26/2025
449,4238,6/26/2025
455,4309,6/26/2025
447,4317,6/26/2025
445,4340,6/26/2025
469,4359,6/26/2025
445,4392,6/26/2025
453,4393,6/26/2025
474,4394,6/26/2025
469,4474,6/26/2025
451,4488,6/26/2025
550,4757,6/26/2025
552,4759,6/26/2025
515,4762,6/26/2025
552,5007,6/26/2025
551,5008,6/26/2025
458,5023,6/26/2025
464,5032,6/26/2025
514,5041,6/26/2025
465,5072,6/26/2025
514,5073,6/26/2025
460,5075,6/26/2025
473,5078,6/26/2025
463,5096,6/26/2025
457,5133,6/26/2025
447,5134,6/26/2025
457,5136,6/26/2025
453,5139,6/26/2025
459,5140,6/26/2025
446,5152,6/26/2025
484,5154,6/26/2025
463,5156,6/26/2025
448,5162,6/26/2025
455,5192,6/26/2025
461,5193,6/26/2025
581,5215,6/26/2025
454,5231,6/26/2025
472,5272,6/26/2025
472,5273,6/26/2025
470,5274,6/26/2025
458,5305,6/26/2025
463,5335,6/26/2025
449,5337,6/26/2025
459,5338,6/26/2025
477,5368,6/26/2025
581,5394,6/26/2025
478,5396,6/26/2025
468,5424,6/26/2025
461,5425,6/26/2025
511,5434,6/26/2025
451,5435,6/26/2025
477,5440,6/26/2025
476,5461,6/26/2025
476,5462,6/26/2025
515,5600,6/26/2025
551,5601,6/26/2025
481,5602,6/26/2025
551,5603,6/26/2025
481,5604,6/26/2025
481,5605,6/26/2025
552,5606,6/26/2025
552,5608,6/26/2025
552,5609,6/26/2025
512,5610,6/26/2025
512,5611,6/26/2025
550,5627,6/26/2025
471,5628,6/26/2025
468,5629,6/26/2025
449,5632,6/26/2025
512,5633,6/26/2025
512,5634,6/26/2025
512,5635,6/26/2025
551,5637,6/26/2025
551,5640,6/26/2025
464,5641,6/26/2025
481,5643,6/26/2025
466,5644,6/26/2025
481,5658,6/26/2025
481,5659,6/26/2025
551,5661,6/26/2025
515,5663,6/26/2025
481,5664,6/26/2025
550,5678,6/26/2025
552,5683,6/26/2025
551,5684,6/26/2025
448,5686,6/26/2025
515,5689,6/26/2025
515,5691,6/26/2025
449,5701,6/26/2025
450,5710,6/26/2025
451,5751,6/26/2025
451,5766,6/26/2025
465,5807,6/26/2025
468,5839,6/26/2025
450,5843,6/26/2025
454,5848,6/26/2025
467,5853,6/26/2025
581,5859,6/26/2025
472,5861,6/26/2025
465,5874,6/26/2025
474,5883,6/26/2025
451,5884,6/26/2025
459,5886,6/26/2025
450,5890,6/26/2025
476,5929,6/26/2025
464,5930,6/26/2025
477,5935,6/26/2025
458,5938,6/26/2025
581,5956,6/26/2025
552,5979,6/26/2025
552,5981,6/26/2025
552,5982,6/26/2025
550,5993,6/26/2025
550,5994,6/26/2025
459,5996,6/26/2025
515,8958,6/26/2025
323,1,7/7/2025
322,2,7/7/2025
323,4,7/7/2025
326,5,7/7/2025
326,7,7/7/2025
326,8,7/7/2025
335,9,7/7/2025
347,10,7/7/2025
328,11,7/7/2025
347,12,7/7/2025
334,13,7/7/2025
357,14,7/7/2025
333,15,7/7/2025
321,16,7/7/2025
334,17,7/7/2025
328,18,7/7/2025
335,19,7/7/2025
361,20,7/7/2025
336,21,7/7/2025
347,22,7/7/2025
135,23,7/7/2025
326,24,7/7/2025
359,25,7/7/2025
411,26,7/7/2025
357,27,7/7/2025
347,28,7/7/2025
336,29,7/7/2025
335,30,7/7/2025
351,31,7/7/2025
333,32,7/7/2025
325,33,7/7/2025
334,34,7/7/2025
407,35,7/7/2025
329,36,7/7/2025
335,37,7/7/2025
47,38,7/7/2025
410,39,7/7/2025
359,40,7/7/2025
345,41,7/7/2025
410,42,7/7/2025
407,43,7/7/2025
336,44,7/7/2025
329,45,7/7/2025
357,46,7/7/2025
351,47,7/7/2025
334,48,7/7/2025
47,49,7/7/2025
347,50,7/7/2025
359,51,7/7/2025
325,52,7/7/2025
322,54,7/7/2025
321,55,7/7/2025
333,56,7/7/2025
328,57,7/7/2025
325,58,7/7/2025
334,59,7/7/2025
339,60,7/7/2025
361,61,7/7/2025
329,62,7/7/2025
