Store,Dept.,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,2,500 ct Qtip Swabs,Full EC,1,15,
1,7,#10 PROMO PLAYBALL,Half Stack,2,15,
1,7,#15 PLAYBALL,Full Stack,1,15,
1,13,Palmolive AntiBac 8oz,Half EC,1,15,
1,22,MS Every Day Pillow,Full Stack,1,15,
1,40,22PCEQ CETZNE 10MG,4-way,1,15,
1,40,Afrin 14pc No Drip,SDK,1,15,
1,40,Aleve X PW 18PC,SDK,2,15,
1,40,Claritin Adult 14pc,Full EC,1,15,
1,40,Claritin Pediatrics 9pc,SDK,1,15,
1,40,Vitafusion,4-way,1,15,
1,71,MS 4FT CF TABLE BLK,Full Stack,1,15,
1,79,Baby Bath Rubber Ducks Q2,SDK,1,15,
1,92,BUSH BAKED BEANS,SDK,2,15,
1,95,Capri Sun 10pk 96cs,Full Stack,1,15,
2,23,NCAA Beach Essentials,Full Stack,1,15,Cancel - supplier constraints
2,40,22PCEQ CETZNE 10MG,4-way,1,15,
3,2,500 ct Qtip Swabs,Full EC,1,15,
3,9,Coleman 2pk Propane,Full Stack,1,15,
3,9,Neon Volleyball,Full Stack,1,15,
3,9,Repel Insect Repellent,Full EC,1,15,
3,10,RAIN-X BUG REMOVER,Full Stack,1,15,
3,13,Dawn Platinum 7oz,Half EC,1,15,
3,16,AM BLUE GRILL,Full Stack,1,15,
3,16,AM GRILL RED,Full Stack,2,15,
3,40,22PCEQ CETZNE 10MG,4-way,2,15,
3,40,24pc. EQ Omeprazole with Berry,Full EC,1,15,
3,40,40PC PEPTO,SDK,1,15,
3,40,Afrin 14pc No Drip,SDK,1,15,
3,40,Claritin Adult 14pc,Full EC,2,15,
3,40,Claritin Pediatrics 9pc,SDK,1,15,
3,40,Coricidin HBP 18pc Max Strength,SDK,2,15,
3,40,Vitafusion,4-way,1,15,
3,92,BUSH BAKED BEANS,SDK,2,15,
3,95,28 OZ UTZ CHEESEBALL BARREL,Full Stack,1,15,
3,95,Minute Maid 6oz 8pk Asst,Full EC,1,15,
4,2,500 ct Qtip Swabs,Full EC,1,15,
4,9,Berkley PowerBait Trout Dough,Half Stack,1,15,
4,9,Berkley PowerBait Trout Eggs,Half Stack,1,15,
4,9,Frabill Flow Troll Minnow Bucket,Full Stack,1,15,
4,9,Lew's Cat Daddy Spin Combo,Half EC,2,15,
4,9,Lew's Ultralight Spinning Fishing Combo,Half EC,2,15,
4,9,OT EMERGENCY Poncho Dump Bin,Quarter Stack,2,15,
4,9,Realtree Fishing Train Asst,Half Stack,1,15,
4,9,SD Jon Boat,Eaches,2,15,
4,9,SD SCOUT 14ft Canoe,Eaches,2,15,
4,9,Strom Prep Lighting,Half Stack,1,15,
4,16,AM GRILL RED,Full Stack,2,15,
4,16,TALAVERA POTTERY,Full Stack,1,15,
4,23,NCAA Sun Shelter,Full EC,1,15,
4,40,22PCEQ CETZNE 10MG,4-way,1,15,
4,40,Afrin 14pc No Drip,SDK,1,15,
4,40,Alka-Seltzer Plus 16pc FIZZ,Full EC,1,15,
4,40,Claritin Adult 14pc,Full EC,1,15,
4,72,ONN.10OZ SINGLE,Half EC,1,15,
4,92,MT OLIVE LARGE DILL,SDK,2,15,
4,95,Minute Maid 6oz 8pk Asst,Full EC,1,15,
5,7,#10 PROMO PLAYBALL,Half Stack,2,15,
5,9,Water Pad,Full Stack,4,15,
5,16,Rain Bird Spike Gear Drive Sprinkler,Full EC,2,15,
5,16,Rain Bird Watering Kit,Full EC,2,15,
5,22,MS Every Day Pillow,Full Stack,1,15,
5,40,22PCEQ CETZNE 10MG,4-way,2,15,
5,40,24pc. EQ Omeprazole with Berry,Full EC,1,15,
5,40,8PC8ZANTAC,Full EC,1,15,
5,40,Afrin 14pc No Drip,SDK,2,15,
