Club Number,FDD Current,FDD Oct_7_2025,FDD FY27_Q1,MP Current,MP Oct_7_2025,MP FY_27
4801,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
4804,20:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4818,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
4820,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
4828,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
4852,17:00-21:00,17:00-21:00,17:00-21:00,07:00-11:00,17:00-21:00,17:00-21:00
4857,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
4861,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4879,20:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4972,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4989,20:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4991,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
4998,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6189,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6204,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6212,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6217,20:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6218,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6335,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6341,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6363,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6364,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6387,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6401,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6403,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6420,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6441,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6445,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6448,18:00-22:00,18:00-22:00,18:00-22:00,07:00-11:00,18:00-22:00,18:00-22:00
6506,20:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6520,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6582,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6637,16:00-20:00,16:00-20:00,16:00-20:00,07:00-09:00,07:00-09:00,16:00-20:00
7191,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
7658,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
8106,20:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8115,20:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8116,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
8120,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
8130,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8138,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
8141,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
8150,17:00-21:00,17:00-21:00,17:00-21:00,07:00-11:00,07:00-11:00,17:00-21:00
8155,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
8157,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
8173,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
8192,20:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8201,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8202,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
8213,20:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8225,20:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8252,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
8253,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
8287,20:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8290,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
