Location ID,Driver ID,Region,Driver Schedule,Depart Time
6829,9449,1,Regular Full Time                       ,16:30:00
6829,2622,1,Set Run Driver                          ,16:30:00
6829,7246,1,Set Run Driver                          ,16:30:00
6829,9663,1,Regular Full Time                       ,16:30:00
6829,41234,1,Regular Full Time                       ,16:30:00
6829,33153,1,Regular Full Time                       ,16:30:00
6829,33295,1,Regular Full Time                       ,16:30:00
6829,46890,1,Regular Full Time                       ,16:30:00
6829,20831,1,Regular Full Time                       ,16:30:00
6831,16341,1,6-3-,0:00:00
6831,20623,1,6-3-,0:00:00
6831,9406,1,6-3-,0:00:00
6831,6404,1,6-3-,0:00:00
6831,12780,1,6-3-,0:00:00
6831,12561,1,6-3-,0:00:00
6831,13550,1,6-3-,0:00:00
6831,13356,1,6-3-,0:00:00
6831,13025,1,6-3-,0:00:00
6831,32302,1,6-3-,0:00:00
6831,42584,1,6-3-,0:00:00
6831,49636,1,6-3-,0:00:00
6831,50330,1,6-3-,0:00:00
6831,28476,1,6-3-,0:00:00
6831,35091,1,6-3-,0:00:00
6831,37563,1,6-3-,0:00:00
6831,49619,1,6-3-,0:00:00
6831,50328,1,6-3-,0:00:00
6831,26804,1,6-3-,0:00:00
6831,48747,1,6-3-,0:00:00
6831,42332,1,6-3-,0:00:00
6831,49902,1,6-3-,0:00:00
6831,26414,1,6-3-,0:00:00
6831,37942,1,6-3-,0:00:00
6831,43499,1,6-3-,0:00:00
6831,49954,1,6-3-,0:00:00
6831,51411,1,6-3-,0:00:00
6831,32436,1,6-3-,0:00:00
6831,33231,1,6-3-,0:00:00
6831,33472,1,6-3-,0:00:00
6831,39097,1,6-3-,0:00:00
6831,45236,1,6-3-,0:00:00
6831,47637,1,6-3-,0:00:00
6831,49771,1,6-3-,0:00:00
6831,33975,1,6-3-,0:00:00
6831,50326,1,6-3-,0:00:00
6831,49976,1,6-3-,0:00:00
6831,37878,1,6-3-,0:00:00
6831,39794,1,6-3-,0:00:00
6831,43174,1,6-3-,0:00:00
6831,42474,1,6-3-,0:00:00
6831,42515,1,6-3-,0:00:00
6831,45561,1,6-3-,0:00:00
6831,48428,1,6-3-,0:00:00
6889,31452,1,Set Run Driver                          ,20:00:00
6889,28679,1,Set Run Driver                          ,20:00:00
6889,37612,1,Set Run Driver                          ,20:00:00
7821,39481,1,5 Day Driver                            ,17:30:00
7821,32389,1,5 Day Driver                            ,20:00:00
7833,13107,1,Set Run Driver                          ,2:00:00
7833,20602,1,Set Run Driver                          ,2:00:00
7833,2398,1,Set Run Driver                          ,2:00:00
7833,67388,1,5 Day Driver                            ,18:00:00
7833,36680,1,5 Day Driver                            ,18:00:00
7833,20995,1,5 Day Driver                            ,18:00:00
7833,39254,1,5 Day Driver                            ,18:00:00
7833,49609,1,5 Day Driver                            ,18:00:00
