Store,Market,Region,BU,City,State,2023 Tier
1,323,42,SOUTHEAST BU,ROGERS,AR,2
2,322,42,SOUTHEAST BU,HARRISON,AR,2
3,21,2,SOUTHEAST BU,COMMERCE,GA,2
4,323,42,SOUTHEAST BU,SILOAM SPRINGS,AR,2
5,326,42,SOUTHEAST BU,CONWAY,AR,2
7,326,42,SOUTHEAST BU,SHERWOOD,AR,2
8,326,42,SOUTHEAST BU,MORRILTON,AR,2
9,335,40, NORTH BU,SIKESTON,MO,2
10,347,44,SOUTHWEST BU,TAHLEQUAH,OK,2
11,328,42,SOUTHEAST BU,MOUNTAIN HOME,AR,2
12,347,44,SOUTHWEST BU,CLAREMORE,OK,2
13,334,42,SOUTHEAST BU,CARTHAGE,MO,2
14,357,40, NORTH BU,LEBANON,MO,2
15,333,40, NORTH BU,WEST PLAINS,MO,2
16,321,42,SOUTHEAST BU,VAN BUREN,AR,2
17,334,42,SOUTHEAST BU,NEOSHO,MO,2
18,328,42,SOUTHEAST BU,NEWPORT,AR,2
19,335,40, NORTH BU,POPLAR BLUFF,MO,2
20,361,40, NORTH BU,CLINTON,MO,2
21,336,40, NORTH BU,SAINT ROBERT,MO,2
22,347,44,SOUTHWEST BU,PRYOR,OK,2
23,135,42,SOUTHEAST BU,RUSTON,LA,2
24,326,42,SOUTHEAST BU,JACKSONVILLE,AR,2
25,359,40, NORTH BU,MEXICO,MO,2
26,411,47,WEST BU,LEAVENWORTH,KS,2
27,357,40, NORTH BU,SALEM,MO,2
28,347,44,SOUTHWEST BU,MIAMI,OK,2
29,336,40, NORTH BU,JEFFERSON CITY,MO,2
30,335,40, NORTH BU,DEXTER,MO,2
31,351,44,SOUTHWEST BU,POTEAU,OK,2
32,333,40, NORTH BU,BRANSON,MO,2
33,325,42,SOUTHEAST BU,NASHVILLE,AR,2
34,334,42,SOUTHEAST BU,NEVADA,MO,2
35,407,47,WEST BU,MANHATTAN,KS,2
36,329,11,SOUTHEAST BU,PARAGOULD,AR,2
37,335,40, NORTH BU,FARMINGTON,MO,2
38,47,44,SOUTHWEST BU,IDABEL,OK,2
39,410,44,SOUTHWEST BU,FORT SCOTT,KS,2
40,359,40, NORTH BU,MOBERLY,MO,2
41,345,44,SOUTHWEST BU,BARTLESVILLE,OK,2
42,410,44,SOUTHWEST BU,COFFEYVILLE,KS,2
43,407,47,WEST BU,JUNCTION CITY,KS,2
44,336,40, NORTH BU,ELDON,MO,2
45,329,11,SOUTHEAST BU,JONESBORO,AR,2
46,357,40, NORTH BU,BOLIVAR,MO,2
47,351,44,SOUTHWEST BU,SALLISAW,OK,2
48,334,42,SOUTHEAST BU,MONETT,MO,2
49,47,44,SOUTHWEST BU,HUGO,OK,2
50,347,44,SOUTHWEST BU,VINITA,OK,2
51,359,40, NORTH BU,FULTON,MO,2
52,325,42,SOUTHEAST BU,HOT SPRINGS,AR,2
54,322,42,SOUTHEAST BU,SPRINGDALE,AR,2
55,321,42,SOUTHEAST BU,BOONEVILLE,AR,2
56,333,40, NORTH BU,AVA,MO,2
57,328,42,SOUTHEAST BU,WALNUT RIDGE,AR,2
58,325,42,SOUTHEAST BU,RUSSELLVILLE,AR,2
59,334,42,SOUTHEAST BU,JOPLIN,MO,2
60,339,40, NORTH BU,TROY,MO,2
61,361,40, NORTH BU,WARRENSBURG,MO,2
62,329,11,SOUTHEAST BU,BLYTHEVILLE,AR,2
63,347,44,SOUTHWEST BU,WAGONER,OK,2
64,146,11,SOUTHEAST BU,BROWNSVILLE,TN,2
65,336,40, NORTH BU,SULLIVAN,MO,2
66,321,42,SOUTHEAST BU,CLARKSVILLE,AR,2
67,321,42,SOUTHEAST BU,MENA,AR,2
68,329,11,SOUTHEAST BU,WYNNE,AR,2
69,335,40, NORTH BU,FESTUS,MO,2
70,329,11,SOUTHEAST BU,WEST MEMPHIS,AR,2
71,328,42,SOUTHEAST BU,POCAHONTAS,AR,2
72,410,44,SOUTHWEST BU,PITTSBURG,KS,2
73,356,44,SOUTHWEST BU,SAPULPA,OK,2
74,329,11,SOUTHEAST BU,OSCEOLA,AR,2
75,134,13,SOUTHWEST BU,PINEVILLE,LA,2
76,322,42,SOUTHEAST BU,BERRYVILLE,AR,2
77,83,6,SOUTHWEST BU,TAYLOR,TX,2
78,357,40, NORTH BU,MARSHFIELD,MO,2
79,334,42,SOUTHEAST BU,JOPLIN,MO,2
80,359,40, NORTH BU,COLUMBIA,MO,2
81,347,44,SOUTHWEST BU,STILWELL,OK,2
82,335,40, NORTH BU,PERRYVILLE,MO,2
83,327,42,SOUTHEAST BU,MAGNOLIA,AR,2
85,324,42,SOUTHEAST BU,BENTON,AR,2
86,357,40, NORTH BU,SPRINGFIELD,MO,2
87,127,42,SOUTHEAST BU,MINDEN,LA,2
88,357,40, NORTH BU,MOUNTAIN GROVE,MO,2
89,336,40, NORTH BU,CAMDENTON,MO,2
90,347,44,SOUTHWEST BU,GROVE,OK,2
91,329,11,SOUTHEAST BU,FORREST CITY,AR,2
92,334,42,SOUTHEAST BU,AURORA,MO,2
93,145,11,SOUTHEAST BU,COVINGTON,TN,2
94,145,11,SOUTHEAST BU,MILLINGTON,TN,2
95,335,40, NORTH BU,DESLOGE,MO,2
96,361,40, NORTH BU,HARRISONVILLE,MO,2
97,146,11,SOUTHEAST BU,RIPLEY,TN,2
98,135,42,SOUTHEAST BU,BASTROP,LA,2
99,340,40, NORTH BU,UNION,MO,2
100,323,42,SOUTHEAST BU,BENTONVILLE,AR,2
101,336,40, NORTH BU,ROLLA,MO,2
102,327,42,SOUTHEAST BU,STUTTGART,AR,2
103,351,44,SOUTHWEST BU,SHAWNEE,OK,2
104,146,11,SOUTHEAST BU,MILAN,TN,2
105,4,11,SOUTHEAST BU,CORINTH,MS,2
106,146,11,SOUTHEAST BU,FULTON,KY,2
107,146,11,SOUTHEAST BU,MARTIN,TN,2
108,344,44,SOUTHWEST BU,GUTHRIE,OK,2
109,360,40, NORTH BU,CAMERON,MO,2
110,89,3,SOUTHEAST BU,WINTER GARDEN,FL,2
111,410,44,SOUTHWEST BU,CHANUTE,KS,2
112,138,11,SOUTHEAST BU,STARKVILLE,MS,2
113,349,44,SOUTHWEST BU,CHICKASHA,OK,2
114,4,11,SOUTHEAST BU,BOONEVILLE,MS,2
115,138,11,SOUTHEAST BU,WEST POINT,MS,2
116,127,42,SOUTHEAST BU,VIVIAN,LA,2
117,47,44,SOUTHWEST BU,BROKEN BOW,OK,2
118,4,11,SOUTHEAST BU,AMORY,MS,2
119,328,42,SOUTHEAST BU,BATESVILLE,AR,2
120,146,11,SOUTHEAST BU,HUMBOLDT,TN,2
121,351,44,SOUTHWEST BU,OKMULGEE,OK,2
122,335,40, NORTH BU,JACKSON,MO,2
123,351,44,SOUTHWEST BU,SEMINOLE,OK,2
124,324,42,SOUTHEAST BU,LITTLE ROCK,AR,2
125,321,42,SOUTHEAST BU,FORT SMITH,AR,2
126,324,42,SOUTHEAST BU,LITTLE ROCK,AR,2
127,325,42,SOUTHEAST BU,MALVERN,AR,2
128,329,11,SOUTHEAST BU,JONESBORO,AR,2
129,350,44,SOUTHWEST BU,ARDMORE,OK,2
130,347,44,SOUTHWEST BU,MUSKOGEE,OK,2
131,47,44,SOUTHWEST BU,MOUNT PLEASANT,TX,2
132,344,44,SOUTHWEST BU,KINGFISHER,OK,2
133,325,42,SOUTHEAST BU,ASHDOWN,AR,2
134,344,44,SOUTHWEST BU,ELK CITY,OK,2
135,360,40, NORTH BU,CHILLICOTHE,MO,2
136,345,44,SOUTHWEST BU,BLACKWELL,OK,2
137,352,44,SOUTHWEST BU,STILLWATER,OK,2
138,357,40, NORTH BU,SPRINGFIELD,MO,2
139,353,44,SOUTHWEST BU,PURCELL,OK,2
140,503,13,SOUTHWEST BU,LUFKIN,TX,2
141,321,42,SOUTHEAST BU,FORT SMITH,AR,2
143,253,41, NORTH BU,BENTON,KY,2
144,322,42,SOUTHEAST BU,FAYETTEVILLE,AR,2
145,339,40, NORTH BU,BOWLING GREEN,MO,2
146,46,13,SOUTHWEST BU,GILMER,TX,2
147,350,44,SOUTHWEST BU,DENISON,TX,2
148,47,44,SOUTHWEST BU,PARIS,TX,2
