Store Number,Tracking Number
2526,586797329936
3523,586797329947
5162,586797329958
2297,586797329969
2568,586797329970
3522,586797329991
2292,586797330013
1922,586797330024
1941,586797330035
3133,586797330046
2251,586797330057
3796,586797330068
4762,586797330079
2288,586797330080
3132,586797330090
1992,586797330105
5691,586797330116
2291,586797330138
3947,586797330149
5305,586797330150
3516,586797330160
5140,586797330171
3524,586797330193
2253,586797330208
2253,586797330219
4169,586797330220
5886,586797330230
3084,586797330241
5996,586797330252
2494,586797330263
5637,586797330274
5075,586797330285
2245,586797330296
1700,586797330300
1917,586797330311
2094,586797330322
2150,586797330355
5938,586797330366
8958,586797330377
2181,586797330388
5096,586797330399
5156,586797330403
1805,586797330447
3026,586797330458
1915,586797330469
2333,586797330470
1879,586797330480
1692,586797330491
4340,586797330506
1914,586797330517
2998,586797330528
1693,586797330539
1862,586797330540
1588,586797330561
2028,586797330583
1899,586797330594
5663,586797330609
5008,586797330620
1853,586797330631
5193,586797330642
5425,586797330653
2708,586797330664
5644,586797330675
2218,586797330686
2636,586797330697
5601,586797330701
2527,586797330712
2206,586797330723
2495,586797330734
5600,586797330745
2242,586797330756
3101,586797330767
5930,586797330778
5640,586797330789
2523,586797330790
4171,586797330804
1912,586797330815
2842,586797330826
2487,586797330837
3650,586797330848
5664,586797330859
3087,586797330860
2032,586797330870
5643,586797330881
3147,586797330892
2621,586797330907
5215,586797330918
1877,586797330929
2536,586797330930
5956,586797330940
5859,586797330951
1826,586797330973
1624,586797330984
3141,586797330995
3140,586797331009
2557,586797331010
3138,586797331020
5134,586797331031
3139,586797331042
2556,586797331053
1989,586797331064
2099,586797331075
2507,586797331086
5658,586797331097
5659,586797331101
2951,586797331112
1563,586797331123
1660,586797331134
5689,586797331145
2950,586797331156
1600,586797331167
4317,586797331178
5633,586797331189
2277,586797331190
5337,586797331204
5394,586797331215
5701,586797331226
2117,586797331237
1583,586797331248
2985,586797331259
4238,586797331260
1882,586797331270
2689,586797331281
5634,586797331292
5632,586797331307
2001,586797331318
3847,586797332690
5306,586797332704
2592,586797332715
3728,586797332726
4339,586797332759
1559,586797332807
5258,586797329524
3351,586797329535
5423,586797329579
4132,586797329719
5072,586797329730
2226,586797329741
5874,586797329752
5032,586797329763
3099,586797329774
3248,586797329785
5641,586797329796
2886,586797329811
2948,586797329822
4134,586797329833
2082,586797329844
2609,586797329855
2110,586797329866
5602,586797329877
4101,586797329888
3477,586797329899
2401,586797329903
5152,586797329914
3179,586797329925
1456,586797326341
3897,586797326374
1900,586797326385
3366,586797326606
4689,586797326694
3848,586797326742
3988,586797326981
3208,586797327006
3423,586797328274
2529,586797297503
4756,586797305538
1201,586797305630
2723,586797305700
4591,586797306660
4440,586797299973
4420,586797299984
881,586797299995
3724,586797300021
1578,586797301186
3071,586797301234
1173,586797302712
4561,586797302804
4444,586797302826
5819,586797302848
1077,586797302870
4520,586797302892
3307,586797302907
488,586797302929
2114,586797302973
3785,586797303053
1572,586797326753
5124,586797327418
2612,586797328790
5605,586797329980
951,586797323560
5303,586797327988
1720,586797301197
1601,586797310537
3505,586797313250
2457,586797333126
2974,586797321589
1062,586797323787
1995,586797326352
5494,586797326400
5270,586797326650
7043,586797326720
1888,586797326915
806,586797328333
5782,586797328366
5947,586797328653
5962,586797328664
1015,586797328697
4366,586797328701
7229,586797328723
6587,586797328778
3661,586797328804
5108,586797328815
5726,586797331693
2449,586797333435
3443,586797293840
5944,586797294011
3334,586797294640
1830,586797294651
3329,586797294813
3607,586797294938
1981,586797296507
3780,586797296621
7174,586797297374
3772,586797297823
3011,586797304185
7280,586797305620
3185,586797305994
1462,586797306074
568,586797306615
673,586797306626
4469,586797306637
1075,586797306648
3137,586797306670
710,586797306692
7020,586797306718
671,586797306729
668,586797306740
4482,586797306773
5148,586797306795
5182,586797306800
682,586797306810
4414,586797306843
406,586797306854
3017,586797306876
659,586797306924
663,586797306968
619,586797306979
5263,586797306980
5188,586797307026
1089,586797307037
667,586797307081
3619,586797307129
5143,586797307151
690,586797307184
3852,586797307221
672,586797307232
578,586797307390
2065,586797307449
1319,586797307460
3184,586797309030
409,586797309132
662,586797309176
4187,586797309202
394,586797309224
2690,586797309257
5703,586797309268
712,586797309280
5716,586797309305
5925,586797309327
1183,586797300076
1286,586797300113
396,586797300617
5371,586797300742
1244,586797300764
4185,586797301072
4409,586797301381
5151,586797301407
658,586797301418
575,586797301430
5275,586797301440
2773,586797301484
3461,586797301521
2360,586797301624
2699,586797301705
5812,586797301749
1070,586797301830
1363,586797301896
4528,586797301922
5173,586797301933
2988,586797301955
1458,586797301966
3635,586797301977
555,586797302105
1153,586797302219
606,586797302296
5872,586797303010
4357,586797303075
2209,586797309603
1707,586797309647
2073,586797309809
1724,586797309967
1275,586797310570
923,586797310581
4417,586797310607
5443,586797310710
5408,586797310765
3529,586797310787
1294,586797311100
1157,586797311213
1676,586797311360
5728,586797311393
1263,586797311430
431,586797312345
143,586797312356
106,586797312367
430,586797312378
410,586797312389
282,586797312415
653,586797312448
3362,586797312460
736,586797312470
333,586797312492
694,586797312529
445,586797312595
2774,586797312621
1577,586797313812
1604,586797314359
4569,586797314430
1567,586797314473
1636,586797314484
