Store Nbr,Dept Subcategory Description,Week 30 ,Week 31 ,Week 32 ,Week 33 ,Week 34 ,Week 35,Week 36 ,Week 37 ,Week 38 ,Week 39 ,Week 40 ,Week 41,Week 42 ,Week 43 ,Week 44,Week 45 ,Week 46,Week 47 ,Week 48 ,Week 49 ,Week 50 ,Week 51 ,Week 52 
1,COMBO GRILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FULL SIZE GAS GRILLS,5,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,FULL SIZE GRIDDLES,3,2,2,1,1,1,1,1,1,1,1,3,3,2,2,4,1,1,1,1,1,1,2
1,FULL SIZE PELLET GRILLS,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,COMBO GRILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FULL SIZE GAS GRILLS,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,FULL SIZE GRIDDLES,3,2,2,1,1,1,1,1,1,1,1,3,2,3,2,3,2,1,1,1,1,1,1
2,FULL SIZE PELLET GRILLS,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
3,COMBO GRILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FULL SIZE GAS GRILLS,3,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
3,FULL SIZE GRIDDLES,2,1,1,1,1,1,1,1,1,1,1,3,1,2,1,3,2,0,1,1,1,1,1
3,FULL SIZE PELLET GRILLS,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
4,COMBO GRILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,FULL SIZE GAS GRILLS,5,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,FULL SIZE GRIDDLES,3,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,2,1,1,1,1,1,1
4,FULL SIZE PELLET GRILLS,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
5,COMBO GRILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,FULL SIZE GAS GRILLS,2,2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1
5,FULL SIZE GRIDDLES,3,2,2,2,2,1,1,1,1,1,1,1,4,3,2,3,2,2,1,2,2,2,2
5,FULL SIZE PELLET GRILLS,3,3,3,2,2,2,2,1,1,1,1,2,2,2,2,3,2,1,1,1,1,1,1
7,COMBO GRILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,FULL SIZE GAS GRILLS,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,FULL SIZE GRIDDLES,2,2,2,1,1,1,1,1,1,1,2,2,3,2,2,3,2,1,1,1,1,1,1
7,FULL SIZE PELLET GRILLS,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
8,FULL SIZE GRIDDLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,COMBO GRILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,FULL SIZE GAS GRILLS,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,FULL SIZE GRIDDLES,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1
9,FULL SIZE PELLET GRILLS,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
10,COMBO GRILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,FULL SIZE GAS GRILLS,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,FULL SIZE GRIDDLES,3,2,2,2,2,1,1,1,1,1,1,3,2,3,2,3,2,2,1,2,2,2,2
