Store Number,FYE 22 Total Kayak Units Sold,FYE 23 Total Ship Projection,Expected Arrival Week 
1809,508,599,11
5160,130,255,11
5376,234,489,11
2014,349,398,11
1611,115,244,11
4244,358,574,10
2957,165,244,10
1491,143,305,8
1435,151,227,8
1654,298,474,10
1609,132,232,10
1415,280,545,10
2289,161,217,10
1797,177,398,10
1932,167,303,10
1856,146,262,10
2047,120,216,10
2140,370,660,10
2183,338, 420 ,10
2046,167,286,10
2681,183,283,10
2202,157,211,10
2138,138,586,10
2369,192,324,10
2639,156,314,10
2682,277,300,10
2332,141,238,10
2398,412,811,10
1698,378,591,10
2330,170,260,10
1749,136,239,10
3535,128,196,10
1796,128,243,10
1871,433,739,10
1946,392,697,10
2116,407,625,10
3329,176,376,10
2424,166,330,10
3334,159,326,10
5498,162,277,10
1781,200,500,10
2120,195,324,10
2992,173,250,10
1673,149,276,10
2326,172,731,10
2164,354,441,10
1949,240,430,10
2159,153,337,10
2405,147,262,10
2480,137,233,8
1978,177,261,10
2528,180,314,10
1887,141,262,10
2169,145,248,8
2185,123,238,10
3722,156,399,10
2199,157,460,8
2078,145,324,8
2684,151,296,8
2610,298,431,8
2036,582,754,8
1542,345,545,11
2338,346,419,11
2079,144,241,10
5373,441,632,10
2510,425,792,10
1931,532,774,10
1139,180,337,8
15,746,843,8
379,290,583,8
2221,170,466,8
37,306,328,8
95,162,287,8
89,269,509,8
101,251,473,8
815,255,349,8
250,141,258,8
14,306,306,8
3382,154,314,10
598,173,247,8
645,133,188,8
1008,140,244,10
1457,443,565,10
3778,204,250,10
2923,322,576,10
1485,201,327,10
1508,181,323,10
2259,934,"1,316",8
2607,204,413,8
986,161,394,10
1058,169,260,10
5232,153,215,10
1565,308,445,10
1543,154,241,10
2443,141,237,10
1604,154,209,10
2469,382,739,8
2249,512,721,8
3537,343,594,8
5861,291,578,8
3850,139,513,8
5853,269,507,8
3705,149,295,8
2450,609,"1,094",8
2595,313,649,8
5628,240,451,8
5195,126,258,8
2596,162,250,8
3757,119,204,8
5272,848,"1,465",8
2121,980,"1,160",8
2037,639,"1,132",8
2317,515,966,8
2325,712,933,8
2319,428,821,8
2196,420,821,8
2016,422,811,8
2007,502,800,8
1947,628,759,8
3754,216,244,8
2549,683,"1,261",8
4395,466,"1,132",8
2485,906,997,8
3511,554,900,8
2539,476,775,8
3472,362,617,8
2865,225,592,8
4394,272,396,8
3380,250,468,8
3261,280,450,8
1817,205,358,8
2006,144,274,8
3742,324,581,8
5929,265,523,8
5462,144,208,8
3525,119,216,8
