Store #,City,ST,Reported Location of Kiosk,Estimated Pick-Up Date,Estimated Pick-Up Time
63,Wagoner,OK,GM Backroom,24-Feb, 8am-12pm
262,Benton,IL,Unknown,25-Feb, 12pm-4pm
404,San Marcos,TX,Unknown,TBD,TBD
442,Kingsville,TX,Empty ISO Space,24-Feb, 8am-12pm
599,Kingsport,TN,Unknown,24-Feb, 8am-12pm
614,Lagrange,GA,Unknown,24-Feb, 8am-12pm
1009,Republic,MO,Grocery Vestibule,25-Feb, 12pm-4pm
1019,Canon City,CO,Outdoor Trailer,24-Feb, 8am-12pm
1066,Pascagoula,MS,Customer Service Desk,25-Feb, 12pm-4pm
1273,Fountain,CO,Outdoor Fixture Storage Area,24-Feb, 8am-12pm
1326,Grand Island,NE,Unknown,25-Feb, 12pm-4pm
1329,Logansport,IN,Grocery Backroom,25-Feb, 12pm-4pm
1361,Sioux City,IA,Grocery Vestibule,25-Feb, 12pm-4pm
1583,Madera,CA,GM Backroom,24-Feb, 8am-12pm
1616,Susanville,CA,Grocery Vestibule,26-Feb, 12pm-4pm
1752,Bay City,MI,Grocery Vestibule,24-Feb, 8am-12pm
1962,Kokomo,IN,GM Backroom,25-Feb, 12pm-4pm
1996,Hallandale Beach,FL,Unknown,24-Feb, 10am-12pm
2061,Plainwell,MI,Grocery Backroom,24-Feb, 8am-12pm
2534,Dothan,AL,Outdoor Fixture Storage Area,24-Feb, 8am-12pm
2644,Saginaw,MI,Outdoor Fixture Storage Area,24-Feb, 8am-12pm
2777,Surprise,AZ,Front Sidewalk,24-Feb, 8am-12pm
3022,Stockton,CA,GM Backroom,24-Feb, 8am-12pm
3070,Dunwoody,GA,Unknown,24-Feb, 12pm-2pm
3176,Colorado Springs,CO,Unknown,25-Feb, 8am-12pm
3234,Rogersville,TN,Empty ISO Space,24-Feb, 8am-12pm
3271,Calera,AL,Back hallway by the UPC office.,24-Feb, 8am-12pm
3329,Potsdam,NY,Backroom,25-Feb, 12pm-4pm
3802,Middletown,DE,Receiving,24-Feb, 8am-12pm
4439,Paw Paw,MI,Outdoor Trailer,24-Feb, 12pm-4pm
4441,Palm Springs Village,FL,Unknown,24-Feb, 1pm-3pm
4509,Benbrook,TX,Outdoor Trailer,24-Feb, 8am-12pm
5242,Cicero,NY,Grocery Vestibule,25-Feb, 12pm-4pm
5443,Indianapolis,IN,GM Backroom,25-Feb, 12pm-4pm
5606,Woodland,CA,GM Vestibule,24-Feb, 8am-12pm
5994,West Linn,OR,Outdoor Fixture Storage Area,26-Feb, 10-12pm
6286,Killeen,TX,Outdoor Fixture Storage Area,24-Feb, 8am-12pm
6459,Harker Heights,TX,Outdoor Fixture Storage Area,24-Feb, 8am-12pm
7232,Desoto,TX,GM Vestibule,24-Feb, 10am-12pm
,,,,,
