Store,Removal Date,18 Door,36 Door
25,6/2/2023,,2
40,6/1/2023,,2
51,6/2/2023,,2
61,6/1/2023,,2
80,6/2/2023,,2
219,6/1/2023,,2
363,6/1/2023,,4
451,6/2/2023,,2
588,6/1/2023,,2
759,6/1/2023,,3
811,6/1/2023,,3
820,6/2/2023,,2
858,6/1/2023,,2
899,6/1/2023,,2
952,6/1/2023,,2
1072,6/1/2023,,2
1747,6/1/2023,,2
1899,6/1/2023,,2
2028,6/1/2023,,2
2052,6/1/2023,,2
3887,6/1/2023,1,3
4517,6/1/2023,,1
5193,6/1/2023,,2
5422,6/1/2023,,2
5629,6/1/2023,,2
5663,6/1/2023,,1
7245,6/1/2023,,2
