Store Nbr,Prime Item Nbr,Prime Item Desc,Curr Str On Hand Qty
11,598086029,CC LINK II BLACK,1 
14,598086029,CC LINK II BLACK,1 
25,598086029,CC LINK II BLACK,1 
36,598086029,CC LINK II BLACK,6 
38,598086029,CC LINK II BLACK,1 
52,598086029,CC LINK II BLACK,1 
62,598086029,CC LINK II BLACK,2 
87,598086029,CC LINK II BLACK,1 
112,598086029,CC LINK II BLACK,1 
151,598086029,CC LINK II BLACK,2 
188,598086029,CC LINK II BLACK,1 
214,598086029,CC LINK II BLACK,2 
237,598086029,CC LINK II BLACK,3 
307,598086029,CC LINK II BLACK,1 
335,598086029,CC LINK II BLACK,2 
340,598086029,CC LINK II BLACK,1 
355,598086029,CC LINK II BLACK,14 
359,598086029,CC LINK II BLACK,2 
386,598086029,CC LINK II BLACK,2 
417,598086029,CC LINK II BLACK,2 
448,598086029,CC LINK II BLACK,9 
462,598086029,CC LINK II BLACK,3 
467,598086029,CC LINK II BLACK,4 
495,598086029,CC LINK II BLACK,1 
501,598086029,CC LINK II BLACK,2 
511,598086029,CC LINK II BLACK,1 
529,598086029,CC LINK II BLACK,1 
549,598086029,CC LINK II BLACK,3 
588,598086029,CC LINK II BLACK,1 
598,598086029,CC LINK II BLACK,3 
611,598086029,CC LINK II BLACK,2 
616,598086029,CC LINK II BLACK,1 
630,598086029,CC LINK II BLACK,3 
652,598086029,CC LINK II BLACK,1 
657,598086029,CC LINK II BLACK,1 
658,598086029,CC LINK II BLACK,3 
663,598086029,CC LINK II BLACK,1 
671,598086029,CC LINK II BLACK,2 
680,598086029,CC LINK II BLACK,3 
686,598086029,CC LINK II BLACK,2 
692,598086029,CC LINK II BLACK,1 
723,598086029,CC LINK II BLACK,1 
734,598086029,CC LINK II BLACK,2 
754,598086029,CC LINK II BLACK,3 
772,598086029,CC LINK II BLACK,4 
773,598086029,CC LINK II BLACK,2 
854,598086029,CC LINK II BLACK,2 
917,598086029,CC LINK II BLACK,3 
924,598086029,CC LINK II BLACK,1 
932,598086029,CC LINK II BLACK,2 
966,598086029,CC LINK II BLACK,1 
981,598086029,CC LINK II BLACK,3 
1022,598086029,CC LINK II BLACK,6 
1023,598086029,CC LINK II BLACK,2 
1030,598086029,CC LINK II BLACK,3 
1044,598086029,CC LINK II BLACK,1 
1059,598086029,CC LINK II BLACK,3 
1066,598086029,CC LINK II BLACK,1 
1070,598086029,CC LINK II BLACK,1 
1072,598086029,CC LINK II BLACK,1 
1082,598086029,CC LINK II BLACK,3 
1163,598086029,CC LINK II BLACK,4 
1199,598086029,CC LINK II BLACK,3 
1200,598086029,CC LINK II BLACK,2 
1223,598086029,CC LINK II BLACK,3 
1227,598086029,CC LINK II BLACK,4 
1229,598086029,CC LINK II BLACK,1 
1253,598086029,CC LINK II BLACK,4 
1268,598086029,CC LINK II BLACK,3 
1285,598086029,CC LINK II BLACK,3 
1298,598086029,CC LINK II BLACK,2 
1301,598086029,CC LINK II BLACK,7 
1326,598086029,CC LINK II BLACK,2 
1348,598086029,CC LINK II BLACK,3 
1358,598086029,CC LINK II BLACK,1 
1375,598086029,CC LINK II BLACK,13 
1376,598086029,CC LINK II BLACK,2 
1382,598086029,CC LINK II BLACK,2 
1444,598086029,CC LINK II BLACK,1 
1456,598086029,CC LINK II BLACK,2 
1488,598086029,CC LINK II BLACK,3 
1492,598086029,CC LINK II BLACK,5 
1502,598086029,CC LINK II BLACK,5 
1516,598086029,CC LINK II BLACK,3 
1524,598086029,CC LINK II BLACK,2 
1539,598086029,CC LINK II BLACK,1 
1564,598086029,CC LINK II BLACK,1 
1605,598086029,CC LINK II BLACK,1 
1626,598086029,CC LINK II BLACK,1 
1689,598086029,CC LINK II BLACK,1 
1789,598086029,CC LINK II BLACK,8 
1794,598086029,CC LINK II BLACK,1 
1812,598086029,CC LINK II BLACK,2 
