0,1,2,3,4,5,6,7,8,9,10
Store #,Store Type,City,State,Size,Expected Delivery Date,2-Tier Recommender,Cart Recommender,Article Description,Quantity,Manufacturer
6807,SUP,MEMPHIS,TN,Full Fleet,N/A,N/A,650,EXT-90-FW,650,TECHNIBILT
5851,SUP,GREENVILLE,NC,Full Fleet,N/A,N/A,566,EXT-90-FW,566,TECHNIBILT
5709,SUP,LOCUST GROVE,GA,Full Fleet,N/A,N/A,617,WM21,617,TECHNIBILT
4667,NHM,CLEARWATER,FL,Full Fleet,N/A,25,175,EXT-90-FW-CC,200,TECHNIBILT
4435,SUP,NASHVILLE,TN,Full Fleet,N/A,N/A,584,EXT-90-FW,584,TECHNIBILT
2534,SUP,DOTHAN,AL,Full Fleet,N/A,N/A,667,EXT-90-FW,667,TECHNIBILT
2322,SUP,CORDOVA,TN,Full Fleet,N/A,N/A,691,EXT-90-FW,691,TECHNIBILT
2306,SUP,NORTHPORT,AL,Full Fleet,N/A,N/A,715,EXT-90-FW,715,TECHNIBILT
1201,SUP,GARDENDALE,AL,Full Fleet,N/A,N/A,825,EXT-90-FW,825,TECHNIBILT
739,SUP,MIDDLESBORO,KY,Full Fleet,N/A,N/A,687,EXT-90-FW,687,TECHNIBILT
728,SUP,HILTON HEAD,SC,Full Fleet,N/A,N/A,515,EXT-90-FW,515,TECHNIBILT
433,SUP,HUNTSVILLE,AL,Full Fleet,N/A,N/A,676,EXT-90-FW,676,TECHNIBILT
5298,SUP,GASTONIA,NC,Full Fleet,12/01/2023,N/A,659,EXT-90-FW-CC,659,TECHNIBILT
4332,SUP,ORLANDO,FL,Full Fleet,12/01/2023,N/A,779,WM21-CC,779,TECHNIBILT
4216,SUP,COLUMBUS,IN,Full Fleet,11/30/2023,N/A,577,WM21,577,TECHNIBILT
4643,SUP,BADEN,PA,Full Fleet,11/29/2023,N/A,684,WM21,684,TECHNIBILT
3747,SUP,MUNCIE,IN,Full Fleet,11/29/2023,N/A,596,WM21,596,TECHNIBILT
3311,SUP,MIAMI GARDENS,FL,Full Fleet,11/24/2023,N/A,627,WM21-CC-ORDINANCE,627,TECHNIBILT
3255,SUP,SAVOY,IL,Full Fleet,11/23/2023,N/A,536,WM21,536,TECHNIBILT
5881,SUP,SPRINGFIELD,PA,Full Fleet,11/22/2023,N/A,556,WM21,556,TECHNIBILT
3228,SUP,DELMONT,PA,Full Fleet,11/22/2023,N/A,674,WM21,674,TECHNIBILT
3205,SUP,LITHIA SPRINGS,GA,Full Fleet,11/21/2023,N/A,639,WM21,639,TECHNIBILT
2793,SUP,KERNERSVILLE,NC,Full Fleet,11/16/2023,N/A,838,EXT-90-FW,838,TECHNIBILT
2786,SUP,AVON,IN,Full Fleet,11/15/2023,N/A,732,WM21,732,TECHNIBILT
5058,SUP,Antioch,TN,Full Fleet,11/14/2023,N/A,650,EXT-90-FW,650,TECHNIBILT
4334,SUP,WEAVERVILLE,NC,Full Fleet,11/13/2023,N/A,578,EXT-90-FW,578,TECHNIBILT
5118,SUP,RALEIGH,NC,Full Fleet,11/09/2023,N/A,667,EXT-90-FW,667,TECHNIBILT
2727,SUP,FLORIDA CITY,FL,Full Fleet,11/09/2023,N/A,766,WM21-CC-ORDINANCE,766,TECHNIBILT
4533,SUP,OAKLAND,TN,Full Fleet,11/08/2023,N/A,497,EXT-90-FW,497,TECHNIBILT
2931,SUP,SALISBURY,MD,Full Fleet,11/08/2023,N/A,624,EXT-90-FW,624,TECHNIBILT
2540,SUP,CLARION,PA,Full Fleet,11/08/2023,N/A,605,WM21,605,TECHNIBILT
2262,SUP,ONEONTA,NY,Full Fleet,11/07/2023,N/A,754,WM21,754,TECHNIBILT
762,SUP,BIRMINGHAM,AL,Full Fleet,11/06/2023,N/A,597,EXT-90-FW-CC,597,TECHNIBILT
1459,SUP,INDIANAPOLIS,IN,Full Fleet,11/03/2023,N/A,712,WM21,712,TECHNIBILT
1382,SUP,Greenwood,SC,Full Fleet,10/31/2023,N/A,743,WM21,743,TECHNIBILT
1378,SUP,GOSHEN,IN,Full Fleet,10/31/2023,N/A,652,WM21,652,TECHNIBILT
1354,SUP,Washington,NC,Full Fleet,10/27/2023,N/A,645,WM21,645,TECHNIBILT
1310,SUP,TERRE HAUTE,IN,Full Fleet,10/27/2023,N/A,699,WM21,699,TECHNIBILT
2730,SUP,TARBORO,NC,Full Fleet,10/26/2023,N/A,472,EXT-90-FW,472,TECHNIBILT
1222,SUP,PENSACOLA,FL,Full Fleet,10/26/2023,N/A,843,WM21,843,TECHNIBILT
1180,SUP,GREENSBURG,IN,Full Fleet,10/25/2023,N/A,614,WM21,614,TECHNIBILT
919,SUP,Fort Walton Beach,FL,Full Fleet,10/24/2023,N/A,780,WM21,780,TECHNIBILT
758,SUP,AMERICUS,GA,Full Fleet,10/23/2023,N/A,537,WM21,537,TECHNIBILT
2234,SUP,ROME,NY,Full Fleet,10/20/2023,N/A,802,WM21,802,TECHNIBILT
616,SUP,Orangeburg,SC,Full Fleet,10/18/2023,N/A,701,WM21,701,TECHNIBILT
615,SUP,CARTERSVILLE,GA,Full Fleet,10/18/2023,N/A,767,WM21,767,TECHNIBILT
6531,NHM,PENSACOLA,FL,Full Fleet,10/17/2023,25,175,WM21,200,TECHNIBILT
93,SUP,COVINGTON,TN,Full Fleet,10/16/2023,N/A,615,EXT-90-FW,615,TECHNIBILT
3700,SUP,INDIAN TRAIL,NC,Full Fleet,10/13/2023,N/A,779,WM21,779,TECHNIBILT
3439,SUP,NAVARRE,FL,Full Fleet,10/13/2023,N/A,715,WM21,715,TECHNIBILT
3184,NHM,HOOVER,AL,Full Fleet,10/13/2023,25,175,EXT-90-FW,200,TECHNIBILT
2697,SUP,Antioch,CA,Full Fleet,10/13/2023,N/A,573,WM21,573,Precision
