Store,MPDD Start Date,MPDD Delivery Window
38,May 14,15:00-23:59
49,May 14,15:00-23:59
133,May 14,15:00-23:59
148,May 14,15:00-23:59
181,May 14,15:00-23:59
226,May 14,15:00-23:59
260,May 14,15:00-23:59
286,May 14,15:00-23:59
398,May 14,15:00-23:59
399,May 14,15:00-23:59
426,May 14,15:00-23:59
468,May 14,15:00-23:59
471,May 14,15:00-23:59
918,May 14,15:00-23:59
1118,May 14,15:00-23:59
1216,May 14,15:00-23:59
1800,May 14,15:00-23:59
2086,May 14,15:00-23:59
2105,May 14,15:00-23:59
2123,May 14,15:00-23:59
2463,May 14,15:00-23:59
2649,May 14,15:00-23:59
2667,May 14,15:00-23:59
2926,May 14,15:00-23:59
2996,May 14,15:00-23:59
3014,May 14,15:00-23:59
3285,May 14,15:00-23:59
3406,May 14,15:00-23:59
3432,May 14,15:00-23:59
3482,May 14,15:00-23:59
3777,May 14,15:00-23:59
4114,May 14,15:00-23:59
4367,May 14,15:00-23:59
4371,May 14,15:00-23:59
4373,May 14,15:00-23:59
5147,May 14,15:00-23:59
5288,May 14,15:00-23:59
5810,May 14,15:00-23:59
5889,May 14,15:00-23:59
7224,May 14,15:00-23:59
,,
