Store,Market,Actual Install Scheduled Date
8,326,
4108,323,
6958,310,
7009,302,
3701,302,
7238,302,
1795,294,
44,336,
29,336,
65,336,
89,336,
101,336,
219,336,
5477,336,
1008,378,
2599,86,
1996,553,
477,119,
148,47,
204,253,
266,50,
417,47,
467,52,
471,49,
477,119,
526,242,
532,130,
586,37,
649,92,
674,152,
835,385,
839,130,
880,50,
966,375,
973,92,
1102,130,
1144,42,
1163,125,
1171,115,
1206,130,
1239,217,
1252,380,
1301,312,
1342,128,
1359,36,
1393,413,
1393,413,
1405,61,
1427,218,
1491,413,
1503,223,
1504,223,
1509,415,
1529,233,
1532,369,
1533,369,
1550,388,
1559,394,
1584,396,
1590,553,
1594,219,
1603,39,
1644,232,
1683,413,
1723,413,
1764,413,
1764,413,
1794,232,
1860,284,
1981,508,
1985,283,
1990,217,
2015,292,
2023,233,
2045,281,
2089,311,
2125,380,
2169,232,
2205,233,
2340,233,
2357,280,
2385,514,
2403,514,
2412,293,
2426,217,
2471,217,
2481,232,
2483,394,
2516,514,
2519,233,
2571,514,
2649,50,
2667,55,
2706,125,
2714,426,
2725,217,
2726,219,
2799,508,
2808,290,
2820,421,
2884,394,
2888,233,
2913,129,
2938,132,
2962,108,
3014,49,
3167,125,
3216,289,
3280,192,
3296,64,
3307,97,
3350,394,
3351,394,
3433,49,
3484,14,
3525,514,
3533,585,
3560,160,
3566,380,
3580,219,
3625,109,
3634,232,
3709,20,
3728,394,
3762,413,
3784,221,
3792,219,
3794,514,
3827,64,
3887,116,
4237,42,
4303,110,
4334,294,
4350,287,
4370,392,
4404,233,
4420,41,
4450,242,
4503,44,
4506,41,
4557,396,
4606,413,
4683,130,
4734,585,
5022,125,
5073,514,
5117,315,
5129,283,
5147,44,
5200,233,
5233,403,
5350,403,
5418,242,
5491,385,
5612,63,
5676,380,
5864,455,
5889,53,
5957,585,
5969,292,
6932,127,
1422,204,
1423,203,
1432,204,
1611,205,
1752,204,
1790,197,
1791,200,
1831,191,
1906,160,
1959,164,
1970,159,
1997,188,
2021,160,
2103,159,
2152,188,
2157,160,
2164,194,
2184,160,
2227,159,
2284,173,
2299,163,
2331,162,
2336,159,
2341,159,
2371,163,
2547,164,
2585,173,
2869,203,
2900,163,
3114,157,
5095,163,
5293,172,
5294,173,
5295,172,
5439,173,
5732,190,
2508,399,
1593,202,
1817,475,
1939,180,
2046,180,
4352,427,
5440,477,
1900,400,
1868,180,
3875,427,
5935,477,
2780,399,
1649,427,
1878,400,
1534,427,
1545,412,
3239,478,
1932,179,
2033,427,
3648,427,
1784,477,
2538,478,
2153,183,
5076,179,
1695,427,
5368,477,
1788,183,
1856,179,
1834,468,
5396,478,
1924,179,
2659,183,
1636,427,
2069,468,
5220,112,
1249,74,
1213,95,
1078,74,
813,81,
626,73,
536,74,
482,61,
478,77,
473,85,
446,85,
290,77,
6576,39,
5709,19,
3201,19,
3200,159,
2469,467,
2214,41,
2095,160,
1400,21,
1183,41,
1111,21,
780,21,
545,258,
230,321,
2644,204,
1940,188,
5097,204,
5806,412,
4243,205,
1733,203,
4303,110,
4569,427,
3283,409,
3380,475,
3805,391,
5343,291,
5779,508,
6173,1,
866,1,
1833,291,
2520,291,
3018,389,
4321,409,
5078,473,
853,1,
1507,409,
2269,473,
3077,292,
4258,291,
4335,391,
2241,475,
2739,14,
3492,409,
3639,292,
5123,391,
5731,291,
1896,391,
2038,292,
2136,291,
2428,409,
3261,475,
7247,14,
1928,205,
2273,205,
3726,205,
2693,205,
2700,203,
2618,203,
5893,203,
2719,163,
5048,203,
2965,163,
1754,203,
3543,173,
2866,203,
617,580,
3546,173,
4540,203,
3803,173,
3625,109,
3632,205,
5386,200,
2282,162,
1592,205,
1942,200,
2899,163,
2714,426,
1703,280,
3286,52,
552,258,
333,254,
689,257,
2548,316,
2224,181,
2332,181,
4156,181,
1,323,
4,323,
29,336,
44,336,
57,328,
65,336,
71,328,
74,329,
83,327,
89,336,
100,323,
101,336,
126,324,
127,325,
128,329,
133,325,
140,503,
171,327,
185,350,
219,336,
229,329,
236,503,
249,503,
251,45,
261,325,
275,503,
280,83,
281,328,
285,503,
288,503,
289,327,
296,325,
297,59,
314,5,
318,325,
321,85,
322,85,
330,84,
336,325,
339,327,
348,327,
354,336,
381,81,
383,66,
384,66,
385,84,
395,80,
397,80,
404,87,
407,81,
408,66,
412,45,
414,349,
420,349,
440,78,
447,88,
449,66,
457,66,
470,78,
477,119,
490,78,
500,505,
508,506,
512,505,
530,327,
535,74,
536,74,
537,73,
546,62,
565,55,
578,123,
595,569,
610,76,
619,119,
620,124,
651,66,
672,122,
678,123,
680,123,
685,123,
687,121,
698,119,
742,124,
744,59,
755,70,
777,66,
