Market,Store ,Launch Date 
3,315,6/11/2025
3,3386,6/11/2025
4,114,6/11/2025
4,153,6/11/2025
4,176,6/11/2025
4,273,6/11/2025
4,303,6/11/2025
7,740,6/11/2025
7,1063,6/11/2025
7,1462,6/11/2025
7,1638,6/11/2025
8,700,6/11/2025
10,863,6/11/2025
10,1057,6/11/2025
11,362,6/11/2025
11,425,6/11/2025
11,1052,6/11/2025
14,1493,6/11/2025
18,515,6/11/2025
18,2753,6/11/2025
21,1363,6/11/2025
21,5482,6/11/2025
27,843,6/11/2025
27,1072,6/11/2025
28,556,6/11/2025
28,593,6/11/2025
28,639,6/11/2025
28,686,6/11/2025
28,864,6/11/2025
28,1018,6/11/2025
28,1061,6/11/2025
28,2630,6/11/2025
30,1143,6/11/2025
30,1658,6/11/2025
30,2754,6/11/2025
32,907,6/11/2025
32,7246,6/11/2025
33,795,6/11/2025
36,1017,6/11/2025
38,621,6/11/2025
38,642,6/11/2025
38,4457,6/11/2025
39,1603,6/11/2025
46,146,6/11/2025
46,180,6/11/2025
47,181,6/11/2025
47,226,6/11/2025
47,240,6/11/2025
61,482,6/11/2025
65,5246,6/11/2025
67,6930,6/11/2025
71,549,6/17/2025
76,211,6/17/2025
76,248,6/17/2025
77,290,6/17/2025
77,465,6/17/2025
78,442,6/17/2025
81,476,6/17/2025
81,1073,6/17/2025
83,280,6/17/2025
84,437,6/17/2025
85,293,6/17/2025
85,567,6/17/2025
85,846,6/17/2025
86,4102,6/17/2025
87,292,6/17/2025
88,443,6/17/2025
97,1375,6/17/2025
101,2626,6/17/2025
116,759,6/17/2025
118,811,6/17/2025
119,4226,6/17/2025
120,1089,6/17/2025
120,2988,6/17/2025
121,1467,6/17/2025
124,3289,6/17/2025
124,3852,6/17/2025
128,3616,6/17/2025
134,312,6/17/2025
134,773,6/17/2025
134,1128,6/17/2025
135,98,6/17/2025
135,1109,6/17/2025
135,1110,6/17/2025
136,716,6/17/2025
136,1468,6/17/2025
137,409,6/17/2025
137,1100,6/17/2025
138,112,6/17/2025
138,115,6/17/2025
138,183,6/17/2025
138,205,6/17/2025
138,305,6/17/2025
138,495,6/17/2025
138,1059,6/17/2025
138,1069,6/17/2025
140,3060,6/17/2025
141,785,6/17/2025
141,816,6/17/2025
141,874,6/17/2025
141,954,6/17/2025
141,1106,6/17/2025
141,1168,6/17/2025
141,1192,6/17/2025
143,1260,6/17/2025
145,4533,6/17/2025
146,64,6/17/2025
146,97,6/17/2025
146,177,6/17/2025
146,675,6/17/2025
146,677,6/17/2025
147,161,6/17/2025
147,238,6/17/2025
147,268,6/17/2025
147,738,6/17/2025
147,1115,6/17/2025
149,390,6/17/2025
149,1226,6/17/2025
152,568,6/17/2025
152,879,6/17/2025
152,4414,6/17/2025
164,4570,6/17/2025
165,2254,6/17/2025
179,1797,6/17/2025
179,1924,6/17/2025
179,1932,6/17/2025
179,2047,6/17/2025
179,2143,6/17/2025
180,1866,6/17/2025
180,2140,6/17/2025
180,2183,6/17/2025
180,2681,6/17/2025
180,3269,6/17/2025
181,2758,6/17/2025
181,4156,6/17/2025
184,1753,6/17/2025
184,2057,6/17/2025
187,1946,6/17/2025
187,2092,6/17/2025
187,2424,6/17/2025
187,3329,6/17/2025
187,5498,6/17/2025
190,2120,6/17/2025
190,2135,6/17/2025
190,3221,6/17/2025
194,2159,6/17/2025
194,2164,6/17/2025
194,2326,6/17/2025
196,1542,6/17/2025
196,2079,6/17/2025
196,2358,6/17/2025
196,2434,6/17/2025
200,1791,6/19/2025
200,2102,6/19/2025
200,3458,6/19/2025
201,1540,6/19/2025
204,1719,6/19/2025
204,2014,6/19/2025
204,5159,6/19/2025
205,1798,6/19/2025
205,3632,6/19/2025
207,1416,6/19/2025
213,3809,6/19/2025
216,1724,6/19/2025
216,2684,6/19/2025
217,5203,6/19/2025
218,1368,6/19/2025
218,1519,6/19/2025
218,2572,6/19/2025
218,3486,6/19/2025
