Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL,
2405,3/14/2025,286427491493,5360 Southwestern Blvd,Hamburg,NY,14075,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427491493,
1926,3/14/2025,286427491471,341 State Route 104,Oswego,NY,13126,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427491471,
1813,3/14/2025,286427492114,6788 State Route 31 E,Newark,NY,14513,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427492114,
1673,3/14/2025,286427489450,4238 Recreation Dr,Canandaigua,NY,14424,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427489450,
2785,3/14/2025,286427492456,441 Commerce Dr,Victor,NY,14564,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427492456,
1871,3/14/2025,286427490188,20823 State Route 3,Watertown,NY,13601,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427490188,
2120,3/14/2025,286427490660,5396 State Highway 12,Norwich,NY,13815,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427490660,
2581,3/14/2025,286427491747,5399 W Genesee St,Camillus,NY,13031,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427491747,
1946,3/14/2025,286427497550,43 Stephenville St,Massena,NY,13662,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427497550,
2210,3/14/2025,286427492640,3290 Sheridan Dr,Amherst,NY,14226,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427492640,
1959,3/14/2025,286427492743,470 Route 211 E,Middletown,NY,10940,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427492743,
2097,3/14/2025,286427491574,460 Fairview Ave,Hudson,NY,12534,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427491574,
2092,3/14/2025,286427497193,3000 Ford Street Ext,Ogdensburg,NY,13669,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427497193,
1744,3/14/2025,286427491195,1990 Brandt Point Drive,Webster,NY,14580,https://www.fedex.com/apps/fedextrack/?tracknumbers=286427491195,
