Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL
1610,11/22/2024,282137169700,100 Elmridge Center Dr,Greece,NY,14626,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137169700
1619,11/22/2024,282137176470,1200 Marketplace Dr,Rochester,NY,14623,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137176470
1673,11/22/2024,282137171744,4238 Recreation Dr,Canandaigua,NY,14424,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137171744
1677,11/22/2024,282137181940,4765 Commercial Dr,New Hartford,NY,13413,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137181940
1705,11/22/2024,282137175165,1860 N Road,Waterloo,NY,13165,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137175165
1731,11/22/2024,282137186677,990 State Route 5 And 20,Geneva,NY,14456,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137186677
1744,11/22/2024,282137172383,1990 Brandt Point Drive,Webster,NY,14580,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137172383
1781,11/22/2024,282137184825,819 Bennie Rd,Cortland,NY,13045,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137184825
1806,11/22/2024,282137168704,329 S Kingsboro Ave Ext,Gloversville,NY,12078,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137168704
1810,11/22/2024,282137174375,26 W Merritt Blvd,Fishkill,NY,12524,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137174375
1813,11/22/2024,282137171273,6788 State Route 31 E,Newark,NY,14513,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137171273
1830,11/22/2024,282137173986,297 Grant Ave,Auburn,NY,13021,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137173986
1831,11/22/2024,282137174191,8770 Dell Center Drive,Liverpool,NY,13090,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137174191
1835,11/22/2024,282137189286,2405 Vestal Pkwy E,Vestal,NY,13850,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137189286
1871,11/22/2024,282137174386,20823 State Route 3,Watertown,NY,13601,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137174386
1909,11/22/2024,282137183428,1540 Military Rd,Niagara Falls,NY,14304,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137183428
1926,11/22/2024,282137170634,341 State Route 104,Oswego,NY,13126,https://www.fedex.com/apps/fedextrack/?tracknumbers=282137170634
