Store NBR,LY,TY,YOY Case QTY,Feature Wave WK27,SET Wave WK31,Replen Wave WK33,Replen Wave WK35,Replen Wave WK36
549,4581,3361,-27%,2%,53%,40%,5%,0%
550,492,572,16%,4%,71%,24%,1%,0%
551,3848,3650,-5%,2%,60%,34%,4%,0%
552,4634,1456,-69%,1%,66%,33%,1%,0%
553,6656,3311,-50%,1%,64%,33%,2%,0%
554,5324,2889,-46%,1%,53%,42%,3%,0%
555,2663,3045,14%,2%,57%,37%,4%,0%
556,3065,2756,-10%,1%,62%,34%,3%,0%
557,5017,1903,-62%,1%,62%,35%,2%,0%
558,5463,3091,-43%,1%,59%,38%,2%,0%
559,5470,2089,-62%,2%,65%,31%,2%,0%
560,6435,3055,-53%,2%,57%,39%,2%,0%
561,617,756,23%,3%,67%,28%,2%,0%
562,1906,1421,-25%,3%,64%,31%,2%,0%
563,6622,3882,-41%,1%,56%,40%,3%,0%
564,5419,2574,-53%,2%,64%,31%,3%,0%
565,6399,2851,-55%,3%,59%,35%,3%,0%
566,4211,1309,-69%,2%,64%,32%,1%,0%
567,208,199,-4%,4%,62%,30%,5%,0%
568,618,765,24%,2%,70%,26%,1%,0%
569,4509,1685,-63%,2%,71%,25%,2%,0%
571,4656,3500,-25%,4%,54%,39%,3%,0%
572,5258,1281,-76%,3%,61%,33%,3%,0%
573,6403,2977,-54%,0%,60%,37%,2%,0%
574,8857,4333,-51%,2%,57%,39%,2%,0%
575,8129,3951,-51%,3%,57%,39%,1%,0%
576,5556,2200,-60%,2%,65%,30%,3%,0%
577,8115,4695,-42%,1%,62%,35%,2%,0%
578,8092,3910,-52%,3%,54%,40%,3%,0%
579,2845,2616,-8%,2%,55%,40%,3%,0%
580,2299,1610,-30%,2%,60%,34%,3%,0%
581,2531,1953,-23%,1%,71%,25%,3%,0%
582,6581,4179,-36%,2%,57%,38%,3%,0%
583,1255,1320,5%,2%,68%,27%,2%,0%
584,4767,1456,-69%,3%,64%,31%,2%,0%
585,2115,1469,-31%,3%,57%,36%,3%,0%
586,7110,2999,-58%,3%,57%,37%,2%,0%
587,2047,1284,-37%,4%,65%,29%,2%,0%
588,6129,3508,-43%,1%,55%,40%,3%,0%
589,7056,3144,-55%,1%,66%,31%,2%,0%
590,7389,3151,-57%,2%,58%,37%,3%,0%
591,1730,1756,2%,2%,71%,25%,1%,0%
592,6355,2811,-56%,2%,61%,34%,3%,0%
593,2532,2732,8%,1%,58%,37%,4%,0%
594,2493,2334,-6%,2%,59%,36%,4%,0%
595,9061,5058,-44%,3%,51%,42%,4%,0%
596,387,426,10%,3%,67%,28%,2%,0%
598,6528,2994,-54%,3%,58%,36%,2%,0%
599,6499,2845,-56%,3%,54%,41%,2%,0%
600,4864,1472,-70%,2%,65%,31%,2%,0%
601,7038,3959,-44%,1%,56%,40%,3%,0%
602,5758,3022,-48%,1%,59%,38%,2%,0%
603,6406,2534,-60%,2%,61%,35%,2%,0%
604,6998,3188,-54%,1%,67%,30%,2%,0%
605,5485,2931,-47%,1%,60%,36%,3%,0%
606,4425,1530,-65%,1%,58%,40%,1%,0%
607,110,130,18%,6%,59%,28%,6%,0%
608,8167,4689,-43%,2%,52%,42%,4%,0%
609,2944,1934,-34%,3%,64%,31%,2%,0%
610,6229,2843,-54%,3%,58%,36%,3%,0%
611,5920,2503,-58%,1%,62%,33%,3%,0%
612,1496,1134,-24%,1%,68%,30%,1%,0%
613,4925,2209,-55%,1%,54%,41%,3%,0%
614,6418,3232,-50%,2%,54%,40%,4%,0%
615,7031,3876,-45%,2%,61%,35%,2%,0%
616,2026,2221,10%,0%,76%,22%,2%,0%
617,163,293,80%,6%,53%,38%,3%,0%
618,6593,2947,-55%,2%,65%,31%,2%,0%
619,1792,1301,-27%,3%,65%,30%,2%,0%
620,2392,2265,-5%,2%,59%,37%,2%,0%
621,2138,1743,-18%,2%,71%,25%,2%,0%
622,7261,4254,-41%,2%,58%,38%,2%,0%
623,5927,3979,-33%,0%,64%,33%,2%,0%
624,1621,1560,-4%,1%,76%,22%,2%,0%
625,5690,1938,-66%,3%,65%,31%,2%,0%
626,116,171,47%,1%,53%,40%,6%,0%
627,1661,1111,-33%,3%,72%,24%,2%,0%
628,8341,3054,-63%,2%,58%,38%,3%,0%
629,4164,1396,-66%,1%,77%,20%,2%,0%
630,3359,2924,-13%,2%,61%,35%,2%,0%
631,6508,2485,-62%,1%,59%,37%,2%,0%
632,6497,2936,-55%,1%,62%,35%,2%,0%
633,1608,1137,-29%,2%,69%,28%,1%,0%
634,2489,1879,-25%,2%,59%,37%,2%,0%
635,5992,3490,-42%,2%,56%,39%,3%,0%
636,4643,1870,-60%,1%,84%,14%,0%,0%
637,1558,1200,-23%,2%,75%,22%,1%,0%
638,2030,1948,-4%,2%,68%,27%,2%,0%
639,5693,2628,-54%,2%,55%,40%,3%,0%
640,6754,4050,-40%,1%,65%,33%,2%,0%
641,1435,1561,9%,0%,81%,18%,1%,0%
642,1185,1169,-1%,2%,72%,25%,2%,0%
643,1865,1203,-35%,4%,63%,32%,1%,0%
644,1256,1199,-5%,1%,69%,28%,2%,0%
645,6700,3325,-50%,1%,66%,31%,2%,0%
646,240,275,15%,20%,53%,26%,1%,0%
647,417,775,86%,1%,75%,23%,1%,0%
648,7419,3394,-54%,2%,63%,34%,2%,0%
649,6988,2803,-60%,2%,61%,35%,2%,0%
651,6383,3922,-39%,1%,60%,36%,3%,0%
652,5897,2590,-56%,2%,70%,26%,2%,0%
653,2363,1757,-26%,3%,62%,34%,2%,0%
655,5921,2342,-60%,3%,62%,33%,2%,0%
656,6102,2430,-60%,2%,59%,36%,3%,0%
657,7621,3791,-50%,2%,57%,39%,2%,0%
658,3182,2715,-15%,1%,65%,31%,3%,0%
659,5904,2883,-51%,1%,67%,30%,2%,0%
660,6136,2559,-58%,2%,58%,37%,2%,0%
661,6729,3131,-53%,2%,59%,36%,3%,0%
662,2144,2013,-6%,1%,67%,29%,2%,0%
663,3510,2216,-37%,3%,63%,31%,2%,0%
664,6079,2559,-58%,2%,65%,31%,2%,0%
665,6081,2269,-63%,2%,70%,26%,2%,0%
666,3508,2706,-23%,2%,57%,38%,3%,0%
667,1444,1699,18%,1%,64%,33%,2%,0%
668,3384,2440,-28%,3%,57%,38%,3%,0%
669,2958,2236,-24%,1%,64%,32%,3%,0%
670,2923,2690,-8%,2%,60%,34%,3%,0%
671,7025,3061,-56%,2%,60%,36%,2%,0%
672,6878,2975,-57%,3%,59%,35%,2%,0%
673,9242,5280,-43%,1%,60%,36%,2%,0%
674,7757,3713,-52%,2%,55%,39%,3%,0%
675,2625,2157,-18%,3%,76%,21%,1%,0%
676,5689,2067,-64%,2%,66%,31%,2%,0%
677,2644,2328,-12%,2%,63%,32%,2%,0%
678,3223,2729,-15%,2%,52%,42%,4%,0%
680,3642,3684,1%,2%,58%,36%,4%,0%
681,1991,1538,-23%,3%,63%,30%,4%,0%
682,8293,5067,-39%,1%,58%,39%,2%,0%
683,2527,1951,-23%,2%,62%,33%,2%,0%
684,2831,2026,-28%,3%,62%,33%,2%,0%
685,3541,3598,2%,2%,61%,33%,4%,0%
686,1570,2090,33%,0%,74%,24%,2%,0%
687,3532,2468,-30%,2%,59%,37%,2%,0%
688,5387,2534,-53%,1%,73%,25%,1%,0%
689,5074,3373,-34%,2%,61%,35%,3%,0%
690,3828,3751,-2%,5%,56%,37%,3%,0%
691,4397,3024,-31%,3%,64%,31%,2%,0%
692,6203,2605,-58%,2%,61%,34%,2%,0%
693,931,715,-23%,2%,63%,33%,2%,0%
694,2542,2304,-9%,2%,67%,30%,1%,0%
695,5016,1681,-66%,2%,65%,31%,2%,0%
696,932,698,-25%,2%,57%,37%,4%,0%
697,7730,4887,-37%,1%,58%,37%,3%,0%
698,4022,2996,-26%,2%,67%,29%,2%,0%
699,7635,3701,-52%,1%,62%,34%,2%,0%
700,1702,1292,-24%,3%,72%,23%,2%,0%
701,6794,2859,-58%,1%,68%,28%,2%,0%
702,7187,2897,-60%,2%,65%,31%,2%,0%
703,7213,2563,-64%,1%,51%,45%,3%,0%
705,7200,4330,-40%,1%,59%,37%,3%,0%
706,6533,3896,-40%,2%,57%,38%,3%,0%
707,1243,1330,7%,3%,75%,20%,1%,0%
708,5509,2261,-59%,1%,63%,33%,3%,0%
709,4976,3315,-33%,3%,54%,39%,4%,0%
710,5951,2645,-56%,1%,66%,32%,2%,0%
711,6751,2777,-59%,2%,59%,36%,3%,0%
712,2645,2251,-15%,3%,59%,35%,2%,0%
713,333,405,22%,1%,63%,33%,3%,0%
714,500,1122,124%,1%,80%,18%,1%,0%
715,3075,2843,-8%,0%,61%,35%,3%,0%
716,1694,1487,-12%,3%,69%,26%,2%,0%
718,3291,3428,4%,2%,60%,35%,4%,0%
719,7509,3498,-53%,1%,63%,33%,3%,0%
720,6742,2813,-58%,3%,67%,29%,2%,0%
721,5740,3358,-41%,2%,57%,39%,2%,0%
722,3826,3082,-19%,2%,58%,36%,3%,0%
723,2213,1823,-18%,1%,69%,26%,3%,0%
724,3333,3127,-6%,3%,56%,38%,3%,0%
725,6782,3714,-45%,2%,58%,37%,4%,0%
726,2076,1441,-31%,3%,67%,28%,2%,0%
727,1782,1351,-24%,3%,73%,23%,1%,0%
728,4351,1340,-69%,0%,75%,24%,1%,0%
729,7582,3126,-59%,2%,64%,32%,2%,0%
730,2423,1853,-24%,2%,74%,22%,1%,0%
731,1633,1481,-9%,1%,79%,19%,1%,0%
733,2030,1575,-22%,2%,74%,22%,2%,0%
734,6672,2910,-56%,2%,56%,39%,3%,0%
735,2759,1946,-29%,3%,62%,32%,3%,0%
736,1570,1299,-17%,5%,67%,26%,1%,0%
737,1670,1957,17%,1%,69%,28%,2%,0%
738,1693,1343,-21%,4%,73%,22%,1%,0%
739,3611,2665,-26%,3%,62%,33%,2%,0%
740,1592,1731,9%,4%,77%,18%,1%,0%
741,6174,2659,-57%,3%,60%,35%,2%,0%
742,6636,3591,-46%,3%,56%,38%,3%,0%
743,5416,2421,-55%,2%,56%,37%,4%,0%
744,8739,5130,-41%,2%,52%,43%,3%,0%
745,2204,1892,-14%,0%,72%,25%,3%,0%
746,2490,2741,10%,1%,61%,35%,3%,0%
748,888,1157,30%,2%,71%,25%,2%,0%
749,1303,1029,-21%,3%,69%,26%,2%,0%
750,430,971,126%,2%,77%,20%,1%,0%
751,423,680,61%,1%,74%,24%,1%,0%
752,7990,5073,-37%,2%,55%,41%,2%,0%
753,6542,2661,-59%,1%,68%,29%,2%,0%
754,3579,3888,9%,2%,55%,40%,4%,0%
755,8383,4270,-49%,2%,55%,40%,3%,0%
756,1868,1569,-16%,2%,76%,20%,1%,0%
757,6378,2715,-57%,2%,58%,38%,2%,0%
758,1916,2071,8%,5%,65%,28%,2%,0%
759,480,792,65%,1%,75%,23%,1%,0%
760,233,237,2%,6%,53%,38%,4%,0%
761,1056,1092,3%,3%,68%,28%,1%,0%
762,1051,1592,51%,1%,88%,11%,1%,0%
764,4660,1849,-60%,2%,76%,19%,2%,0%
765,7308,3752,-49%,1%,61%,36%,2%,0%
766,6670,2989,-55%,3%,63%,33%,2%,0%
767,7423,4314,-42%,3%,58%,35%,4%,0%
768,6967,3340,-52%,2%,58%,38%,2%,0%
769,5229,2451,-53%,2%,63%,34%,1%,0%
770,5713,2262,-60%,2%,63%,32%,2%,0%
771,5189,1740,-66%,1%,66%,31%,2%,0%
772,1835,1312,-29%,1%,60%,34%,4%,0%
773,5122,1401,-73%,2%,63%,32%,2%,0%
774,5989,2594,-57%,1%,73%,23%,2%,0%
775,3056,2661,-13%,1%,68%,29%,2%,0%
776,6462,2813,-56%,1%,69%,28%,2%,0%
777,6077,2496,-59%,2%,60%,35%,2%,0%
778,5145,1989,-61%,4%,58%,37%,2%,0%
779,5074,2253,-56%,2%,52%,43%,3%,0%
780,6469,2576,-60%,2%,59%,36%,2%,0%
781,7219,2832,-61%,3%,57%,38%,2%,0%
782,6622,2699,-59%,2%,59%,35%,3%,0%
783,241,292,21%,2%,61%,34%,3%,0%
784,1518,1253,-17%,5%,68%,25%,1%,0%
785,1930,1384,-28%,3%,67%,28%,2%,0%
786,5268,2107,-60%,2%,61%,36%,2%,0%
787,1955,1749,-11%,0%,69%,28%,3%,0%
788,900,714,-21%,2%,69%,28%,1%,0%
789,7512,2852,-62%,3%,54%,39%,4%,0%
790,4639,1780,-62%,1%,73%,25%,1%,0%
791,6706,2724,-59%,3%,55%,39%,3%,0%
792,304,329,8%,3%,61%,33%,2%,0%
793,5034,1499,-70%,5%,57%,35%,2%,0%
794,5781,2568,-56%,2%,61%,34%,2%,0%
795,899,957,6%,1%,76%,22%,2%,0%
796,6204,2493,-60%,3%,72%,24%,1%,0%
797,5525,1909,-65%,1%,62%,34%,3%,0%
798,408,475,16%,2%,70%,26%,3%,0%
799,5345,2007,-62%,2%,61%,35%,2%,0%
800,2313,2360,2%,1%,66%,29%,3%,0%
801,1646,1465,-11%,2%,72%,24%,1%,0%
802,5098,1806,-65%,4%,70%,24%,1%,0%
803,1056,1723,63%,1%,83%,16%,1%,0%
804,2475,2046,-17%,2%,67%,29%,2%,0%
805,6896,3828,-44%,2%,64%,33%,1%,0%
806,6785,3389,-50%,1%,55%,41%,4%,0%
807,6684,3009,-55%,1%,63%,33%,2%,0%
808,7677,3679,-52%,1%,59%,36%,3%,0%
809,3120,2189,-30%,2%,61%,34%,3%,0%
810,2617,1886,-28%,2%,60%,35%,3%,0%
811,1625,1487,-8%,2%,58%,37%,2%,0%
812,1964,1551,-21%,1%,61%,34%,3%,0%
813,3710,2309,-38%,2%,64%,32%,2%,0%
814,6188,2371,-62%,1%,63%,33%,3%,0%
815,1770,1180,-33%,2%,65%,31%,2%,0%
816,2265,1012,-55%,3%,56%,37%,3%,1%
817,5717,1765,-69%,1%,64%,33%,3%,0%
818,4357,1322,-70%,0%,71%,28%,1%,0%
819,5797,3133,-46%,2%,51%,44%,4%,0%
820,1385,1151,-17%,2%,72%,24%,1%,0%
821,3782,1974,-48%,2%,78%,19%,1%,0%
822,2531,2276,-10%,2%,61%,34%,3%,0%
823,2579,2208,-14%,1%,64%,32%,3%,0%
824,6416,3483,-46%,0%,58%,40%,2%,0%
825,529,579,9%,6%,62%,30%,1%,0%
826,8743,4300,-51%,1%,55%,41%,4%,0%
827,1790,1366,-24%,4%,55%,37%,4%,0%
828,7332,3759,-49%,2%,61%,35%,2%,0%
829,3942,1232,-69%,4%,60%,33%,3%,0%
830,256,272,6%,2%,65%,31%,1%,0%
833,698,938,34%,1%,76%,22%,1%,0%
834,242,632,161%,2%,78%,18%,2%,0%
835,5506,2716,-51%,1%,70%,27%,3%,0%
836,2779,2621,-6%,3%,44%,48%,5%,0%
837,209,235,12%,5%,61%,30%,4%,0%
838,6985,3090,-56%,2%,58%,37%,3%,0%
839,1884,2199,17%,1%,70%,27%,3%,0%
840,36,70,94%,0%,70%,30%,0%,0%
841,264,239,-9%,4%,61%,31%,4%,0%
842,7064,2174,-69%,2%,52%,41%,4%,0%
843,360,415,15%,2%,57%,38%,3%,0%
844,7545,3438,-54%,1%,65%,32%,1%,0%
845,95,182,92%,6%,54%,34%,6%,0%
846,1609,1157,-28%,3%,64%,31%,1%,0%
847,1644,1521,-7%,1%,81%,18%,0%,0%
848,6595,2103,-68%,2%,51%,43%,4%,0%
849,6747,3560,-47%,1%,54%,41%,4%,0%
850,7472,3731,-50%,1%,57%,40%,3%,0%
851,4899,1676,-66%,5%,62%,32%,2%,0%
852,6313,2755,-56%,2%,71%,26%,1%,0%
853,6008,2717,-55%,2%,59%,36%,3%,0%
854,1684,1776,5%,1%,76%,22%,1%,0%
855,1789,1618,-10%,0%,70%,27%,2%,0%
856,5763,2323,-60%,2%,60%,36%,2%,0%
857,4603,1818,-61%,2%,55%,39%,4%,0%
858,579,491,-15%,2%,52%,44%,2%,0%
859,5536,2082,-62%,2%,67%,28%,2%,0%
860,6974,4112,-41%,1%,61%,35%,3%,0%
861,7691,3995,-48%,2%,56%,39%,3%,0%
862,6963,4447,-36%,1%,51%,43%,4%,0%
863,931,998,7%,1%,77%,22%,0%,0%
864,5928,2890,-51%,2%,54%,41%,3%,0%
865,10293,5589,-46%,3%,52%,42%,3%,0%
866,5630,2104,-63%,1%,57%,38%,4%,0%
867,6892,2713,-61%,1%,66%,30%,2%,0%
868,7794,3705,-52%,1%,62%,34%,3%,0%
869,6537,2824,-57%,1%,63%,34%,2%,0%
870,6335,2695,-57%,3%,67%,29%,1%,0%
871,218,245,12%,0%,63%,33%,4%,0%
872,5781,2207,-62%,2%,58%,36%,3%,0%
873,268,221,-18%,5%,60%,33%,2%,0%
874,2190,1885,-14%,2%,78%,19%,1%,0%
875,1230,1049,-15%,1%,71%,25%,2%,0%
876,4315,1489,-65%,3%,78%,19%,1%,0%
877,6469,2800,-57%,2%,68%,28%,2%,0%
878,7024,3625,-48%,2%,55%,42%,1%,0%
879,1531,1453,-5%,2%,65%,30%,2%,0%
880,2417,1877,-22%,2%,55%,38%,5%,0%
881,7242,2938,-59%,2%,56%,40%,3%,0%
882,4652,1970,-58%,1%,80%,18%,1%,0%
884,6611,2821,-57%,1%,62%,35%,2%,0%
885,500,607,21%,1%,71%,27%,1%,0%
886,6028,2538,-58%,1%,70%,27%,2%,0%
887,1471,1154,-22%,3%,60%,36%,2%,0%
888,333,610,83%,1%,80%,18%,2%,0%
889,2081,2363,14%,2%,54%,41%,3%,0%
890,9510,4354,-54%,2%,58%,37%,3%,0%
891,2873,1929,-33%,4%,60%,34%,2%,0%
892,7985,3937,-51%,1%,61%,35%,2%,0%
893,85,164,93%,4%,59%,36%,1%,0%
894,5852,3021,-48%,1%,56%,39%,4%,0%
895,226,177,-22%,1%,65%,30%,5%,0%
896,6622,3080,-53%,2%,56%,38%,3%,0%
897,1176,662,-44%,1%,56%,39%,3%,0%
898,975,720,-26%,1%,66%,32%,1%,0%
899,5638,2808,-50%,1%,57%,38%,4%,0%
900,728,729,0%,2%,74%,23%,0%,0%
901,6323,3018,-52%,2%,58%,38%,2%,0%
902,5801,1989,-66%,2%,65%,31%,2%,0%
903,1013,1319,30%,1%,77%,21%,1%,0%
904,2494,2028,-19%,3%,61%,33%,3%,0%
905,6232,3338,-46%,1%,61%,37%,1%,0%
906,12204,6197,-49%,0%,58%,37%,4%,0%
907,4695,2052,-56%,1%,66%,30%,2%,0%
908,5693,1947,-66%,0%,64%,32%,3%,0%
909,6565,3375,-49%,2%,63%,33%,2%,0%
910,5588,2315,-59%,2%,69%,28%,1%,0%
911,5537,2925,-47%,3%,76%,21%,1%,0%
912,1936,1445,-25%,1%,72%,25%,3%,0%
913,5279,1884,-64%,2%,72%,25%,1%,0%
914,1192,948,-20%,2%,72%,24%,2%,0%
915,5410,2174,-60%,1%,64%,32%,3%,0%
916,6482,3202,-51%,2%,67%,29%,2%,0%
917,371,535,44%,2%,73%,24%,2%,0%
918,2642,2135,-19%,2%,64%,31%,3%,0%
919,5712,2552,-55%,1%,59%,37%,3%,0%
920,103,90,-13%,0%,61%,39%,0%,0%
921,551,694,26%,4%,69%,27%,1%,0%
922,3223,2269,-30%,3%,59%,36%,2%,0%
923,7488,3915,-48%,2%,60%,35%,2%,0%
924,5757,2260,-61%,3%,68%,28%,1%,0%
925,1082,1046,-3%,1%,52%,42%,5%,0%
927,2939,2218,-25%,2%,66%,30%,3%,0%
928,10322,8181,-21%,2%,52%,43%,3%,0%
929,6462,2589,-60%,2%,62%,33%,2%,0%
930,1248,1375,10%,1%,80%,18%,1%,0%
931,5674,2619,-54%,2%,66%,31%,2%,0%
932,6866,3182,-54%,1%,64%,31%,3%,0%
933,495,613,24%,6%,67%,25%,2%,0%
934,5750,2420,-58%,1%,62%,35%,2%,0%
935,6158,2677,-57%,2%,66%,31%,1%,0%
936,3846,2391,-38%,2%,63%,33%,2%,0%
937,5548,2200,-60%,1%,61%,37%,1%,0%
938,4601,2048,-55%,1%,80%,18%,0%,0%
939,2458,2801,14%,2%,58%,36%,4%,0%
940,5425,2449,-55%,2%,61%,35%,2%,0%
941,7704,4457,-42%,2%,55%,40%,3%,0%
942,6938,4044,-42%,1%,53%,42%,3%,0%
943,7310,4468,-39%,1%,59%,37%,2%,0%
944,3924,2827,-28%,3%,51%,42%,4%,0%
945,5870,2881,-51%,2%,55%,40%,4%,0%
947,7962,3372,-58%,1%,60%,36%,3%,0%
948,6007,2885,-52%,2%,58%,38%,2%,0%
950,6078,2639,-57%,2%,59%,36%,3%,0%
951,368,431,17%,2%,69%,29%,0%,0%
952,1839,1806,-2%,3%,54%,39%,4%,0%
953,7107,3298,-54%,1%,59%,38%,1%,0%
954,958,921,-4%,1%,78%,21%,1%,0%
955,6293,3442,-45%,1%,58%,37%,4%,0%
956,4744,1729,-64%,1%,61%,37%,1%,0%
957,263,257,-2%,4%,60%,33%,4%,0%
958,5071,2284,-55%,2%,73%,23%,1%,0%
959,4935,2036,-59%,2%,64%,31%,3%,0%
960,1986,1764,-11%,2%,55%,40%,4%,0%
961,4706,1769,-62%,2%,68%,28%,2%,0%
962,4560,1533,-66%,0%,71%,28%,2%,0%
963,7043,2835,-60%,2%,59%,36%,3%,0%
964,9097,4059,-55%,1%,53%,41%,5%,0%
965,1662,1231,-26%,2%,69%,28%,1%,0%
966,6273,2524,-60%,1%,63%,34%,3%,0%
967,7249,3804,-48%,1%,56%,40%,3%,0%
968,6189,2439,-61%,2%,58%,36%,3%,0%
969,5527,2160,-61%,1%,54%,41%,3%,0%
970,7117,2654,-63%,2%,57%,39%,2%,0%
971,526,894,70%,2%,79%,19%,0%,0%
972,6220,3165,-49%,1%,56%,39%,3%,0%
973,4882,1799,-63%,1%,58%,38%,3%,0%
974,7101,3535,-50%,1%,57%,38%,3%,0%
975,3678,3103,-16%,2%,59%,36%,3%,0%
976,1872,1235,-34%,2%,74%,22%,1%,0%
977,517,669,29%,3%,64%,32%,0%,0%
978,3810,924,-76%,2%,69%,28%,1%,0%
979,1221,1208,-1%,2%,75%,22%,1%,0%
980,6408,3061,-52%,1%,61%,36%,2%,0%
981,2707,1989,-27%,3%,62%,33%,2%,0%
982,947,1333,41%,1%,75%,23%,1%,0%
984,7564,3830,-49%,2%,62%,35%,1%,0%
985,437,900,106%,2%,79%,19%,1%,0%
986,371,373,1%,2%,65%,31%,2%,0%
987,5642,2327,-59%,1%,61%,36%,2%,0%
988,10107,6902,-32%,1%,56%,40%,2%,0%
989,7458,4562,-39%,0%,56%,41%,3%,0%
990,10018,5025,-50%,2%,53%,42%,3%,0%
991,5487,1846,-66%,1%,65%,31%,2%,0%
992,4385,1246,-72%,3%,60%,33%,3%,0%
993,4536,1441,-68%,3%,72%,24%,1%,0%
994,9802,6290,-36%,1%,56%,40%,3%,0%
995,6431,2461,-62%,2%,67%,29%,2%,0%
996,539,615,14%,2%,66%,30%,2%,0%
998,61,68,11%,0%,71%,29%,0%,0%
999,7082,2625,-63%,2%,54%,39%,4%,0%
1000,6110,2751,-55%,2%,60%,32%,5%,1%
1001,7022,3354,-52%,2%,56%,39%,2%,0%
1002,5003,1477,-70%,2%,67%,30%,1%,0%
1003,5990,2498,-58%,2%,69%,27%,1%,0%
1004,5608,2507,-55%,1%,55%,42%,3%,0%
1005,2079,1239,-40%,2%,69%,28%,0%,0%
1006,1688,1507,-11%,2%,61%,34%,2%,0%
1007,1380,1351,-2%,2%,75%,23%,1%,0%
1008,6079,2552,-58%,3%,64%,33%,1%,0%
1009,6317,2304,-64%,3%,61%,35%,2%,0%
1010,5532,2270,-59%,5%,60%,32%,3%,0%
1011,6081,3408,-44%,2%,49%,46%,3%,0%
1012,6160,2169,-65%,2%,64%,33%,1%,0%
1013,726,524,-28%,2%,66%,31%,1%,0%
1014,7742,4385,-43%,1%,62%,35%,2%,0%
1015,7971,4708,-41%,1%,52%,43%,3%,0%
1016,6828,3023,-56%,2%,58%,38%,2%,0%
1017,1171,1107,-5%,2%,68%,28%,2%,0%
1018,1644,1341,-18%,3%,60%,35%,2%,0%
1019,5938,2376,-60%,3%,66%,31%,1%,0%
1020,1692,1252,-26%,1%,69%,27%,2%,0%
1021,4519,1437,-68%,3%,74%,23%,1%,0%
1022,4723,1701,-64%,3%,66%,28%,3%,0%
1023,3183,2586,-19%,2%,66%,30%,2%,0%
1024,1818,1664,-8%,2%,62%,33%,3%,0%
1025,2779,2363,-15%,3%,63%,31%,3%,0%
1026,6571,2679,-59%,3%,57%,37%,2%,0%
1027,6390,3193,-50%,1%,65%,32%,2%,0%
1028,5169,1796,-65%,2%,67%,29%,2%,0%
1029,4675,1653,-65%,2%,63%,33%,2%,0%
1030,2690,2068,-23%,2%,58%,38%,2%,0%
1032,7518,2922,-61%,2%,60%,36%,2%,0%
1033,2900,2330,-20%,2%,72%,25%,1%,0%
1034,7224,3451,-52%,2%,64%,31%,3%,0%
1035,6171,3071,-50%,1%,55%,41%,3%,0%
1036,3741,3537,-5%,2%,54%,40%,3%,0%
1037,6579,3419,-48%,2%,52%,43%,3%,0%
1038,447,895,100%,5%,73%,20%,1%,0%
1039,3917,2597,-34%,3%,59%,35%,3%,0%
1040,7905,3342,-58%,1%,56%,39%,4%,0%
1041,7283,3243,-55%,2%,57%,36%,5%,0%
1042,7144,2813,-61%,2%,55%,40%,3%,0%
1043,493,647,31%,2%,72%,24%,2%,0%
1044,5959,2415,-59%,2%,63%,33%,2%,0%
1045,6008,3007,-50%,1%,65%,33%,1%,0%
1046,486,448,-8%,4%,56%,37%,3%,0%
1047,2343,2647,13%,3%,64%,29%,4%,0%
1048,2000,1605,-20%,2%,70%,26%,2%,0%
1051,4539,1460,-68%,3%,62%,32%,2%,0%
1052,963,1001,4%,1%,71%,26%,1%,0%
1053,6375,2597,-59%,2%,70%,26%,1%,0%
1054,4085,1434,-65%,2%,71%,26%,1%,0%
1055,7133,3486,-51%,2%,57%,39%,3%,0%
1056,2127,1818,-15%,2%,65%,31%,2%,0%
1057,661,606,-8%,1%,73%,25%,1%,0%
1058,6063,2589,-57%,1%,69%,28%,1%,0%
1059,1259,1482,18%,2%,76%,21%,2%,0%
1060,6446,2628,-59%,2%,63%,33%,2%,0%
1061,429,755,76%,2%,68%,28%,2%,0%
1062,7752,3377,-56%,2%,54%,41%,3%,0%
1063,251,251,0%,5%,59%,33%,4%,0%
1064,5781,1995,-65%,2%,61%,34%,3%,0%
1065,1907,1366,-28%,1%,78%,19%,1%,0%
1066,5990,2004,-67%,2%,63%,32%,3%,0%
1067,133,172,29%,1%,54%,38%,6%,1%
1068,4302,1436,-67%,3%,66%,29%,1%,0%
1069,214,385,80%,4%,74%,20%,2%,0%
1070,3170,2040,-36%,4%,63%,31%,2%,0%
1071,7240,3002,-59%,2%,63%,33%,2%,0%
1072,3497,3663,5%,2%,62%,32%,3%,0%
1073,3733,813,-78%,5%,65%,29%,1%,0%
1074,6064,1498,-75%,4%,54%,38%,3%,0%
1075,8312,3737,-55%,1%,55%,40%,3%,0%
1076,1582,1708,8%,0%,59%,37%,3%,0%
1077,4263,1640,-62%,0%,62%,35%,3%,0%
1078,340,366,8%,2%,72%,24%,2%,0%
1079,5908,3135,-47%,3%,55%,40%,3%,0%
1080,7443,4484,-40%,2%,60%,35%,3%,0%
1081,7137,4169,-42%,1%,55%,41%,3%,0%
1082,7393,4465,-40%,2%,58%,38%,2%,0%
1083,6773,4496,-34%,1%,61%,35%,3%,0%
1084,1108,1141,3%,1%,64%,33%,2%,0%
1085,6164,3525,-43%,1%,57%,39%,3%,0%
1086,7263,3396,-53%,2%,61%,34%,3%,0%
1087,6339,2640,-58%,2%,59%,37%,2%,0%
1088,4847,2043,-58%,3%,69%,27%,1%,0%
1089,6066,2344,-61%,1%,66%,30%,3%,0%
