Store NBR,LY,TY,YOY Case QTY,Feature Wave WK27,SET Wave WK31,Replen Wave WK33,Replen Wave WK35,Replen Wave WK36
122,584,900,54%,3%,76%,20%,1%,0%
123,1565,1215,-22%,1%,70%,27%,2%,0%
124,1835,1960,7%,0%,80%,18%,2%,0%
125,7066,2689,-62%,1%,61%,35%,3%,0%
126,4556,1706,-63%,0%,75%,23%,1%,0%
127,1395,1082,-22%,1%,72%,25%,2%,0%
128,1716,1357,-21%,2%,61%,34%,2%,0%
129,3665,2440,-33%,2%,58%,37%,3%,0%
130,6940,3100,-55%,1%,65%,31%,3%,0%
131,3902,2607,-33%,3%,61%,33%,3%,0%
132,406,587,45%,3%,70%,25%,2%,0%
133,253,406,60%,0%,78%,22%,0%,0%
134,5423,2144,-60%,2%,66%,30%,2%,0%
135,1594,1629,2%,2%,71%,27%,1%,0%
136,202,232,15%,6%,62%,28%,4%,0%
137,5156,1915,-63%,1%,58%,38%,3%,0%
138,5886,2617,-56%,1%,69%,28%,1%,0%
139,1977,1775,-10%,2%,75%,21%,1%,0%
140,7917,3176,-60%,3%,55%,38%,4%,0%
141,6549,2553,-61%,2%,63%,33%,3%,0%
143,1579,1472,-7%,4%,69%,27%,1%,0%
144,7762,3416,-56%,2%,60%,35%,3%,0%
145,528,666,26%,2%,68%,29%,2%,0%
146,1046,896,-14%,2%,62%,34%,2%,0%
147,1544,1371,-11%,4%,63%,32%,2%,0%
148,2808,1999,-29%,2%,62%,34%,3%,0%
149,373,799,114%,2%,81%,16%,1%,0%
150,1968,1819,-8%,3%,72%,24%,1%,0%
151,7318,3173,-57%,2%,64%,31%,3%,0%
152,5411,2015,-63%,2%,65%,32%,1%,0%
153,922,1088,18%,1%,71%,26%,1%,0%
154,3885,2782,-28%,2%,68%,27%,2%,0%
155,1681,1102,-34%,5%,59%,34%,2%,0%
157,4123,3079,-25%,2%,60%,36%,2%,0%
158,1139,1012,-11%,3%,72%,24%,1%,0%
159,5811,3207,-45%,1%,67%,30%,2%,0%
160,1300,1036,-20%,3%,72%,24%,2%,0%
161,921,902,-2%,2%,76%,21%,1%,0%
162,1043,864,-17%,1%,75%,22%,1%,0%
163,6233,2732,-56%,2%,60%,35%,3%,0%
164,2107,1574,-25%,3%,63%,31%,3%,0%
165,2343,1559,-33%,5%,59%,33%,2%,0%
166,935,786,-16%,3%,75%,22%,1%,0%
167,1519,1257,-17%,2%,77%,20%,1%,0%
168,7442,4018,-46%,2%,56%,40%,2%,0%
169,362,587,62%,2%,76%,20%,1%,0%
170,5267,1982,-62%,1%,69%,27%,2%,0%
171,1953,1924,-1%,1%,83%,14%,1%,0%
172,5504,2426,-56%,1%,71%,27%,1%,0%
173,1138,943,-17%,3%,68%,28%,1%,0%
174,5390,2122,-61%,1%,66%,31%,2%,0%
175,6768,2725,-60%,1%,66%,31%,2%,0%
176,474,749,58%,1%,72%,25%,2%,0%
177,2601,2103,-19%,3%,63%,32%,2%,0%
178,455,846,86%,2%,79%,18%,0%,0%
179,1644,1611,-2%,2%,64%,31%,3%,0%
180,2720,1902,-30%,2%,65%,31%,2%,0%
