Store,City and State,Launch Date
2,"Harrison, AR",Wed 08 31 2022
9,"Sikeston, MO",Wed 08 31 2022
14,"Lebanon, MO",Wed 08 24 2022
28,"Miami, OK",Wed 08 31 2022
61,"Warrensburg, MO",Wed 08 31 2022
71,"Pocahontas, AR",Wed 08 31 2022
72,"Pittsburg, KS",Wed 08 31 2022
89,"Camdenton, MO",Wed 08 31 2022
93,"Covington, TN",Wed 08 10 2022
139,"Purcell, OK",Wed 08 31 2022
152,"De Soto, MO",Wed 08 31 2022
186,"El Dorado, KS",Wed 08 31 2022
195,"Excelsior Springs, MO",Wed 08 24 2022
197,"Macomb, IL",Wed 08 24 2022
198,"Salem, IL",Wed 08 17 2022
200,"Jacksonville, IL",Wed 08 24 2022
218,"Selmer, TN",Wed 08 10 2022
219,"Sedalia, MO",Wed 08 10 2022
220,"Burleson, TX",Wed 08 10 2022
221,"Yukon, OK",Wed 08 10 2022
224,"Mount Vernon, IL",Wed 08 24 2022
227,"El Reno, OK",Wed 08 31 2022
228,"Cleburne, TX",Wed 08 10 2022
231,"Ada, OK",Wed 08 10 2022
246,"Skiatook, OK",Wed 08 31 2022
262,"Benton, IL",Wed 08 24 2022
282,"Franklin, KY",Wed 08 31 2022
294,"Central City, KY",Wed 08 31 2022
314,"Fayetteville, TN",Wed 08 10 2022
346,"Augusta, KS",Wed 08 31 2022
424,"Clanton, AL",Wed 08 10 2022
432,"Talladega, AL",Wed 08 10 2022
481,"Mattoon, IL",Wed 08 24 2022
519,"Harrodsburg, KY",Wed 08 17 2022
530,"El Dorado, AR",Wed 08 31 2022
549,"Hobbs, NM",Wed 08 31 2022
609,"Hannibal, MO",Wed 08 24 2022
612,"Charleston, IL",Wed 08 24 2022
726,"Alexander City, AL",Wed 08 10 2022
735,"Winchester, TN",Wed 08 10 2022
739,"Middlesboro, KY",Wed 08 31 2022
775,"Galesburg, IL",Wed 08 24 2022
796,"Peru, IL",Wed 08 24 2022
816,"Brookhaven, MS",Wed 08 10 2022
868,"Carlsbad, NM",Wed 08 31 2022
874,"Natchez, MS",Wed 08 10 2022
891,"Sterling, IL",Wed 08 24 2022
902,"Greencastle, IN",Wed 08 24 2022
922,"Corydon, IN",Wed 08 24 2022
936,"Effingham, IL",Wed 08 24 2022
1023,"Galax, VA",Wed 08 17 2022
1058,"Montrose, CO",Wed 08 31 2022
1101,"Wetumpka, AL",Wed 08 10 2022
1106,"Vidalia, LA",Wed 08 10 2022
1116,"Duncan, OK",Wed 08 31 2022
1211,"Harvard, IL",Wed 08 24 2022
