Legacy Store,Item,Tracking Number,Carrier
1,ACC RFID Labels,563213480116,FedEx
1,ACC RFID Welcome Kit,563213480116,FedEx
10,ACC RFID Labels,575017246597,FedEx
10,ACC RFID Welcome Kit,575017246597,FedEx
100,ACC RFID Welcome Kit,563213500328,FedEx
1000,ACC RFID Labels,575017250898,FedEx
1000,ACC RFID Welcome Kit,575017263188,FedEx
1004,ACC RFID Welcome Kit,593437399974,FedEx
1006,ACC RFID Welcome Kit,563213496939,FedEx
101,ACC RFID Welcome Kit,593437412883,FedEx
1010,ACC RFID Welcome Kit,563213496972,FedEx
1011,ACC RFID Welcome Kit,563213496917,FedEx
1016,ACC RFID Labels,575017250887,FedEx
1016,ACC RFID Welcome Kit,575017263199,FedEx
1017,ACC RFID Welcome Kit,563213496983,FedEx
1018,ACC RFID Welcome Kit,593437400055,FedEx
1022,ACC RFID Labels,563213452138,FedEx
1022,ACC RFID Welcome Kit,563213452138,FedEx
1024,ACC RFID Welcome Kit,593437400033,FedEx
1025,ACC RFID Labels,575017250681,FedEx
1025,ACC RFID Welcome Kit,575017263166,FedEx
1027,ACC RFID Welcome Kit,563213496928,FedEx
103,ACC RFID Labels,575017246645,FedEx
103,ACC RFID Welcome Kit,575017246645,FedEx
1030,ACC RFID Welcome Kit,593437400662,FedEx
1034,ACC RFID Welcome Kit,563213497019,FedEx
1035,ACC RFID Welcome Kit,563213497020,FedEx
1036,ACC RFID Welcome Kit,563213497383,FedEx
1037,ACC RFID Welcome Kit,563213497269,FedEx
1039,ACC RFID Welcome Kit,563213497328,FedEx
104,ACC RFID Welcome Kit,593437412806,FedEx
1040,ACC RFID Labels,575017250832,FedEx
1040,ACC RFID Welcome Kit,575017263214,FedEx
1041,ACC RFID Labels,575017250821,FedEx
1041,ACC RFID Welcome Kit,575017263177,FedEx
1042,ACC RFID Labels,575017250843,FedEx
1042,ACC RFID Welcome Kit,575017263225,FedEx
1043,ACC RFID Labels,575017250810,FedEx
1043,ACC RFID Welcome Kit,575017261760,FedEx
1044,ACC RFID Labels,575017228495,FedEx
1044,ACC RFID Welcome Kit,575017228495,FedEx
105,ACC RFID Welcome Kit,563213500225,FedEx
1051,ACC RFID Labels,575017250800,FedEx
1051,ACC RFID Welcome Kit,575017261759,FedEx
1055,ACC RFID Labels,575017228500,FedEx
1055,ACC RFID Welcome Kit,575017228500,FedEx
1056,ACC RFID Labels,575017250795,FedEx
1056,ACC RFID Welcome Kit,153333336911,FedEx
1059,ACC RFID Welcome Kit,563213497339,FedEx
1062,ACC RFID Labels,575017251004,FedEx
1062,ACC RFID Welcome Kit,153333336830,FedEx
1064,ACC RFID Welcome Kit,563213497280,FedEx
1065,ACC RFID Welcome Kit,563213497317,FedEx
1066,ACC RFID Labels,575017250670,FedEx
1066,ACC RFID Welcome Kit,575017250670,FedEx
1068,ACC RFID Welcome Kit,563213497372,FedEx
107,ACC RFID Welcome Kit,593437412839,FedEx
1070,ACC RFID Welcome Kit,563213498714,FedEx
1071,ACC RFID Welcome Kit,593437402724,FedEx
1072,ACC RFID Welcome Kit,563213497291,FedEx
1074,ACC RFID Welcome Kit,563213496869,FedEx
1075,ACC RFID Welcome Kit,563213496814,FedEx
1076,ACC RFID Welcome Kit,563213496847,FedEx
108,ACC RFID Labels,575017246461,FedEx
108,ACC RFID Welcome Kit,575017246461,FedEx
1080,ACC RFID Welcome Kit,563213497350,FedEx
1081,ACC RFID Welcome Kit,563213497008,FedEx
1085,ACC RFID Welcome Kit,563213496950,FedEx
1086,ACC RFID Welcome Kit,563213496870,FedEx
1087,ACC RFID Welcome Kit,563213496880,FedEx
1089,ACC RFID Welcome Kit,563213496836,FedEx
109,ACC RFID Welcome Kit,593437412703,FedEx
1090,ACC RFID Welcome Kit,563213498574,FedEx
1091,ACC RFID Welcome Kit,563213498703,FedEx
1096,ACC RFID Welcome Kit,563213498725,FedEx
1097,ACC RFID Welcome Kit,563213496803,FedEx
1098,ACC RFID Labels,575017250990,FedEx
1099,ACC RFID Labels,575017250980,FedEx
1099,ACC RFID Welcome Kit,575017263410,FedEx
11,ACC RFID Labels,563213480024,FedEx
11,ACC RFID Welcome Kit,563213480024,FedEx
110,ACC RFID Welcome Kit,563213500280,FedEx
1100,ACC RFID Welcome Kit,563213497361,FedEx
1101,ACC RFID Welcome Kit,563213496825,FedEx
1102,ACC RFID Labels,575017250979,FedEx
1102,ACC RFID Welcome Kit,575017263420,FedEx
1103,ACC RFID Labels,575017250968,FedEx
1103,ACC RFID Welcome Kit,575017250968,FedEx
1104,ACC RFID Welcome Kit,563213496799,FedEx
1105,ACC RFID Welcome Kit,563213496906,FedEx
1107,ACC RFID Labels,575017250957,FedEx
1107,ACC RFID Welcome Kit,575017250957,FedEx
111,ACC RFID Labels,575017246601,FedEx
111,ACC RFID Welcome Kit,575017246601,FedEx
1111,ACC RFID Welcome Kit,563213496940,FedEx
1112,ACC RFID Welcome Kit,563213496961,FedEx
1114,ACC RFID Welcome Kit,563213497041,FedEx
1116,ACC RFID Labels,575017250946,FedEx
1116,ACC RFID Welcome Kit,575017265055,FedEx
1117,ACC RFID Labels,575017228521,FedEx
1117,ACC RFID Welcome Kit,575017228521,FedEx
1118,ACC RFID Labels,575017224618,FedEx
112,ACC RFID Welcome Kit,563213500122,FedEx
1121,ACC RFID Welcome Kit,563213497052,FedEx
1122,ACC RFID Welcome Kit,563213496891,FedEx
1126,ACC RFID Labels,575017250876,FedEx
1126,ACC RFID Welcome Kit,575017265890,FedEx
1128,ACC RFID Labels,575017250784,FedEx
1128,ACC RFID Welcome Kit,575017265857,FedEx
1129,ACC RFID Labels,575017228510,FedEx
1129,ACC RFID Welcome Kit,575017228510,FedEx
113,ACC RFID Labels,575017246472,FedEx
113,ACC RFID Welcome Kit,575017246472,FedEx
1136,ACC RFID Labels,575017250865,FedEx
1136,ACC RFID Welcome Kit,575017264482,FedEx
1148,ACC RFID Labels,575017250773,FedEx
1148,ACC RFID Welcome Kit,575017253555,FedEx
1149,ACC RFID Labels,575017250692,FedEx
1149,ACC RFID Welcome Kit,575017265824,FedEx
1150,ACC RFID Labels,575017250762,FedEx
1150,ACC RFID Welcome Kit,575017265879,FedEx
1154,ACC RFID Labels,575017250854,FedEx
1154,ACC RFID Welcome Kit,575017265905,FedEx
1163,ACC RFID Labels,575017250751,FedEx
1163,ACC RFID Welcome Kit,575017265732,FedEx
1168,ACC RFID Labels,575017265710,FedEx
1168,ACC RFID Welcome Kit,575017265743,FedEx
1178,ACC RFID Labels,575017229116,FedEx
1178,ACC RFID Welcome Kit,575017229116,FedEx
118,ACC RFID Welcome Kit,563213504036,FedEx
1185,ACC RFID Labels,575017228484,FedEx
1185,ACC RFID Welcome Kit,575017228484,FedEx
1186,ACC RFID Labels,575017265721,FedEx
1186,ACC RFID Welcome Kit,575017265868,FedEx
1187,ACC RFID Labels,575017265651,FedEx
1187,ACC RFID Welcome Kit,575017265846,FedEx
119,ACC RFID Welcome Kit,563213500144,FedEx
1191,ACC RFID Welcome Kit,563213499170,FedEx
1192,ACC RFID Labels,575017265640,FedEx
1192,ACC RFID Welcome Kit,575017265880,FedEx
1193,ACC RFID Welcome Kit,563213498622,FedEx
1195,ACC RFID Labels,575017265695,FedEx
1195,ACC RFID Welcome Kit,575017264633,FedEx
1196,ACC RFID Labels,575017265700,FedEx
1196,ACC RFID Welcome Kit,575017264770,FedEx
1197,ACC RFID Welcome Kit,563213498747,FedEx
1198,ACC RFID Labels,575017265240,FedEx
1198,ACC RFID Welcome Kit,575017264471,FedEx
12,ACC RFID Labels,575017246509,FedEx
12,ACC RFID Welcome Kit,575017246509,FedEx
120,ACC RFID Welcome Kit,593437412828,FedEx
1201,ACC RFID Welcome Kit,563213498460,FedEx
1203,ACC RFID Welcome Kit,563213499114,FedEx
1204,ACC RFID Labels,575017265515,FedEx
1204,ACC RFID Welcome Kit,575017264758,FedEx
1205,ACC RFID Welcome Kit,563213498563,FedEx
1206,ACC RFID Labels,575017265673,FedEx
1206,ACC RFID Welcome Kit,575017264611,FedEx
1207,ACC RFID Welcome Kit,563213499250,FedEx
1209,ACC RFID Welcome Kit,563213498596,FedEx
121,ACC RFID Labels,575017246483,FedEx
121,ACC RFID Welcome Kit,575017246483,FedEx
1212,ACC RFID Welcome Kit,563213498736,FedEx
1213,ACC RFID Welcome Kit,563213498699,FedEx
1215,ACC RFID Welcome Kit,563213498633,FedEx
1216,ACC RFID Labels,575017229182,FedEx
1216,ACC RFID Welcome Kit,575017229182,FedEx
1218,ACC RFID Labels,575017265478,FedEx
1218,ACC RFID Welcome Kit,575017265478,FedEx
1219,ACC RFID Welcome Kit,563213499125,FedEx
1220,ACC RFID Welcome Kit,563213498769,FedEx
1221,ACC RFID Labels,575017265504,FedEx
1221,ACC RFID Welcome Kit,575017264644,FedEx
1222,ACC RFID Welcome Kit,563213498758,FedEx
1223,ACC RFID Welcome Kit,563213498644,FedEx
1224,ACC RFID Welcome Kit,563213498416,FedEx
1225,ACC RFID Welcome Kit,563213498471,FedEx
1226,ACC RFID Welcome Kit,563213498427,FedEx
1227,ACC RFID Welcome Kit,563213498541,FedEx
1229,ACC RFID Welcome Kit,563213498380,FedEx
123,ACC RFID Labels,575017246575,FedEx
123,ACC RFID Welcome Kit,575017246575,FedEx
1230,ACC RFID Labels,575017265206,FedEx
1230,ACC RFID Welcome Kit,575017265206,FedEx
1232,ACC RFID Labels,575017229160,FedEx
1232,ACC RFID Welcome Kit,575017229160,FedEx
1235,ACC RFID Labels,575017265560,FedEx
1235,ACC RFID Welcome Kit,575017264596,FedEx
1237,ACC RFID Welcome Kit,563213497420,FedEx
1238,ACC RFID Welcome Kit,563213498493,FedEx
124,ACC RFID Welcome Kit,593437403580,FedEx
1242,ACC RFID Welcome Kit,563213497453,FedEx
1243,ACC RFID Welcome Kit,563213497567,FedEx
1244,ACC RFID Welcome Kit,563213497497,FedEx
1245,ACC RFID Welcome Kit,563213497589,FedEx
1248,ACC RFID Welcome Kit,563213497431,FedEx
1249,ACC RFID Labels,575017229171,FedEx
1249,ACC RFID Welcome Kit,575017229171,FedEx
125,ACC RFID Welcome Kit,593437403694,FedEx
1253,ACC RFID Labels,575017228944,FedEx
1253,ACC RFID Welcome Kit,575017228944,FedEx
1254,ACC RFID Labels,575017228966,FedEx
1254,ACC RFID Welcome Kit,575017228966,FedEx
1255,ACC RFID Welcome Kit,563213497545,FedEx
1260,ACC RFID Labels,575017265217,FedEx
1260,ACC RFID Welcome Kit,575017265467,FedEx
1261,ACC RFID Welcome Kit,563213498450,FedEx
1266,ACC RFID Labels,575017265537,FedEx
1266,ACC RFID Welcome Kit,575017265456,FedEx
1268,ACC RFID Welcome Kit,563213498552,FedEx
127,ACC RFID Welcome Kit,593437403856,FedEx
1270,ACC RFID Welcome Kit,563213498530,FedEx
1271,ACC RFID Welcome Kit,563213498611,FedEx
1279,ACC RFID Labels,575017265228,FedEx
1279,ACC RFID Welcome Kit,575017265342,FedEx
128,ACC RFID Welcome Kit,593437403570,FedEx
1281,ACC RFID Welcome Kit,563213498688,FedEx
1283,ACC RFID Welcome Kit,563213498677,FedEx
1284,ACC RFID Welcome Kit,563213498585,FedEx
1286,ACC RFID Welcome Kit,563213498449,FedEx
1288,ACC RFID Welcome Kit,563213498482,FedEx
129,ACC RFID Labels,575017246726,FedEx
129,ACC RFID Welcome Kit,575017246726,FedEx
1291,ACC RFID Labels,575017265526,FedEx
1291,ACC RFID Welcome Kit,575017265250,FedEx
1292,ACC RFID Welcome Kit,563213498508,FedEx
1296,ACC RFID Labels,575017265239,FedEx
1296,ACC RFID Welcome Kit,575017265310,FedEx
1297,ACC RFID Welcome Kit,563213498438,FedEx
1299,ACC RFID Labels,575017265490,FedEx
1299,ACC RFID Welcome Kit,575017265261,FedEx
13,ACC RFID Labels,563213480090,FedEx
13,ACC RFID Welcome Kit,563213480090,FedEx
130,ACC RFID Labels,575017246704,FedEx
130,ACC RFID Welcome Kit,575017246704,FedEx
1303,ACC RFID Labels,575017229127,FedEx
1303,ACC RFID Welcome Kit,575017229127,FedEx
1306,ACC RFID Labels,575017265180,FedEx
1306,ACC RFID Welcome Kit,575017253599,FedEx
131,ACC RFID Labels,575017246715,FedEx
131,ACC RFID Welcome Kit,575017246715,FedEx
1311,ACC RFID Welcome Kit,563213498405,FedEx
1312,ACC RFID Welcome Kit,563213498600,FedEx
1313,ACC RFID Labels,575017265570,FedEx
1313,ACC RFID Welcome Kit,575017265320,FedEx
1314,ACC RFID Welcome Kit,563213497475,FedEx
1317,ACC RFID Welcome Kit,563213497512,FedEx
1318,ACC RFID Welcome Kit,563213497626,FedEx
1319,ACC RFID Welcome Kit,563213497409,FedEx
1320,ACC RFID Welcome Kit,563213497578,FedEx
1321,ACC RFID Welcome Kit,563213498390,FedEx
1322,ACC RFID Welcome Kit,563213497648,FedEx
1324,ACC RFID Labels,575017265559,FedEx
1324,ACC RFID Welcome Kit,575017265272,FedEx
1328,ACC RFID Labels,575017265548,FedEx
1328,ACC RFID Welcome Kit,575017265331,FedEx
1338,ACC RFID Welcome Kit,563213497637,FedEx
1339,ACC RFID Welcome Kit,563213497660,FedEx
1340,ACC RFID Welcome Kit,563213498666,FedEx
1342,ACC RFID Labels,575017265489,FedEx
1342,ACC RFID Welcome Kit,575017265607,FedEx
1344,ACC RFID Welcome Kit,563213498655,FedEx
1346,ACC RFID Labels,575017265169,FedEx
1346,ACC RFID Welcome Kit,575017265386,FedEx
1347,ACC RFID Labels,575017265170,FedEx
1347,ACC RFID Welcome Kit,575017265283,FedEx
1348,ACC RFID Welcome Kit,563213497464,FedEx
135,ACC RFID Welcome Kit,593437412817,FedEx
1353,ACC RFID Labels,575017265581,FedEx
1353,ACC RFID Welcome Kit,575017265066,FedEx
1354,ACC RFID Welcome Kit,563213497670,FedEx
1355,ACC RFID Welcome Kit,563213497442,FedEx
1357,ACC RFID Labels,575017266154,FedEx
1357,ACC RFID Welcome Kit,575017265033,FedEx
1358,ACC RFID Welcome Kit,563213497410,FedEx
1362,ACC RFID Welcome Kit,563213497523,FedEx
1363,ACC RFID Welcome Kit,563213497659,FedEx
1367,ACC RFID Welcome Kit,563213497534,FedEx
137,ACC RFID Labels,575017246689,FedEx
137,ACC RFID Welcome Kit,575017246689,FedEx
1373,ACC RFID Welcome Kit,563213498070,FedEx
1375,ACC RFID Welcome Kit,563213497556,FedEx
1379,ACC RFID Welcome Kit,563213498129,FedEx
138,ACC RFID Welcome Kit,593437412769,FedEx
1381,ACC RFID Labels,575017266176,FedEx
1381,ACC RFID Welcome Kit,575017265114,FedEx
1383,ACC RFID Welcome Kit,563213498195,FedEx
139,ACC RFID Labels,575017246667,FedEx
139,ACC RFID Welcome Kit,575017246667,FedEx
1390,ACC RFID Welcome Kit,593437404223,FedEx
1391,ACC RFID Welcome Kit,593437404094,FedEx
1392,ACC RFID Welcome Kit,593437404289,FedEx
1397,ACC RFID Labels,575017266187,FedEx
1397,ACC RFID Welcome Kit,575017265044,FedEx
1399,ACC RFID Welcome Kit,563213502217,FedEx
14,ACC RFID Welcome Kit,563213504768,FedEx
140,ACC RFID Labels,575017246678,FedEx
140,ACC RFID Welcome Kit,575017246678,FedEx
1400,ACC RFID Welcome Kit,563213502272,FedEx
1405,ACC RFID Labels,575017266165,FedEx
1405,ACC RFID Welcome Kit,153333336841,FedEx
1406,ACC RFID Welcome Kit,593437404131,FedEx
1408,ACC RFID Welcome Kit,593437404278,FedEx
141,ACC RFID Welcome Kit,593437403385,FedEx
1411,ACC RFID Labels,575017266121,FedEx
1411,ACC RFID Welcome Kit,575017266121,FedEx
1414,ACC RFID Labels,575017266224,FedEx
1414,ACC RFID Welcome Kit,153333336999,FedEx
1417,ACC RFID Labels,575017266143,FedEx
1417,ACC RFID Welcome Kit,575017266143,FedEx
1424,ACC RFID Welcome Kit,593437404120,FedEx
143,ACC RFID Welcome Kit,593437412770,FedEx
1438,ACC RFID Labels,575017266132,FedEx
1438,ACC RFID Welcome Kit,153333336863,FedEx
1439,ACC RFID Labels,575017266198,FedEx
1439,ACC RFID Welcome Kit,575017266198,FedEx
144,ACC RFID Welcome Kit,593437403444,FedEx
1442,ACC RFID Labels,575017266202,FedEx
1442,ACC RFID Welcome Kit,153333337046,FedEx
1444,ACC RFID Welcome Kit,563213502342,FedEx
1455,ACC RFID Labels,575017229149,FedEx
1455,ACC RFID Welcome Kit,575017229149,FedEx
1458,ACC RFID Welcome Kit,563213502125,FedEx
1462,ACC RFID Welcome Kit,593437404142,FedEx
1464,ACC RFID Welcome Kit,563213502239,FedEx
1465,ACC RFID Welcome Kit,593437404153,FedEx
1466,ACC RFID Welcome Kit,563213502170,FedEx
1468,ACC RFID Welcome Kit,563213502147,FedEx
1469,ACC RFID Welcome Kit,593437404267,FedEx
147,ACC RFID Labels,575017246690,FedEx
147,ACC RFID Welcome Kit,575017246690,FedEx
148,ACC RFID Labels,575017246759,FedEx
148,ACC RFID Welcome Kit,575017246759,FedEx
1486,ACC RFID Welcome Kit,563213502250,FedEx
1488,ACC RFID Welcome Kit,563213502240,FedEx
1494,ACC RFID Labels,575017266268,FedEx
1494,ACC RFID Welcome Kit,153333337079,FedEx
15,ACC RFID Welcome Kit,563213504724,FedEx
150,ACC RFID Labels,575017246760,FedEx
150,ACC RFID Welcome Kit,575017246760,FedEx
1502,ACC RFID Welcome Kit,563213502397,FedEx
1507,ACC RFID Labels,575017266305,FedEx
