4749,289750441862,SAM&#39;S CLUB #4749 - CONWAY
4828,289750561890,SAM&#39;S CLUB #4828 - ORLANDO
4853,289750608700,SAM&#39;S CLUB #4853 - CASTLE ROCK
4109,289749822246,SAMS CLUB #4109 - BOSSIER CITY
4702,289750133969,SAMS CLUB #4702 - WEBSTER
4703,289750440720,SAMS CLUB #4703 - ALBUQUERQUE
4704,289750465701,SAMS CLUB #4704 - FRESNO
4707,289750491330,SAMS CLUB #4707 - OVERLAND PARK
4709,289750515044,SAMS CLUB #4709 - CORONA
4710,289750542081,SAMS CLUB #4710 - CHESAPEAKE
4711,289750568232,SAMS CLUB #4711 - VIRGINIA BEACH
4712,289750603396,SAMS CLUB #4712 - HOUSTON(MEMORIAL)
4713,289749825326,SAMS CLUB #4713 - CONROE (WOODLANDS)
4718,289749853201,SAMS CLUB #4718 - SOUTH JORDAN
4720,289749881554,SAMS CLUB #4720 - AUSTIN
4721,289749910418,SAMS CLUB #4721 - HOUSTON
4722,289749938660,SAMS CLUB #4722 - WILLIAMSTOWN
4724,289749966970,SAMS CLUB #4724 - HOOVER
4728,289749995406,SAMS CLUB #4728 - NICHOLASVILLE
4729,289750020750,SAMS CLUB #4729 - STERLING
4730,289750045915,SAMS CLUB #4730 - WEST JORDAN
4731,289750105866,SAMS CLUB #4731 - OKLAHOMA CITY
4732,289750137390,SAMS CLUB #4732 - GLENDALE
4735,289750161373,SAMS CLUB #4735 - LA HABRA
4736,289750187580,SAMS CLUB #4736 - APPLE VALLEY
4738,289750215859,SAMS CLUB #4738 - EAGAN
4739,289750242999,SAMS CLUB #4739 - SNELLVILLE
4740,289750265441,SAMS CLUB #4740 - SOUTHAVEN
4741,289750293051,SAMS CLUB #4741 - CRESTWOOD
4742,289750318357,SAMS CLUB #4742 - FORT WORTH (SW)
4743,289750386442,SAMS CLUB #4743 - PLANO (E)
4745,289750415784,SAMS CLUB #4745 - THORNTON
