Store # ,Signing will arrive,Push notifications are active ,Grand Opening 
1,3/28/2024,3/29/2024,3/29/2024
5211,4/3/2024,4/4/2024,4/4/2024
6300,4/3/2024,4/4/2024,4/4/2024
5210,4/3/2024,4/4/2024,4/4/2024
266,4/4/2024,4/5/2024,4/5/2024
4164,4/5/2024,4/5/2024,4/5/2024
359,4/7/2024,4/8/2024,4/8/2024
